season,ACTION_TYPE,family,fga
2024-25,Alley Oop Dunk Shot,Dunks,5
2024-25,Alley Oop Layup shot,Layups,2
2024-25,Cutting Dunk Shot,Dunks,18
2024-25,Cutting Finger Roll Layup Shot,Layups,1
2024-25,Cutting Layup Shot,Layups,19
2024-25,Driving Dunk Shot,Dunks,15
2024-25,Driving Finger Roll Layup Shot,Layups,21
2024-25,Driving Floating Bank Jump Shot,Floaters,7
2024-25,Driving Floating Jump Shot,Floaters,22
2024-25,Driving Hook Shot,Hooks,2
2024-25,Driving Layup Shot,Layups,57
2024-25,Driving Reverse Dunk Shot,Dunks,2
2024-25,Driving Reverse Layup Shot,Layups,3
2024-25,Dunk Shot,Dunks,5
2024-25,Fadeaway Jump Shot,Turnarounds/fades,1
2024-25,Floating Jump shot,Floaters,5
2024-25,Jump Shot,Standard jumpers,233
2024-25,Layup Shot,Layups,6
2024-25,Pullup Jump shot,Pull-ups,11
2024-25,Putback Dunk Shot,Dunks,1
2024-25,Putback Layup Shot,Layups,6
2024-25,Reverse Layup Shot,Layups,1
2024-25,Running Alley Oop Dunk Shot,Dunks,4
2024-25,Running Dunk Shot,Dunks,25
2024-25,Running Finger Roll Layup Shot,Layups,7
2024-25,Running Jump Shot,Running jumpers,17
2024-25,Running Layup Shot,Layups,16
2024-25,Running Pull-Up Jump Shot,Pull-ups,1
2024-25,Running Reverse Layup Shot,Layups,1
2024-25,Step Back Jump shot,Step-backs,16
2024-25,Tip Dunk Shot,Dunks,3
2024-25,Tip Layup Shot,Tip-ins,15
2024-25,Turnaround Fadeaway shot,Turnarounds/fades,4
2024-25,Turnaround Hook Shot,Hooks,1
2024-25,Turnaround Jump Shot,Turnarounds/fades,2
2025-26,Alley Oop Dunk Shot,Dunks,4
2025-26,Cutting Dunk Shot,Dunks,31
2025-26,Cutting Finger Roll Layup Shot,Layups,8
2025-26,Cutting Layup Shot,Layups,21
2025-26,Driving Dunk Shot,Dunks,15
2025-26,Driving Finger Roll Layup Shot,Layups,59
2025-26,Driving Floating Bank Jump Shot,Floaters,14
2025-26,Driving Floating Jump Shot,Floaters,33
2025-26,Driving Hook Shot,Hooks,3
2025-26,Driving Layup Shot,Layups,116
2025-26,Driving Reverse Dunk Shot,Dunks,1
2025-26,Driving Reverse Layup Shot,Layups,7
2025-26,Dunk Shot,Dunks,2
2025-26,Fadeaway Jump Shot,Turnarounds/fades,3
2025-26,Finger Roll Layup Shot,Layups,1
2025-26,Floating Jump shot,Floaters,1
2025-26,Jump Shot,Standard jumpers,366
2025-26,Layup Shot,Layups,10
2025-26,Pullup Jump shot,Pull-ups,59
2025-26,Putback Dunk Shot,Dunks,1
2025-26,Putback Layup Shot,Layups,9
2025-26,Reverse Dunk Shot,Dunks,1
2025-26,Reverse Layup Shot,Layups,1
2025-26,Running Alley Oop Dunk Shot,Dunks,9
2025-26,Running Alley Oop Layup Shot,Layups,4
2025-26,Running Dunk Shot,Dunks,20
2025-26,Running Finger Roll Layup Shot,Layups,8
2025-26,Running Jump Shot,Running jumpers,34
2025-26,Running Layup Shot,Layups,39
2025-26,Running Pull-Up Jump Shot,Pull-ups,13
2025-26,Running Reverse Dunk Shot,Dunks,1
2025-26,Running Reverse Layup Shot,Layups,3
2025-26,Step Back Jump shot,Step-backs,36
2025-26,Tip Dunk Shot,Dunks,4
2025-26,Tip Layup Shot,Tip-ins,9
2025-26,Turnaround Bank shot,Turnarounds/fades,2
2025-26,Turnaround Fadeaway shot,Turnarounds/fades,5
2025-26,Turnaround Hook Shot,Hooks,4
2025-26,Turnaround Jump Shot,Turnarounds/fades,6
