season,player_rows,league_teams,official_gp_match,missing_raw_fg3m,league_player_rows,league_fga,league_pts,league_efg_pct,league_team_efg_pct,PULL_UP_FGM_difference,PULL_UP_FGA_difference,PULL_UP_PTS_difference
2013-14,20,30,True,5,482,47274,39546,41.826373905317936,41.826373905317936,0,41,0
2014-15,14,30,True,3,492,48167,40272,41.804554985778644,41.804554985778644,0,42,0
2015-16,16,30,True,0,476,50712,42893,42.290779302729135,42.290779302729135,0,49,0
2016-17,18,30,True,1,486,51888,45299,43.65074776441566,43.65074776441566,0,36,0
2017-18,21,30,True,1,540,53147,46635,43.87359587559035,43.87359587559035,0,42,0
2018-19,22,30,True,1,530,56547,49505,43.77332130793853,43.77332130793853,0,0,0
2019-20,17,30,True,1,529,48949,43669,44.60663139185683,44.605499713982184,0,0,0
2020-21,22,30,True,1,540,49927,45645,45.71173913914315,45.71173913914315,0,0,0
2021-22,22,30,True,4,605,57190,50977,44.56810631229236,44.56810631229236,0,0,0
2022-23,18,30,True,0,539,55441,51338,46.29966991937375,46.29966991937375,0,0,0
2023-24,18,30,True,1,572,53966,50016,46.340288329689066,46.340288329689066,0,0,0
2024-25,22,30,True,1,569,55543,50969,45.88246943809301,45.88246943809301,-38,-57,-80
2025-26,28,30,True,0,582,51527,47263,45.86236342111903,45.86236342111903,0,0,0
