player_id,player_name,season,gp,fgm,fga,fg3m,fg3a,pts,efg_pct,league_efg_pct,relative_efg_pp,fga_per_game,pts_per_game,league_fga_per_game,relative_fga_per_game,league_pts_per_game,relative_pts_per_game
2430,Carlos Boozer,2013-14,76,130,300,0,2.0,260,43.333333333333336,51.45658217228957,-8.123248838956236,3.9473684210526314,3.4210526315789473,2.3730580060894684,1.574310414963163,2.4421890857990474,0.9788635457799
201858,Cartier Martin,2013-14,6,4,6,3,5.0,11,91.66666666666667,51.45658217228957,40.2100844943771,1.0,1.8333333333333333,2.3730580060894684,-1.3730580060894684,2.4421890857990474,-0.6088557524657141
201571,D.J. Augustin,2013-14,61,75,177,72,171.0,222,62.71186440677966,51.45658217228957,11.255282234490089,2.901639344262295,3.639344262295082,2.3730580060894684,0.5285813381728266,2.4421890857990474,1.1971551764960346
201565,Derrick Rose,2013-14,10,12,32,12,28.0,36,56.25,51.45658217228957,4.793417827710428,3.2,3.6,2.3730580060894684,0.8269419939105318,2.4421890857990474,1.1578109142009527
203513,Erik Murphy,2013-14,24,0,5,0,3.0,0,0.0,51.45658217228957,-51.45658217228957,0.20833333333333334,0.0,2.3730580060894684,-2.164724672756135,2.4421890857990474,-2.4421890857990474
202363,Jarvis Varnado,2013-14,1,0,0,0,,0,,51.45658217228957,,0.0,0.0,2.3730580060894684,-2.3730580060894684,2.4421890857990474,-2.4421890857990474
202690,Jimmer Fredette,2013-14,8,3,8,3,7.0,9,56.25,51.45658217228957,4.793417827710428,1.0,1.125,2.3730580060894684,-1.3730580060894684,2.4421890857990474,-1.3171890857990474
202710,Jimmy Butler,2013-14,67,89,265,64,207.0,242,45.660377358490564,51.45658217228957,-5.796204813799008,3.955223880597015,3.611940298507463,2.3730580060894684,1.5821658745075466,2.4421890857990474,1.1697512127084155
201149,Joakim Noah,2013-14,80,55,133,0,1.0,110,41.35338345864662,51.45658217228957,-10.103198713642954,1.6625,1.375,2.3730580060894684,-0.7105580060894683,2.4421890857990474,-1.0671890857990474
2550,Kirk Hinrich,2013-14,73,84,210,67,178.0,235,55.95238095238095,51.45658217228957,4.495798780091377,2.8767123287671232,3.219178082191781,2.3730580060894684,0.5036543226776549,2.4421890857990474,0.7769889963927334
200811,Lou Amundson,2013-14,1,0,0,0,,0,,51.45658217228957,,0.0,0.0,2.3730580060894684,-2.3730580060894684,2.4421890857990474,-2.4421890857990474
2736,Luol Deng,2013-14,23,28,99,13,53.0,69,34.84848484848485,51.45658217228957,-16.60809732380472,4.304347826086956,3.0,2.3730580060894684,1.9312898199974877,2.4421890857990474,0.5578109142009526
203104,Marquis Teague,2013-14,19,3,7,1,5.0,7,50.0,51.45658217228957,-1.456582172289572,0.3684210526315789,0.3684210526315789,2.3730580060894684,-2.0046369534578896,2.4421890857990474,-2.0737680331674686
2399,Mike Dunleavy,2013-14,82,174,447,106,293.0,454,50.78299776286354,51.45658217228957,-0.6735844094260344,5.451219512195122,5.536585365853658,2.3730580060894684,3.0781615061056535,2.4421890857990474,3.0943962800546108
2229,Mike James,2013-14,11,1,6,1,5.0,3,25.0,51.45658217228957,-26.456582172289572,0.5454545454545454,0.2727272727272727,2.3730580060894684,-1.827603460634923,2.4421890857990474,-2.1694618130717744
1737,Nazr Mohammed,2013-14,80,8,33,0,,16,24.242424242424242,51.45658217228957,-27.21415792986533,0.4125,0.2,2.3730580060894684,-1.9605580060894683,2.4421890857990474,-2.242189085799047
200758,Ronnie Brewer,2013-14,1,0,0,0,,0,,51.45658217228957,,0.0,0.0,2.3730580060894684,-2.3730580060894684,2.4421890857990474,-2.4421890857990474
