season,player_rows,league_teams,official_gp_match,missing_raw_fg3m,league_player_rows,league_fga,league_pts,league_efg_pct,league_team_efg_pct,CATCH_SHOOT_FGM_difference,CATCH_SHOOT_FGA_difference,CATCH_SHOOT_PTS_difference,league_official_appearances,league_fga_per_game,league_official_3pa_excess,league_3pm,league_3pa_low,league_3pa_high,league_3p_pct_low,league_3p_pct_high,league_3pa_player_minus_team
2013-14,20,30,True,5,482,60793,62564,51.45658217228957,51.45658217228957,0,25,0,25618,2.3730580060894684,0,15006,39997,39999,37.51593789844746,37.5178138360377,0
2014-15,14,30,True,3,492,61379,62272,50.72744749833005,50.72744749833005,0,28,0,25981,2.3624571802471035,0,15168,41568,41569,36.488729582140536,36.48960739030023,0
2015-16,16,30,True,0,476,61562,63870,51.87453299113089,51.87453299113089,0,18,0,26078,2.3606871692614466,0,16366,44179,44179,37.044749767989316,37.044749767989316,0
2016-17,18,30,True,1,486,62939,66504,52.83210727847599,52.83210727847599,0,25,0,26139,2.4078579899766632,0,18230,49172,49172,37.07394452127227,37.07394452127227,0
2017-18,21,30,True,1,540,61602,66975,54.361059705853705,53.96683426803326,0,0,0,26107,2.3595970429386757,0,19331,51226,51228,37.73522292496291,37.73669620895639,-305
2018-19,22,30,True,1,530,62940,67321,53.48029869717191,53.48029869717191,0,0,0,26101,2.4114018619976245,1,20263,55256,55256,36.67113073693355,36.67113073693355,0
2019-20,17,30,True,1,529,54954,59891,54.491938712377625,54.491938712377625,0,0,0,22393,2.454070468449962,0,18479,49782,49782,37.11984251335824,37.11984251335824,0
2020-21,22,30,True,1,540,57382,63978,55.74744693457879,55.74744693457879,0,0,0,23054,2.4890257655938233,0,19912,52635,52635,37.83034102783319,37.83034102783319,0
2021-22,22,30,True,4,605,66001,70979,53.77115498250026,53.77115498250026,0,0,0,26039,2.5346979530703946,0,22089,60636,60636,36.42885414605185,36.42885414605185,0
2022-23,18,30,True,0,539,64386,70352,54.632994750411584,54.632994750411584,0,0,0,25894,2.486521974202518,0,22054,59693,59693,36.945705526611164,36.945705526611164,0
2023-24,18,30,True,1,572,65466,73058,55.79842971924358,55.79842971924358,0,0,0,26401,2.479678800045453,0,22948,60893,60895,37.68453896050579,37.685776690259964,0
2024-25,22,30,True,1,569,68989,76259,55.268955920509065,55.268955920509065,-5,-25,-10,26306,2.62255759142401,0,24117,64666,64666,37.294714378498746,37.294714378498746,0
2025-26,28,30,True,0,582,69080,75953,54.97466705269253,54.97466705269253,0,0,0,26651,2.592022813402874,0,24167,65127,65127,37.10749765842124,37.10749765842124,0
