rank,player_id,player_name,season,gp,fgm,fga,fg3m,fg3a,pts,efg_pct,league_efg_pct,relative_efg_pp,fga_per_game,pts_per_game,league_fga_per_game,relative_fga_per_game,league_pts_per_game,relative_pts_per_game
1,202696,Nikola Vučević,2022-23,82,204,509,121,342.0,529,51.96463654223969,54.632994750411584,-2.6683582081718953,6.2073170731707314,6.451219512195122,2.486521974202518,3.7207950989682135,2.716922839267784,3.734296672927338
2,202696,Nikola Vučević,2021-22,73,198,543,103,327.0,499,45.94843462246777,53.77115498250026,-7.822720360032491,7.438356164383562,6.835616438356165,2.5346979530703946,4.903658211313167,2.725872729367487,4.1097437089886775
3,202696,Nikola Vučević,2024-25,73,177,413,125,312.0,479,57.99031476997579,55.268955920509065,2.721358849466725,5.657534246575342,6.561643835616438,2.62255759142401,3.0349766551513326,2.8989203983882006,3.662723437228238
4,2399,Mike Dunleavy,2013-14,82,174,447,106,293.0,454,50.78299776286354,51.45658217228957,-0.6735844094260344,5.451219512195122,5.536585365853658,2.3730580060894684,3.0781615061056535,2.4421890857990474,3.0943962800546108
5,2200,Pau Gasol,2015-16,72,213,440,23,67.0,449,51.02272727272727,51.87453299113089,-0.8518057184036181,6.111111111111111,6.236111111111111,2.3606871692614466,3.750423941849664,2.449190888871846,3.7869202222392646
6,1629632,Coby White,2023-24,79,150,411,145,397.0,445,54.13625304136253,55.79842971924358,-1.6621766778810496,5.2025316455696204,5.632911392405063,2.479678800045453,2.7228528455241676,2.767243665012689,2.865667727392374
7,202696,Nikola Vučević,2023-24,76,177,492,89,306.0,443,45.020325203252035,55.79842971924358,-10.778104515991544,6.473684210526316,5.828947368421052,2.479678800045453,3.994005410480863,2.767243665012689,3.061703703408363
8,1628374,Lauri Markkanen,2017-18,68,147,396,137,375.0,431,54.41919191919192,54.361059705853705,0.058132213338211614,5.823529411764706,6.338235294117647,2.3595970429386757,3.46393236882603,2.5654039146589036,3.772831379458743
9,1641824,Matas Buzelis,2025-26,77,141,384,141,383.0,423,55.078125,54.97466705269253,0.1034579473074686,4.987012987012987,5.4935064935064934,2.592022813402874,2.394990173610113,2.849911823196128,2.6435946703103657
10,202703,Nikola Mirotic,2015-16,66,142,344,130,309.0,414,60.174418604651166,51.87453299113089,8.299885613520274,5.212121212121212,6.2727272727272725,2.3606871692614466,2.8514340428597653,2.449190888871846,3.8235363838554264
11,203200,Justin Holiday,2017-18,72,137,374,127,344.0,401,53.6096256684492,54.361059705853705,-0.7514340374045076,5.194444444444445,5.569444444444445,2.3595970429386757,2.834847401505769,2.5654039146589036,3.004040529785541
12,1629632,Coby White,2024-25,74,128,335,127,330.0,383,57.16417910447761,55.268955920509065,1.8952231839685467,4.527027027027027,5.175675675675675,2.62255759142401,1.9044694356030174,2.8989203983882006,2.276755277287475
13,1629632,Coby White,2020-21,69,124,339,121,333.0,369,54.424778761061944,55.74744693457879,-1.3226681735168455,4.913043478260869,5.3478260869565215,2.4890257655938233,2.424017712667046,2.77513663572482,2.5726894512317013
14,2200,Pau Gasol,2014-15,78,173,357,12,25.0,358,50.14005602240896,50.72744749833005,-0.5873914759210876,4.576923076923077,4.589743589743589,2.3624571802471035,2.214465896675973,2.396828451560756,2.1929151381828333
15,1628374,Lauri Markkanen,2020-21,51,119,296,118,291.0,356,60.13513513513514,55.74744693457879,4.387688200556347,5.803921568627451,6.980392156862745,2.4890257655938233,3.3148958030336275,2.77513663572482,4.205255521137925
