season,player_id,player,age,clutch_games,clutch_minutes,clutch_points,clutch_fgm,clutch_fga,clutch_ftm,clutch_fta,wins,losses,source_url,season_end_year,games,clutch_points_per_game,clutch_points_per_minute,clutch_points_per_5_minutes,qualified,selected,league_average_clutch_points,league_qualified_players,league_average_ratio
2001-02,2199,Tyson Chandler,19,15,55.745,19,4,12,11,18,8,7,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2002,15,1.2666666666666666,0.3408377432953628,1.7041887164768141,True,True,37.43223443223443,273,0.507583912320188
2001-02,2201,Eddy Curry,19,10,36.98,10,2,6,6,8,5,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2001-02&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2002,10,1.0,0.2704164413196323,1.3520822065981615,True,False,37.43223443223443,273,0.267149427536941
2020-21,1630172,Patrick Williams,19,28,53.086666666666666,11,4,6,2,3,11,17,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2020-21&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2021,28,0.39285714285714285,0.20720833856586715,1.0360416928293357,True,False,31.9,270,0.3448275862068966
2002-03,2199,Tyson Chandler,20,13,33.39833333333333,13,6,7,1,4,7,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2003,13,1.0,0.3892409800888268,1.946204900444134,True,False,38.88059701492537,268,0.3343570057581574
2002-03,2201,Eddy Curry,20,10,28.303333333333335,15,5,6,5,8,6,4,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2002-03&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2003,10,1.5,0.5299729124955835,2.6498645624779176,True,False,38.88059701492537,268,0.3857965451055662
2004-05,2736,Luol Deng,20,23,82.415,21,4,25,13,21,14,9,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2004-05&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2005,23,0.9130434782608695,0.25480798398349813,1.2740399199174908,True,False,38.62671232876713,292,0.5436652185477435
2006-07,200748,Tyrus Thomas,20,11,29.466666666666665,17,6,8,5,8,6,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2006-07&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2007,11,1.5454545454545454,0.576923076923077,2.884615384615385,True,False,40.31818181818182,286,0.42164599774520856
2008-09,201565,Derrick Rose,20,43,189.63333333333333,118,47,107,23,31,21,22,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2008-09&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2009,43,2.744186046511628,0.6222534716118826,3.111267358059413,True,True,40.14855072463768,276,2.939084920133562
2012-13,203104,Marquis Teague,20,6,18.415,6,2,4,2,3,4,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2012-13&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2013,6,1.0,0.325821341297855,1.629106706489275,False,False,36.305755395683455,278,0.16526305360150598
2018-19,1628976,Wendell Carter Jr.,20,21,59.03333333333333,11,1,11,9,13,8,13,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2018-19&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2019,21,0.5238095238095238,0.1863354037267081,0.9316770186335405,True,False,36.52669039145908,281,0.3011496492595479
2019-20,1629632,Coby White,20,20,37.35,14,6,12,0,0,5,15,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2019-20&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2020,20,0.7,0.3748326639892905,1.8741633199464525,True,False,32.78228782287823,271,0.42705988293561453
2021-22,1630172,Patrick Williams,20,4,11.565,10,3,4,3,3,4,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2021-22&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2022,4,2.5,0.8646779074794639,4.32338953739732,False,False,33.78417266187051,278,0.2959965928449744
2023-24,1641763,Julian Phillips,20,1,0.05,0,0,0,0,0,1,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2023-24&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2024,1,0.0,0.0,0.0,False,False,34.96212121212121,264,0.0
2024-25,1641824,Matas Buzelis,20,9,17.786666666666665,7,2,2,1,1,5,4,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2024-25&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2025,9,0.7777777777777778,0.3935532233883059,1.9677661169415295,False,False,32.86330935251799,278,0.2130035026269702
2000-01,1897,Metta World Peace,21,37,125.98666666666666,40,11,36,18,24,12,25,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2001,37,1.0810810810810811,0.31749391469996824,1.5874695734998412,True,False,36.43494423791822,269,1.097847158453219
2000-01,2037,Jamal Crawford,21,8,29.015,19,7,14,2,4,2,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2000-01&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741,2001,8,2.375,0.6548337067034292,3.274168533517146,False,False,36.43494423791822,269,0.521477400265279
