season,player_id,player,age,clutch_games,clutch_minutes,clutch_points,clutch_fgm,clutch_fga,clutch_ftm,clutch_fta,wins,losses,source_url
2011-12,2243,Brian Scalabrine,34.0,2,0.745,0,0,1,0,0,0,2,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,201228,C.J. Watson,28.0,17,32.876666666666665,29,9,19,7,10,14,3,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,2430,Carlos Boozer,30.0,22,67.87333333333333,22,10,26,2,2,14,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,201565,Derrick Rose,23.0,18,63.25666666666667,44,15,50,13,21,14,4,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,202710,Jimmy Butler III,22.0,6,9.621666666666666,4,2,6,0,0,5,1,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,201149,Joakim Noah,27.0,26,62.225,33,10,14,13,16,18,8,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,101249,John Lucas III,29.0,10,4.42,5,1,5,2,2,7,3,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,2594,Kyle Korver,31.0,25,61.00333333333333,27,4,16,17,19,19,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,2736,Luol Deng,27.0,23,66.96333333333334,38,11,19,13,19,18,5,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,201600,Omer Asik,25.0,7,9.778333333333334,0,0,1,0,0,7,0,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,1888,Richard Hamilton,34.0,4,12.803333333333333,6,2,7,2,2,1,3,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,200758,Ronnie Brewer,27.0,22,30.901666666666667,8,2,6,4,5,16,6,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
2011-12,201959,Taj Gibson,27.0,21,39.865,10,4,5,2,5,17,4,https://www.nba.com/stats/players/clutch-traditional?PerMode=Totals&Season=2011-12&SeasonType=Regular%20Season&ClutchTime=Last%205%20Minutes&PointDiff=5&TeamID=1610612741
