season,player_id,player,clutch_games,clutch_points
2005-06,243,Aaron McKie,2,0
2005-06,1425,Aaron Williams,10,2
2005-06,1502,Adonal Foyle,30,13
2005-06,1559,Adrian Griffin,24,6
2005-06,1733,Al Harrington,48,93
2005-06,2744,Al Jefferson,13,14
2005-06,101187,Alan Anderson,7,1
2005-06,673,Alan Henderson,6,2
2005-06,101165,Alex Acker,1,0
2005-06,947,Allen Iverson,40,121
2005-06,297,Alonzo Mourning,21,11
2005-06,2760,Anderson Varejao,22,12
2005-06,101154,Andray Blatche,2,0
2005-06,2857,Andre Barrett,3,3
2005-06,2738,Andre Iguodala,46,67
2005-06,1889,Andre Miller,38,83
2005-06,101261,Andre Owens,1,0
2005-06,1905,Andrei Kirilenko,33,49
2005-06,2804,Andres Nocioni,40,59
2005-06,101106,Andrew Bogut,35,38
2005-06,101115,Andrew Bynum,7,0
2005-06,2740,Andris Biedrins,15,8
2005-06,358,Anfernee Hardaway,2,0
2005-06,1712,Antawn Jamison,46,83
2005-06,1853,Anthony Carter,15,10
2005-06,101219,Anthony Grundy,1,2
2005-06,1533,Anthony Johnson,37,28
2005-06,101194,Anthony Roberson,1,5
2005-06,952,Antoine Walker,31,12
2005-06,101120,Antoine Wright,2,0
2005-06,2766,Antonio Burks,4,0
2005-06,1498,Antonio Daniels,39,33
2005-06,213,Antonio Davis,15,19
2005-06,686,Antonio McDyess,8,1
2005-06,101178,Arvydas Macijauskas,1,0
2005-06,1506,Austin Croshere,15,12
2005-06,2852,Awvee Storey,1,0
2005-06,1884,Baron Davis,30,44
2005-06,2732,Ben Gordon,46,159
2005-06,1112,Ben Wallace,35,35
2005-06,2757,Beno Udrih,6,3
2005-06,2774,Bernard Robinson,27,14
2005-06,2873,Billy Thomas,3,0
2005-06,448,Bo Outlaw,3,0
2005-06,1517,Bobby Jackson,25,37
2005-06,2250,Bobby Simmons,48,61
2005-06,101238,Boniface Ndong,2,1
2005-06,1719,Bonzi Wells,22,29
2005-06,2564,Boris Diaw,38,41
2005-06,2411,Bostjan Nachbar,10,3
2005-06,101152,Bracey Wright,2,4
2005-06,1802,Brad Miller,36,64
2005-06,101138,Brandon Bass,1,1
2005-06,2217,Brendan Haywood,28,8
2005-06,699,Brent Barry,17,5
2005-06,1510,Brevin Knight,30,59
2005-06,2073,Brian Cardinal,6,9
2005-06,2567,Brian Cook,14,11
2005-06,258,Brian Grant,5,2
2005-06,2243,Brian Scalabrine,23,7
2005-06,1730,Brian Skinner,3,2
2005-06,1477,Bruce Bowen,36,21
2005-06,101139,CJ Miles,3,7
2005-06,384,Calbert Cheaney,7,0
2005-06,1916,Calvin Booth,2,2
2005-06,2306,Carlos Arroyo,16,15
2005-06,2430,Carlos Boozer,18,38
2005-06,2568,Carlos Delfino,4,4
2005-06,2546,Carmelo Anthony,36,132
2005-06,2406,Caron Butler,38,63
2005-06,101112,Channing Frye,22,14
2005-06,1520,Charles Smith,6,0
2005-06,2294,Charlie Bell,30,10
2005-06,101111,Charlie Villanueva,38,53
2005-06,1497,Chauncey Billups,37,125
2005-06,2365,Chris Andersen,3,1
2005-06,2547,Chris Bosh,41,81
2005-06,2768,Chris Duhon,40,25
2005-06,2549,Chris Kaman,37,34
2005-06,2036,Chris Mihm,23,10
2005-06,101108,Chris Paul,42,91
2005-06,185,Chris Webber,42,113
2005-06,2404,Chris Wilcox,17,12
2005-06,101236,Chuck Hayes,10,6
2005-06,1088,Chucky Atkins,32,46
2005-06,361,Clifford Robinson,35,22
2005-06,1894,Corey Maggette,13,38
2005-06,722,Corliss Williamson,2,0
2005-06,1749,Cuttino Mobley,36,41
2005-06,2563,Dahntay Jones,7,6
2005-06,905,Dale Davis,2,4
2005-06,2863,Damien Wilkins,25,20
2005-06,1800,Damon Jones,43,31
2005-06,757,Damon Stoudamire,11,50
2005-06,2424,Dan Dickau,8,5
2005-06,2429,Dan Gadzuric,9,8
2005-06,101137,Daniel Ewing,12,7
2005-06,1504,Danny Fortson,4,2
2005-06,101122,Danny Granger,38,18
2005-06,2032,Darius Miles,14,28
2005-06,2443,Darius Songaila,25,45
2005-06,2545,Darko Milicic,6,4
2005-06,353,Darrell Armstrong,13,10
2005-06,239,Darrick Martin,4,6
2005-06,2758,David Harrison,9,6
2005-06,101135,David Lee,17,18
2005-06,133,David Wesley,34,40
2005-06,2561,David West,40,75
2005-06,2205,DeSagana Diop,26,4
2005-06,2052,DeShawn Stevenson,29,26
2005-06,2753,Delonte West,44,41
2005-06,2035,DerMarr Johnson,8,8
2005-06,1507,Derek Anderson,11,14
2005-06,965,Derek Fisher,48,102
2005-06,101114,Deron Williams,35,34
2005-06,2583,Derrick Zimmerman,1,0
2005-06,2046,Desmond Mason,30,20
2005-06,1904,Devean George,25,28
2005-06,2484,Devin Brown,19,27
2005-06,101209,Devin Green,2,0
2005-06,2734,Devin Harris,23,40
2005-06,101159,Dijon Thompson,1,0
2005-06,87,Dikembe Mutombo,13,3
2005-06,1717,Dirk Nowitzki,44,149
2005-06,101182,Donell Taylor,3,0
2005-06,2764,Donta Smith,2,2
2005-06,923,Donyell Marshall,46,57
2005-06,2748,Dorell Wright,1,2
2005-06,57,Doug Christie,1,1
2005-06,2400,Drew Gooden,29,29
2005-06,101204,Dwayne Jones,4,0
2005-06,2730,Dwight Howard,41,66
2005-06,2548,Dwyane Wade,38,135
2005-06,2853,Earl Barron,1,2
2005-06,1863,Earl Boykins,30,47
2005-06,2248,Earl Watson,25,23
2005-06,101188,Eddie Basden,3,0
2005-06,2109,Eddie Gill,6,0
2005-06,2204,Eddie Griffin,19,12
2005-06,2067,Eddie House,19,19
2005-06,224,Eddie Jones,37,60
2005-06,2201,Eddy Curry,25,36
2005-06,2059,Eduardo Najera,23,21
2005-06,1882,Elton Brand,39,83
2005-06,2731,Emeka Okafor,10,18
2005-06,15,Eric Piatkowski,1,0
2005-06,727,Eric Snow,46,12
2005-06,677,Eric Williams,5,3
2005-06,956,Erick Dampier,31,11
2005-06,911,Ervin Johnson,1,0
2005-06,101212,Esteban Batista,1,2
2005-06,2041,Etan Thomas,9,5
2005-06,101177,Fabricio Oberto,3,0
2005-06,2436,Flip Murray,32,68
2005-06,1922,Francisco Elson,15,4
2005-06,101128,Francisco Garcia,14,3
2005-06,2410,Fred Jones,27,39
2005-06,56,Gary Payton,39,40
2005-06,2809,Gerald Fitch,4,0
2005-06,101123,Gerald Green,10,7
2005-06,2222,Gerald Wallace,28,41
2005-06,2240,Gilbert Arenas,48,163
2005-06,1921,Gordan Giricek,12,2
2005-06,255,Grant Hill,7,11
2005-06,1761,Greg Buckner,27,17
2005-06,731,Greg Ostertag,7,11
2005-06,101124,Hakim Warrick,6,2
2005-06,2045,Hedo Turkoglu,40,71
2005-06,458,Howard Eisley,5,2
2005-06,101113,Ike Diogu,9,4
2005-06,2137,Ime Udoka,3,0
2005-06,1956,Ira Newble,14,0
2005-06,2747,JR Smith,10,6
2005-06,2866,Jackie Butler,12,13
2005-06,1521,Jacque Vaughn,24,14
2005-06,2054,Jake Tsakalidis,5,0
2005-06,2063,Jake Voskuhl,7,5
2005-06,147,Jalen Rose,29,36
2005-06,2048,Jamaal Magloire,39,30
2005-06,2224,Jamaal Tinsley,17,20
2005-06,2037,Jamal Crawford,37,94
2005-06,2749,Jameer Nelson,27,59
2005-06,2592,James Jones,20,20
2005-06,1899,James Posey,21,18
2005-06,101189,James Singleton,14,10
2005-06,2457,Jannero Pargo,5,3
2005-06,2407,Jared Jeffries,31,10
2005-06,101127,Jarrett Jack,26,11
2005-06,2260,Jarron Collins,16,8
2005-06,2553,Jarvis Hayes,10,12
2005-06,2215,Jason Collins,30,6
2005-06,2078,Jason Hart,10,1
2005-06,2574,Jason Kapono,12,0
2005-06,467,Jason Kidd,42,71
2005-06,101131,Jason Maxiell,3,4
2005-06,2202,Jason Richardson,45,117
2005-06,1891,Jason Terry,41,116
2005-06,1715,Jason Williams,19,22
2005-06,1902,Jeff Foster,24,10
2005-06,976,Jeff McInnis,6,2
2005-06,1983,Jermaine Jackson,8,0
2005-06,979,Jermaine O'Neal,26,31
2005-06,1744,Jerome James,4,0
2005-06,711,Jerry Stackhouse,24,29
2005-06,754,Jim Jackson,9,2
2005-06,2412,Jiri Welsch,14,5
2005-06,2207,Joe Johnson,52,127
2005-06,693,Joe Smith,20,27
2005-06,2038,Joel Przybilla,14,8
2005-06,101121,Joey Graham,13,8
2005-06,101130,Johan Petro,17,14
2005-06,2823,John Edwards,1,0
2005-06,101249,John Lucas III,4,3
2005-06,2422,John Salmons,39,21
2005-06,1519,John Thomas,1,0
2005-06,468,Jon Barry,9,0
2005-06,101181,Jose Calderon,22,11
2005-06,2735,Josh Childress,38,47
2005-06,2572,Josh Howard,25,12
2005-06,2694,Josh Powell,2,0
2005-06,2746,Josh Smith,46,67
2005-06,2413,Juan Dixon,34,69
2005-06,1908,Jumaine Jones,35,28
2005-06,2770,Justin Reed,21,3
2005-06,436,Juwan Howard,34,29
2005-06,2416,Kareem Rush,11,11
2005-06,2586,Keith Bogans,28,34
2005-06,2693,Keith McLeod,7,14
2005-06,1496,Keith Van Horn,12,6
2005-06,1509,Kelvin Cato,3,0
2005-06,2570,Kendrick Perkins,21,8
2005-06,1903,Kenny Thomas,25,37
2005-06,2030,Kenyon Martin,20,35
2005-06,101207,Kevin Burleson,5,0
2005-06,708,Kevin Garnett,48,119
2005-06,2755,Kevin Martin,24,26
2005-06,1563,Kevin Ollie,19,2
2005-06,2039,Keyon Dooling,23,42
2005-06,2550,Kirk Hinrich,50,112
2005-06,2745,Kirk Snyder,15,21
2005-06,977,Kobe Bryant,40,167
2005-06,2743,Kris Humphries,3,2
2005-06,703,Kurt Thomas,23,18
2005-06,2198,Kwame Brown,27,20
2005-06,2594,Kyle Korver,43,35
2005-06,1885,Lamar Odom,40,71
2005-06,441,Lamond Murray,7,2
2005-06,1919,Laron Profit,4,4
2005-06,1716,Larry Hughes,18,28
2005-06,101160,Lawrence Roberts,1,10
2005-06,2544,LeBron James,49,178
2005-06,2571,Leandro Barbosa,21,25
2005-06,101132,Linas Kleiza,3,1
2005-06,283,Lindsey Hunter,4,5
2005-06,2669,Linton Johnson,9,6
2005-06,2437,Lonny Baxter,6,0
2005-06,2254,Loren Woods,3,0
2005-06,953,Lorenzen Wright,10,6
2005-06,2739,Luke Jackson,2,3
2005-06,2557,Luke Ridnour,35,38
2005-06,2575,Luke Walton,26,20
2005-06,2736,Luol Deng,47,73
2005-06,101129,Luther Head,37,55
2005-06,2124,Malik Allen,5,9
2005-06,990,Malik Rose,20,17
2005-06,1938,Manu Ginobili,27,63
2005-06,1531,Marc Jackson,11,9
2005-06,2556,Marcus Banks,28,46
2005-06,948,Marcus Camby,23,27
2005-06,1548,Mark Blount,34,50
2005-06,2058,Mark Madsen,5,2
2005-06,2060,Marko Jaric,33,35
2005-06,2605,Marquis Daniels,23,24
2005-06,101110,Martell Webster,15,3
2005-06,101107,Marvin Williams,27,15
2005-06,2043,Mateen Cleaves,3,0
2005-06,2440,Matt Barnes,21,5
2005-06,2588,Matt Bonner,38,19
2005-06,2679,Matt Carroll,19,25
2005-06,1723,Matt Harpring,33,65
2005-06,2230,Maurice Evans,7,3
2005-06,1508,Maurice Taylor,15,12
2005-06,2246,Mehmet Okur,40,78
2005-06,2408,Melvin Ely,20,18
2005-06,2684,Melvin Sanders,1,3
2005-06,1897,Metta World Peace,27,45
2005-06,2214,Michael Bradley,1,0
2005-06,1720,Michael Doleac,1,0
2005-06,714,Michael Finley,32,50
2005-06,1709,Michael Olowokandi,10,1
2005-06,2072,Michael Redd,52,137
2005-06,1913,Michael Ruffin,21,6
2005-06,2552,Michael Sweetney,15,22
2005-06,2554,Mickael Pietrus,25,21
2005-06,1710,Mike Bibby,39,89
2005-06,2399,Mike Dunleavy,46,33
2005-06,2229,Mike James,48,169
2005-06,2034,Mike Miller,34,42
2005-06,2366,Mike Wilks,7,0
2005-06,1630,Mikki Moore,5,6
2005-06,1960,Milt Palacio,21,28
2005-06,2590,Mo Williams,27,37
2005-06,101145,Monta Ellis,20,13
2005-06,983,Moochie Norris,8,0
2005-06,2050,Morris Peterson,45,84
2005-06,101126,Nate Robinson,28,46
2005-06,1737,Nazr Mohammed,17,14
2005-06,2420,Nenad Krstic,31,27
2005-06,2555,Nick Collison,23,30
2005-06,89,Nick Van Exel,12,6
2005-06,101158,Orien Greene,35,14
2005-06,970,Othella Harrington,1,0
2005-06,136,P.J. Brown,38,33
2005-06,2776,Pape Sow,5,0
2005-06,2469,Pat Burke,1,2
2005-06,1727,Pat Garrity,22,17
2005-06,2200,Pau Gasol,40,104
2005-06,1718,Paul Pierce,53,214
2005-06,978,Peja Stojakovic,35,53
2005-06,2056,Primoz Brezec,32,64
2005-06,2047,Quentin Richardson,17,9
2005-06,2624,Quinton Ross,27,17
2005-06,2417,Qyntel Woods,11,18
2005-06,1711,Raef LaFrentz,41,13
2005-06,2737,Rafael Araujo,1,0
2005-06,1747,Rafer Alston,34,53
2005-06,1952,Raja Bell,38,30
2005-06,101119,Rashad McCants,24,13
2005-06,1740,Rashard Lewis,41,66
2005-06,739,Rasheed Wallace,34,71
2005-06,1725,Rasho Nesterovic,15,10
2005-06,2446,Rasual Butler,30,31
2005-06,951,Ray Allen,42,134
2005-06,101109,Raymond Felton,33,60
2005-06,2501,Reggie Evans,11,7
2005-06,1888,Richard Hamilton,33,64
2005-06,2210,Richard Jefferson,39,59
2005-06,2499,Richie Frahm,8,3
2005-06,1594,Rick Brunson,4,0
2005-06,1729,Ricky Davis,51,113
2005-06,109,Robert Horry,22,9
2005-06,2741,Robert Swift,13,9
2005-06,2648,Ronald Dupree,2,2
2005-06,101179,Ronnie Price,1,0
2005-06,101142,Ronny Turiaf,1,0
2005-06,2767,Royal Ivey,7,0
2005-06,1739,Ruben Patterson,33,27
2005-06,1763,Ryan Bowen,25,4
2005-06,101155,Ryan Gomes,23,29
2005-06,101136,Salim Stoudamire,31,29
2005-06,208,Sam Cassell,37,98
2005-06,2223,Samuel Dalembert,26,10
