season_end_year,season,games,best_duo_points
2001,2000–01,82,68
2002,2001–02,82,64
2003,2002–03,82,64
2004,2003–04,82,75
2005,2004–05,82,55
2006,2005–06,82,65
2007,2006–07,82,75
2008,2007–08,82,63
2009,2008–09,82,72
2010,2009–10,82,69
2011,2010–11,82,63
2012,2011–12,66,54
2013,2012–13,82,57
2014,2013–14,82,63
2015,2014–15,82,62
2016,2015–16,82,77
2017,2016–17,82,73
2018,2017–18,82,61
2019,2018–19,82,78
2020,2019–20,65,77
2021,2020–21,72,76
2022,2021–22,82,72
2023,2022–23,82,88
2024,2023–24,82,74
2025,2024–25,82,67
2026,2025–26,82,63
