rank,season,player_id,player_name,gp,drives,drives_per_game,drive_fgm,drive_fga,drive_fg_pct,drive_shot_pct,drive_ftm,drive_fta,drive_points_residual,drive_pts,drive_passes,drive_pass_pct,drive_ast,drive_ast_pct,drive_ast_per_drive,drive_pf,drive_pf_pct
1,2025-26,1630581,Josh Giddey,54,1126,20.85185185185185,159,339,46.9,30.106571936056838,108,139,5,431,618,54.900000000000006,142,12.6,0.1261101243339254,90,8.0
2,2016-17,202710,Jimmy Butler,76,1073,14.118421052631579,159,331,48.0,30.848089468779126,207,232,19,544,417,38.9,138,12.9,0.12861136999068035,119,11.1
3,2025-26,1630200,Tre Jones,65,1200,18.46153846153846,219,370,59.199999999999996,30.833333333333332,105,129,0,543,698,58.199999999999996,137,11.4,0.11416666666666667,84,7.000000000000001
4,2023-24,1629632,Coby White,78,1074,13.76923076923077,234,461,50.8,42.923649906890134,102,123,14,584,463,43.1,107,10.0,0.09962756052141528,62,5.800000000000001
5,2024-25,1630581,Josh Giddey,70,759,10.842857142857143,133,271,49.1,35.70487483530962,75,95,6,347,372,49.0,99,13.0,0.13043478260869565,48,6.3
6,2017-18,1626170,Jerian Grant,74,592,8.0,69,166,41.6,28.04054054054054,61,82,10,209,246,41.6,99,16.7,0.16722972972972974,41,6.9
7,2021-22,201942,DeMar DeRozan,76,1138,14.973684210526315,303,542,55.900000000000006,47.62741652021089,174,195,31,811,406,35.699999999999996,97,8.5,0.0852372583479789,100,8.799999999999999
8,2024-25,1629632,Coby White,74,934,12.621621621621621,184,347,53.0,37.15203426124197,104,115,16,488,442,47.3,97,10.4,0.10385438972162742,60,6.4
9,2023-24,201942,DeMar DeRozan,78,1158,14.846153846153847,281,506,55.50000000000001,43.696027633851465,222,253,27,811,442,38.2,96,8.3,0.08290155440414508,128,11.1
10,2016-17,200765,Rajon Rondo,69,580,8.405797101449275,82,189,43.4,32.58620689655172,11,16,2,177,237,40.9,84,14.499999999999998,0.14482758620689656,8,1.4000000000000001
11,2015-16,201565,Derrick Rose,66,892,13.515151515151516,202,432,46.800000000000004,48.4304932735426,58,76,13,475,276,30.9,82,9.2,0.09192825112107623,38,4.3
12,2019-20,203107,Tomas Satoransky,65,666,10.246153846153845,96,211,45.5,31.68168168168168,38,42,5,235,377,56.599999999999994,77,11.600000000000001,0.11561561561561562,21,3.2
13,2025-26,1629012,Collin Sexton,68,878,12.911764705882353,194,347,55.900000000000006,39.521640091116176,112,130,4,504,359,40.9,76,8.7,0.08656036446469248,105,12.0
14,2014-15,201166,Aaron Brooks,82,854,10.414634146341463,165,355,46.5,41.569086651053865,63,76,7,400,309,36.199999999999996,76,8.9,0.08899297423887588,40,4.7
15,2020-21,1629632,Coby White,69,646,9.36231884057971,125,269,46.5,41.640866873065015,56,60,9,315,281,43.5,75,11.600000000000001,0.11609907120743033,30,4.6
