rank,season,player_id,player_name,gp,drives,drives_per_game,drive_fgm,drive_fga,drive_fg_pct,drive_shot_pct,drive_ftm,drive_fta,drive_points_residual,drive_pts,drive_passes,drive_pass_pct,drive_ast,drive_ast_pct,drive_ast_per_drive,drive_pf,drive_pf_pct
1,2023-24,201942,DeMar DeRozan,78,1158,14.846153846153847,281,506,55.50000000000001,43.696027633851465,222,253,27,811,442,38.2,96,8.3,0.08290155440414508,128,11.1
2,2021-22,201942,DeMar DeRozan,76,1138,14.973684210526315,303,542,55.900000000000006,47.62741652021089,174,195,31,811,406,35.699999999999996,97,8.5,0.0852372583479789,100,8.799999999999999
3,2022-23,203897,Zach LaVine,76,813,10.697368421052632,214,392,54.6,48.21648216482165,170,193,21,619,259,31.900000000000002,54,6.6000000000000005,0.06642066420664207,97,11.899999999999999
4,2022-23,201942,DeMar DeRozan,73,803,11.0,219,377,58.099999999999994,46.94894146948941,154,176,27,619,276,34.4,61,7.6,0.0759651307596513,88,11.0
5,2018-19,203897,Zach LaVine,62,841,13.564516129032258,207,417,49.6,49.58382877526754,160,197,16,590,247,29.4,52,6.2,0.06183115338882283,95,11.3
6,2023-24,1629632,Coby White,78,1074,13.76923076923077,234,461,50.8,42.923649906890134,102,123,14,584,463,43.1,107,10.0,0.09962756052141528,62,5.800000000000001
7,2016-17,202710,Jimmy Butler,76,1073,14.118421052631579,159,331,48.0,30.848089468779126,207,232,19,544,417,38.9,138,12.9,0.12861136999068035,119,11.1
8,2025-26,1630200,Tre Jones,65,1200,18.46153846153846,219,370,59.199999999999996,30.833333333333332,105,129,0,543,698,58.199999999999996,137,11.4,0.11416666666666667,84,7.000000000000001
9,2025-26,1629012,Collin Sexton,68,878,12.911764705882353,194,347,55.900000000000006,39.521640091116176,112,130,4,504,359,40.9,76,8.7,0.08656036446469248,105,12.0
10,2021-22,203897,Zach LaVine,67,661,9.865671641791044,168,331,50.8,50.07564296520424,142,163,20,498,184,27.800000000000004,45,6.800000000000001,0.0680786686838124,81,12.3
11,2024-25,1629632,Coby White,74,934,12.621621621621621,184,347,53.0,37.15203426124197,104,115,16,488,442,47.3,97,10.4,0.10385438972162742,60,6.4
12,2020-21,203897,Zach LaVine,58,697,12.017241379310345,184,345,53.300000000000004,49.49784791965567,101,119,16,485,192,27.500000000000004,51,7.3,0.07317073170731707,60,8.6
13,2019-20,203897,Zach LaVine,60,748,12.466666666666667,169,372,45.4,49.73262032085562,122,151,18,478,225,30.099999999999998,51,6.800000000000001,0.06818181818181818,75,10.0
14,2015-16,201565,Derrick Rose,66,892,13.515151515151516,202,432,46.800000000000004,48.4304932735426,58,76,13,475,276,30.9,82,9.2,0.09192825112107623,38,4.3
15,2025-26,1630581,Josh Giddey,54,1126,20.85185185185185,159,339,46.9,30.106571936056838,108,139,5,431,618,54.900000000000006,142,12.6,0.1261101243339254,90,8.0
