season,GAME_ID,GAME_DATE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_DISTANCE,SHOT_MADE_FLAG
2009-10,0020900017,20091029,Jump Shot,2PT Field Goal,Mid-Range,17,0
2009-10,0020900017,20091029,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),6,0
2009-10,0020900017,20091029,Hook Shot,2PT Field Goal,In The Paint (Non-RA),11,0
2009-10,0020900017,20091029,Jump Shot,2PT Field Goal,In The Paint (Non-RA),7,1
2009-10,0020900017,20091029,Tip Shot,2PT Field Goal,Restricted Area,0,0
2009-10,0020900017,20091029,Jump Shot,2PT Field Goal,Mid-Range,17,0
2009-10,0020900022,20091030,Slam Dunk Shot,2PT Field Goal,Restricted Area,0,1
2009-10,0020900022,20091030,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),5,1
2009-10,0020900022,20091030,Layup Shot,2PT Field Goal,Restricted Area,0,1
2009-10,0020900041,20091101,Hook Shot,2PT Field Goal,In The Paint (Non-RA),5,1
2009-10,0020900041,20091101,Jump Shot,2PT Field Goal,Restricted Area,3,1
2009-10,0020900041,20091101,Jump Shot,2PT Field Goal,In The Paint (Non-RA),6,0
2009-10,0020900041,20091101,Tip Shot,2PT Field Goal,Restricted Area,0,0
2009-10,0020900056,20091103,Tip Shot,2PT Field Goal,Restricted Area,0,0
2009-10,0020900056,20091103,Jump Shot,2PT Field Goal,Mid-Range,15,0
2009-10,0020900056,20091103,Jump Shot,2PT Field Goal,Mid-Range,13,1
2009-10,0020900056,20091103,Jump Bank Shot,2PT Field Goal,Mid-Range,17,1
2009-10,0020900070,20091105,Jump Bank Shot,2PT Field Goal,Mid-Range,11,1
2009-10,0020900070,20091105,Dunk Shot,2PT Field Goal,Restricted Area,1,1
2009-10,0020900070,20091105,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8,0
2009-10,0020900070,20091105,Jump Shot,2PT Field Goal,Mid-Range,14,1
2009-10,0020900070,20091105,Jump Shot,2PT Field Goal,Mid-Range,20,0
2009-10,0020900070,20091105,Jump Shot,2PT Field Goal,Mid-Range,13,1
2009-10,0020900070,20091105,Layup Shot,2PT Field Goal,Restricted Area,1,0
2009-10,0020900070,20091105,Jump Shot,2PT Field Goal,Mid-Range,15,0
2009-10,0020900070,20091105,Jump Shot,2PT Field Goal,Mid-Range,14,0
2009-10,0020900070,20091105,Jump Shot,2PT Field Goal,In The Paint (Non-RA),5,1
2009-10,0020900070,20091105,Jump Shot,2PT Field Goal,Mid-Range,17,0
2009-10,0020900070,20091105,Layup Shot,2PT Field Goal,Restricted Area,1,0
2009-10,0020900087,20091107,Jump Shot,2PT Field Goal,Mid-Range,12,0
2009-10,0020900087,20091107,Dunk Shot,2PT Field Goal,Restricted Area,0,1
2009-10,0020900087,20091107,Layup Shot,2PT Field Goal,Restricted Area,0,1
2009-10,0020900087,20091107,Jump Shot,2PT Field Goal,Mid-Range,19,0
2009-10,0020900087,20091107,Jump Shot,2PT Field Goal,Mid-Range,17,0
