loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
145,21,False,2PT,Mid-Range,14,0021500002,20151027,Right Side(R)
-132,-5,False,2PT,Mid-Range,13,0021500002,20151027,Left Side(L)
69,124,True,2PT,In The Paint (Non-RA),14,0021500002,20151027,Center(C)
20,-1,False,2PT,Restricted Area,2,0021500006,20151028,Center(C)
0,1,True,2PT,Restricted Area,0,0021500006,20151028,Center(C)
-25,-1,False,2PT,Restricted Area,2,0021500006,20151028,Center(C)
-60,8,False,2PT,In The Paint (Non-RA),6,0021500006,20151028,Center(C)
-58,13,False,2PT,In The Paint (Non-RA),5,0021500025,20151030,Center(C)
82,2,True,2PT,Mid-Range,8,0021500025,20151030,Right Side(R)
40,3,False,2PT,In The Paint (Non-RA),4,0021500025,20151030,Center(C)
0,1,True,2PT,Restricted Area,0,0021500025,20151030,Center(C)
-38,31,False,2PT,In The Paint (Non-RA),4,0021500025,20151030,Center(C)
0,1,True,2PT,Restricted Area,0,0021500025,20151030,Center(C)
0,1,True,2PT,Restricted Area,0,0021500025,20151030,Center(C)
9,16,True,2PT,Restricted Area,1,0021500043,20151101,Center(C)
-11,26,False,2PT,Restricted Area,2,0021500043,20151101,Center(C)
0,1,True,2PT,Restricted Area,0,0021500043,20151101,Center(C)
0,1,True,2PT,Restricted Area,0,0021500053,20151103,Center(C)
0,1,True,2PT,Restricted Area,0,0021500053,20151103,Center(C)
14,57,True,2PT,In The Paint (Non-RA),5,0021500053,20151103,Center(C)
-19,33,False,2PT,Restricted Area,3,0021500070,20151105,Center(C)
9,3,True,2PT,Restricted Area,0,0021500070,20151105,Center(C)
0,1,True,2PT,Restricted Area,0,0021500070,20151105,Center(C)
-2,0,True,2PT,Restricted Area,0,0021500070,20151105,Center(C)
-143,85,True,2PT,Mid-Range,16,0021500070,20151105,Left Side(L)
0,1,True,2PT,Restricted Area,0,0021500085,20151107,Center(C)
22,-1,False,2PT,Restricted Area,2,0021500085,20151107,Center(C)
-25,11,False,2PT,Restricted Area,2,0021500085,20151107,Center(C)
-12,0,False,2PT,Restricted Area,1,0021500085,20151107,Center(C)
143,90,False,2PT,Mid-Range,16,0021500100,20151109,Right Side(R)
0,1,True,2PT,Restricted Area,0,0021500100,20151109,Center(C)
-35,51,False,2PT,In The Paint (Non-RA),6,0021500100,20151109,Center(C)
155,46,True,2PT,Mid-Range,16,0021500100,20151109,Right Side(R)
-6,100,False,2PT,In The Paint (Non-RA),10,0021500100,20151109,Center(C)
-29,2,False,2PT,Restricted Area,2,0021500132,20151113,Center(C)
158,47,False,2PT,Mid-Range,16,0021500132,20151113,Right Side(R)
-143,80,True,2PT,Mid-Range,16,0021500132,20151113,Left Side(L)
107,164,False,2PT,Mid-Range,19,0021500132,20151113,Right Side Center(RC)
0,1,True,2PT,Restricted Area,0,0021500132,20151113,Center(C)
-1,51,True,2PT,In The Paint (Non-RA),5,0021500132,20151113,Center(C)
-9,62,True,2PT,In The Paint (Non-RA),6,0021500132,20151113,Center(C)
64,178,True,2PT,Mid-Range,18,0021500132,20151113,Right Side Center(RC)
-32,7,False,2PT,Restricted Area,3,0021500132,20151113,Center(C)
0,136,True,2PT,In The Paint (Non-RA),13,0021500132,20151113,Center(C)
27,7,True,2PT,Restricted Area,2,0021500153,20151116,Center(C)
24,11,False,2PT,Restricted Area,2,0021500153,20151116,Center(C)
0,1,True,2PT,Restricted Area,0,0021500153,20151116,Center(C)
-16,164,True,2PT,Mid-Range,16,0021500153,20151116,Center(C)
12,3,False,2PT,Restricted Area,1,0021500153,20151116,Center(C)
186,-6,False,2PT,Mid-Range,18,0021500153,20151116,Right Side(R)
12,8,False,2PT,Restricted Area,1,0021500153,20151116,Center(C)
120,13,False,2PT,Mid-Range,12,0021500153,20151116,Right Side(R)
61,21,False,2PT,In The Paint (Non-RA),6,0021500174,20151118,Center(C)
-7,11,True,2PT,Restricted Area,1,0021500174,20151118,Center(C)
35,183,True,2PT,Mid-Range,18,0021500174,20151118,Center(C)
0,160,False,2PT,Mid-Range,16,0021500174,20151118,Center(C)
1,2,True,2PT,Restricted Area,0,0021500174,20151118,Center(C)
-153,-15,False,2PT,Mid-Range,15,0021500174,20151118,Left Side(L)
-29,178,False,2PT,Mid-Range,18,0021500174,20151118,Center(C)
3,19,False,2PT,Restricted Area,1,0021500187,20151120,Center(C)
-109,129,False,2PT,Mid-Range,16,0021500187,20151120,Left Side Center(LC)
-147,213,False,3PT,Above the Break 3,25,0021500187,20151120,Left Side Center(LC)
-6,8,True,2PT,Restricted Area,1,0021500187,20151120,Center(C)
-43,11,True,2PT,In The Paint (Non-RA),4,0021500213,20151124,Center(C)
-37,33,False,2PT,In The Paint (Non-RA),4,0021500213,20151124,Center(C)
-4,0,True,2PT,Restricted Area,0,0021500213,20151124,Center(C)
-161,100,False,2PT,Mid-Range,18,0021500213,20151124,Left Side(L)
28,141,True,2PT,Mid-Range,14,0021500213,20151124,Center(C)
194,18,True,2PT,Mid-Range,19,0021500213,20151124,Right Side(R)
69,178,False,2PT,Mid-Range,19,0021500213,20151124,Right Side Center(RC)
-12,116,True,2PT,In The Paint (Non-RA),11,0021500231,20151127,Center(C)
112,301,False,3PT,Above the Break 3,32,0021500231,20151127,Right Side Center(RC)
-12,36,True,2PT,Restricted Area,3,0021500231,20151127,Center(C)
-53,-16,False,2PT,In The Paint (Non-RA),5,0021500231,20151127,Center(C)
-17,-1,False,2PT,Restricted Area,1,0021500231,20151127,Center(C)
22,16,False,2PT,Restricted Area,2,0021500257,20151130,Center(C)
14,18,False,2PT,Restricted Area,2,0021500257,20151130,Center(C)
28,2,True,2PT,Restricted Area,2,0021500257,20151130,Center(C)
55,129,False,2PT,In The Paint (Non-RA),14,0021500257,20151130,Center(C)
0,1,True,2PT,Restricted Area,0,0021500257,20151130,Center(C)
-89,185,True,2PT,Mid-Range,20,0021500273,20151202,Left Side Center(LC)
-158,7,False,2PT,Mid-Range,15,0021500273,20151202,Left Side(L)
92,3,False,2PT,Mid-Range,9,0021500273,20151202,Right Side(R)
-27,3,False,2PT,Restricted Area,2,0021500273,20151202,Center(C)
0,1,True,2PT,Restricted Area,0,0021500273,20151202,Center(C)
-4,11,True,2PT,Restricted Area,1,0021500273,20151202,Center(C)
0,1,True,2PT,Restricted Area,0,0021500273,20151202,Center(C)
-1,7,False,2PT,Restricted Area,0,0021500273,20151202,Center(C)
151,11,True,2PT,Mid-Range,15,0021500292,20151205,Right Side(R)
17,7,False,2PT,Restricted Area,1,0021500292,20151205,Center(C)
14,2,False,2PT,Restricted Area,1,0021500292,20151205,Center(C)
15,26,True,2PT,Restricted Area,3,0021500292,20151205,Center(C)
22,7,False,2PT,Restricted Area,2,0021500292,20151205,Center(C)
-91,136,True,2PT,Mid-Range,16,0021500292,20151205,Left Side Center(LC)
-68,67,False,2PT,In The Paint (Non-RA),9,0021500292,20151205,Left Side(L)
-9,159,True,2PT,Mid-Range,15,0021500309,20151207,Center(C)
168,-16,False,2PT,Mid-Range,16,0021500309,20151207,Right Side(R)
6,61,False,2PT,In The Paint (Non-RA),6,0021500309,20151207,Center(C)
-12,31,True,2PT,Restricted Area,3,0021500309,20151207,Center(C)
-7,16,True,2PT,Restricted Area,1,0021500309,20151207,Center(C)
-2,16,True,2PT,Restricted Area,1,0021500309,20151207,Center(C)
87,-6,False,2PT,Mid-Range,8,0021500309,20151207,Right Side(R)
10,11,False,2PT,Restricted Area,1,0021500309,20151207,Center(C)
-6,7,False,2PT,Restricted Area,0,0021500309,20151207,Center(C)
4,16,False,2PT,Restricted Area,1,0021500309,20151207,Center(C)
0,1,True,2PT,Restricted Area,0,0021500319,20151209,Center(C)
-155,7,False,2PT,Mid-Range,15,0021500319,20151209,Left Side(L)
2,23,True,2PT,Restricted Area,2,0021500319,20151209,Center(C)
-11,2,False,2PT,Restricted Area,1,0021500319,20151209,Center(C)
127,11,True,2PT,Mid-Range,12,0021500319,20151209,Right Side(R)
30,36,True,2PT,In The Paint (Non-RA),4,0021500319,20151209,Center(C)
-130,46,False,2PT,Mid-Range,13,0021500330,20151210,Left Side(L)
133,33,False,2PT,Mid-Range,13,0021500330,20151210,Right Side(R)
55,116,False,2PT,In The Paint (Non-RA),12,0021500330,20151210,Center(C)
-7,11,False,2PT,Restricted Area,1,0021500330,20151210,Center(C)
-138,-16,True,2PT,Mid-Range,13,0021500330,20151210,Left Side(L)
-3,14,True,2PT,Restricted Area,1,0021500330,20151210,Center(C)
0,1,True,2PT,Restricted Area,0,0021500330,20151210,Center(C)
-11,51,False,2PT,In The Paint (Non-RA),5,0021500330,20151210,Center(C)
0,1,True,2PT,Restricted Area,0,0021500330,20151210,Center(C)
-143,-1,False,2PT,Mid-Range,14,0021500348,20151212,Left Side(L)
122,2,False,2PT,Mid-Range,12,0021500348,20151212,Right Side(R)
0,1,True,2PT,Restricted Area,0,0021500348,20151212,Center(C)
27,0,True,2PT,Restricted Area,2,0021500361,20151214,Center(C)
12,0,False,2PT,Restricted Area,1,0021500361,20151214,Center(C)
-32,51,True,2PT,In The Paint (Non-RA),6,0021500361,20151214,Center(C)
-2,52,False,2PT,In The Paint (Non-RA),5,0021500361,20151214,Center(C)
