family,fga,fgm,share_pct,fg_pct,self_created,unlabelled_default,rated
Standard jumpers,1918,664,43.5118,34.6194,False,True,True
Layups,1233,661,27.9719,53.6091,False,False,True
Dunks,547,503,12.4093,91.9561,False,False,True
Tip-ins,232,95,5.2632,40.9483,False,False,True
Hooks,230,129,5.2178,56.0870,False,False,True
Turnarounds/fades,154,79,3.4936,51.2987,True,False,True
Pull-ups,46,24,1.0436,52.1739,True,False,True
Floaters,26,15,0.5898,57.6923,False,False,True
Step-backs,12,6,0.2722,50.0000,True,False,False
Running jumpers,10,5,0.2269,50.0000,False,False,False
