season,player_id,log_name,games_with_and1,and1s,and1s_3pt,and1s_flagrant,and1s_made_ft,player_name,games,off_poss,pbpstats_and1s,per_100,nba_rank,bbr_and1s,diff_bbr,diff_pbpstats
1996-97,23,Rodman,4,4,0,0,2,Dennis Rodman,52,3432,4,0.11655011655011654,247.0,5.0,-1.0,0
1996-97,26,Longley,12,14,0,0,9,Luc Longley,55,2551,14,0.5488043904351235,130.0,14.0,0.0,0
1996-97,54,Simpkins,4,4,0,0,3,Dickey Simpkins,45,686,3,0.5830903790087464,270.0,4.0,0.0,1
1996-97,70,Kerr,4,4,0,0,4,Steve Kerr,77,3297,4,0.12132241431604489,270.0,4.0,0.0,0
1996-97,82,Wennington,3,3,0,0,3,Bill Wennington,57,1393,3,0.21536252692031588,289.0,3.0,0.0,0
1996-97,146,Buechler,2,2,1,0,0,Jud Buechler,72,1299,2,0.15396458814472672,306.0,2.0,0.0,0
1996-97,166,Harper,8,9,1,0,6,Ron Harper,72,3044,9,0.2956636005256242,180.0,9.0,0.0,0
1996-97,183,Dele,1,1,0,0,0,Bison Dele,9,251,1,0.398406374501992,335.0,1.0,0.0,0
1996-97,305,Parish,3,3,0,0,2,Robert Parish,42,729,3,0.411522633744856,289.0,3.0,0.0,0
1996-97,389,Kukoc,19,21,0,0,16,Toni Kukoc,52,2798,20,0.7505360972122945,74.0,21.0,0.0,1
1996-97,679,Caffey,25,27,0,0,18,Jason Caffey,71,2497,26,1.0812975570684822,49.0,27.0,0.0,1
1996-97,753,Brown,8,8,0,0,5,Randy Brown,68,1912,8,0.41841004184100417,197.0,8.0,0.0,0
1996-97,893,Jordan,33,45,2,0,39,Michael Jordan,77,5492,40,0.8193736343772761,16.0,45.0,0.0,5
1996-97,937,Pippen,29,36,0,0,24,Scottie Pippen,77,5463,35,0.6589785831960461,30.0,36.0,0.0,1
1997-98,23,Rodman,5,5,0,0,2,Dennis Rodman,77,5050,5,0.09900990099009901,248.0,5.0,0.0,0
1997-98,26,Longley,16,18,0,0,13,Luc Longley,55,2934,16,0.6134969325153374,104.0,19.0,-1.0,2
1997-98,54,Simpkins,4,4,0,0,2,Dickey Simpkins,21,449,4,0.89086859688196,273.0,4.0,0.0,0
1997-98,70,Kerr,1,1,0,0,1,Steve Kerr,48,1996,1,0.050100200400801605,339.0,1.0,0.0,0
1997-98,82,Wennington,3,3,0,0,3,Bill Wennington,47,856,3,0.35046728971962615,291.0,3.0,0.0,0
1997-98,166,Harper,21,24,0,0,19,Ron Harper,79,4051,24,0.5924463095531968,68.0,24.0,0.0,0
1997-98,197,Burrell,7,7,0,0,5,Scott Burrell,78,2011,7,0.34808552958727,205.0,7.0,0.0,0
1997-98,389,Kukoc,22,26,0,0,22,Toni Kukoc,71,4037,26,0.6440426058954669,61.0,26.0,0.0,0
1997-98,679,Caffey,9,9,0,0,4,Jason Caffey,48,1248,8,0.7211538461538461,77.0,9.0,0.0,1
1997-98,753,Brown,6,6,0,0,2,Randy Brown,68,2014,6,0.29791459781529295,229.0,6.0,0.0,0
