season,game_id,player_id,player_name,and1s,and1s_3pt,and1s_flagrant,and1s_made_ft
1996-97,0029600001,23,Rodman,1,0,0,1
1996-97,0029600001,893,Jordan,2,0,0,1
1996-97,0029600001,389,Kukoc,2,0,0,1
1996-97,0029600019,166,Harper,1,0,0,1
1996-97,0029600019,937,Pippen,1,0,0,1
1996-97,0029600019,389,Kukoc,1,0,0,1
1996-97,0029600035,937,Pippen,1,0,0,1
1996-97,0029600035,389,Kukoc,1,0,0,1
1996-97,0029600043,893,Jordan,4,0,0,4
1996-97,0029600043,389,Kukoc,1,0,0,0
1996-97,0029600043,166,Harper,1,0,0,0
1996-97,0029600066,893,Jordan,1,0,0,1
1996-97,0029600066,54,Simpkins,1,0,0,0
1996-97,0029600066,389,Kukoc,1,0,0,0
1996-97,0029600076,166,Harper,2,0,0,2
1996-97,0029600076,679,Caffey,1,0,0,0
1996-97,0029600107,679,Caffey,1,0,0,0
1996-97,0029600107,893,Jordan,1,0,0,1
1996-97,0029600107,389,Kukoc,1,0,0,1
1996-97,0029600120,937,Pippen,1,0,0,0
1996-97,0029600120,679,Caffey,1,0,0,1
1996-97,0029600143,26,Longley,1,0,0,1
1996-97,0029600143,893,Jordan,1,0,0,1
1996-97,0029600143,937,Pippen,1,0,0,1
1996-97,0029600143,679,Caffey,1,0,0,0
1996-97,0029600153,937,Pippen,2,0,0,0
1996-97,0029600153,893,Jordan,1,0,0,1
1996-97,0029600153,389,Kukoc,1,0,0,1
1996-97,0029600166,389,Kukoc,1,0,0,1
1996-97,0029600166,893,Jordan,1,0,0,1
1996-97,0029600178,389,Kukoc,1,0,0,1
1996-97,0029600178,937,Pippen,1,0,0,0
1996-97,0029600204,70,Kerr,1,0,0,1
1996-97,0029600228,679,Caffey,1,0,0,0
1996-97,0029600228,893,Jordan,1,0,0,1
1996-97,0029600244,389,Kukoc,1,0,0,1
1996-97,0029600244,937,Pippen,1,0,0,0
1996-97,0029600244,893,Jordan,1,0,0,1
1996-97,0029600244,679,Caffey,1,0,0,1
1996-97,0029600261,753,Brown,1,0,0,0
1996-97,0029600266,23,Rodman,1,0,0,0
1996-97,0029600291,937,Pippen,2,0,0,0
1996-97,0029600291,54,Simpkins,1,0,0,1
1996-97,0029600300,70,Kerr,1,0,0,1
1996-97,0029600311,893,Jordan,1,0,0,1
1996-97,0029600330,937,Pippen,2,0,0,2
1996-97,0029600374,679,Caffey,1,0,0,1
1996-97,0029600374,389,Kukoc,1,0,0,1
1996-97,0029600381,679,Caffey,1,0,0,1
1996-97,0029600381,893,Jordan,1,0,0,1
1996-97,0029600381,23,Rodman,1,0,0,0
1996-97,0029600384,679,Caffey,1,0,0,1
1996-97,0029600384,70,Kerr,1,0,0,1
1996-97,0029600384,893,Jordan,1,0,0,0
1996-97,0029600403,893,Jordan,1,0,0,1
1996-97,0029600403,166,Harper,1,1,0,0
1996-97,0029600418,937,Pippen,1,0,0,1
1996-97,0029600437,937,Pippen,1,0,0,1
1996-97,0029600485,893,Jordan,1,0,0,1
1996-97,0029600485,937,Pippen,1,0,0,0
1996-97,0029600485,679,Caffey,1,0,0,0
1996-97,0029600494,679,Caffey,1,0,0,1
1996-97,0029600510,389,Kukoc,1,0,0,1
1996-97,0029600518,937,Pippen,2,0,0,2
1996-97,0029600518,26,Longley,1,0,0,0
1996-97,0029600518,389,Kukoc,1,0,0,1
1996-97,0029600518,679,Caffey,1,0,0,0
1996-97,0029600533,82,Wennington,1,0,0,1
1996-97,0029600533,389,Kukoc,1,0,0,1
1996-97,0029600533,753,Brown,1,0,0,1
1996-97,0029600548,937,Pippen,1,0,0,1
1996-97,0029600565,937,Pippen,1,0,0,1
1996-97,0029600577,82,Wennington,1,0,0,1
1996-97,0029600577,893,Jordan,1,0,0,1
1996-97,0029600577,753,Brown,1,0,0,0
1996-97,0029600616,26,Longley,1,0,0,0
1996-97,0029600616,937,Pippen,1,0,0,1
1996-97,0029600616,893,Jordan,2,0,0,2
1996-97,0029600630,679,Caffey,1,0,0,1
1996-97,0029600630,893,Jordan,2,0,0,1
1996-97,0029600630,753,Brown,1,0,0,1
1996-97,0029600636,937,Pippen,1,0,0,1
1996-97,0029600636,389,Kukoc,1,0,0,0
1996-97,0029600636,893,Jordan,1,0,0,1
1996-97,0029600655,82,Wennington,1,0,0,1
1996-97,0029600667,937,Pippen,1,0,0,1
1996-97,0029600667,679,Caffey,1,0,0,0
1996-97,0029600667,893,Jordan,1,0,0,1
1996-97,0029600673,389,Kukoc,1,0,0,1
1996-97,0029600709,389,Kukoc,1,0,0,1
1996-97,0029600709,26,Longley,1,0,0,0
1996-97,0029600725,23,Rodman,1,0,0,1
1996-97,0029600739,679,Caffey,1,0,0,1
1996-97,0029600739,937,Pippen,3,0,0,3
1996-97,0029600739,389,Kukoc,1,0,0,1
1996-97,0029600758,679,Caffey,1,0,0,0
1996-97,0029600758,893,Jordan,1,0,0,1
1996-97,0029600771,679,Caffey,1,0,0,1
1996-97,0029600771,893,Jordan,2,0,0,1
1996-97,0029600785,937,Pippen,1,0,0,1
1996-97,0029600785,679,Caffey,1,0,0,1
1996-97,0029600785,893,Jordan,1,0,0,1
1996-97,0029600805,893,Jordan,1,0,0,1
1996-97,0029600815,679,Caffey,1,0,0,1
1996-97,0029600815,893,Jordan,3,1,0,3
1996-97,0029600815,937,Pippen,1,0,0,0
1996-97,0029600835,26,Longley,1,0,0,1
1996-97,0029600835,937,Pippen,1,0,0,0
1996-97,0029600835,753,Brown,1,0,0,1
1996-97,0029600850,679,Caffey,1,0,0,0
1996-97,0029600850,305,Parish,1,0,0,1
1996-97,0029600850,753,Brown,1,0,0,1
1996-97,0029600865,166,Harper,1,0,0,1
1996-97,0029600865,937,Pippen,1,0,0,1
1996-97,0029600877,26,Longley,1,0,0,1
1996-97,0029600877,937,Pippen,1,0,0,1
1996-97,0029600877,893,Jordan,1,0,0,1
1996-97,0029600877,305,Parish,1,0,0,0
1996-97,0029600888,753,Brown,1,0,0,0
1996-97,0029600888,679,Caffey,2,0,0,2
1996-97,0029600888,937,Pippen,1,0,0,1
1996-97,0029600901,893,Jordan,1,0,0,1
1996-97,0029600912,893,Jordan,3,0,0,2
1996-97,0029600912,26,Longley,1,0,0,1
1996-97,0029600924,679,Caffey,2,0,0,2
1996-97,0029600948,70,Kerr,1,0,0,1
1996-97,0029600972,26,Longley,1,0,0,1
1996-97,0029600972,937,Pippen,1,0,0,0
1996-97,0029600972,305,Parish,1,0,0,1
1996-97,0029600972,679,Caffey,1,0,0,1
1996-97,0029600977,26,Longley,1,0,0,0
1996-97,0029600995,937,Pippen,1,0,0,1
1996-97,0029601011,54,Simpkins,1,0,0,1
1996-97,0029601011,26,Longley,3,0,0,3
1996-97,0029601011,893,Jordan,1,0,0,0
1996-97,0029601027,26,Longley,1,0,0,1
1996-97,0029601027,893,Jordan,1,1,0,1
1996-97,0029601027,679,Caffey,1,0,0,1
1996-97,0029601042,893,Jordan,1,0,0,1
1996-97,0029601042,389,Kukoc,2,0,0,1
1996-97,0029601057,893,Jordan,2,0,0,2
1996-97,0029601066,893,Jordan,1,0,0,1
1996-97,0029601066,937,Pippen,2,0,0,1
1996-97,0029601066,146,Buechler,1,1,0,0
1996-97,0029601089,166,Harper,1,0,0,0
1996-97,0029601089,937,Pippen,1,0,0,1
1996-97,0029601142,26,Longley,1,0,0,0
1996-97,0029601142,54,Simpkins,1,0,0,1
1996-97,0029601155,166,Harper,1,0,0,1
1996-97,0029601155,183,Dele,1,0,0,0
1996-97,0029601155,893,Jordan,1,0,0,1
1996-97,0029601176,679,Caffey,1,0,0,1
1996-97,0029601176,166,Harper,1,0,0,1
1996-97,0029601176,753,Brown,1,0,0,1
1996-97,0029601176,146,Buechler,1,0,0,0
1997-98,0029700001,893,Jordan,3,0,0,3
1997-98,0029700018,26,Longley,1,0,0,0
1997-98,0029700030,26,Longley,1,0,0,0
1997-98,0029700048,893,Jordan,1,0,0,0
1997-98,0029700057,166,Harper,1,0,0,1
1997-98,0029700057,197,Burrell,1,0,0,1
1997-98,0029700057,893,Jordan,1,0,0,1
1997-98,0029700069,753,Brown,1,0,0,1
1997-98,0029700069,70,Kerr,1,0,0,1
1997-98,0029700084,679,Caffey,1,0,0,1
1997-98,0029700084,893,Jordan,1,0,0,0
1997-98,0029700092,23,Rodman,1,0,0,1
1997-98,0029700092,893,Jordan,2,0,0,1
1997-98,0029700092,26,Longley,1,0,0,0
1997-98,0029700107,389,Kukoc,1,0,0,0
1997-98,0029700107,166,Harper,1,0,0,0
1997-98,0029700118,26,Longley,1,0,0,1
1997-98,0029700151,893,Jordan,1,0,0,1
1997-98,0029700157,893,Jordan,3,0,0,2
1997-98,0029700157,26,Longley,1,0,0,1
1997-98,0029700157,389,Kukoc,1,0,0,1
1997-98,0029700157,679,Caffey,1,0,0,0
1997-98,0029700173,753,Brown,1,0,0,0
1997-98,0029700182,389,Kukoc,1,0,0,1
1997-98,0029700182,893,Jordan,2,0,0,2
1997-98,0029700198,893,Jordan,1,0,0,0
1997-98,0029700206,893,Jordan,2,0,0,1
1997-98,0029700206,679,Caffey,1,0,0,0
1997-98,0029700206,26,Longley,1,0,0,1
1997-98,0029700228,389,Kukoc,2,0,0,1
1997-98,0029700228,166,Harper,1,0,0,1
1997-98,0029700245,26,Longley,1,0,0,1
1997-98,0029700245,389,Kukoc,1,0,0,1
1997-98,0029700272,166,Harper,1,0,0,1
1997-98,0029700272,753,Brown,1,0,0,1
1997-98,0029700272,893,Jordan,1,0,0,1
1997-98,0029700272,389,Kukoc,1,0,0,1
1997-98,0029700272,26,Longley,1,0,0,1
1997-98,0029700280,23,Rodman,1,0,0,0
1997-98,0029700280,679,Caffey,1,0,0,0
1997-98,0029700280,893,Jordan,1,0,0,1
1997-98,0029700293,753,Brown,1,0,0,0
1997-98,0029700293,893,Jordan,1,0,0,1
1997-98,0029700305,389,Kukoc,2,0,0,1
1997-98,0029700305,82,Wennington,1,0,0,1
1997-98,0029700305,197,Burrell,1,0,0,1
1997-98,0029700317,679,Caffey,1,0,0,1
1997-98,0029700317,753,Brown,1,0,0,0
1997-98,0029700349,166,Harper,1,0,0,1
1997-98,0029700349,197,Burrell,1,0,0,1
1997-98,0029700349,389,Kukoc,1,0,0,1
1997-98,0029700349,893,Jordan,1,0,0,1
1997-98,0029700375,389,Kukoc,1,0,0,1
1997-98,0029700375,166,Harper,1,0,0,0
1997-98,0029700380,893,Jordan,1,0,0,1
1997-98,0029700380,197,Burrell,1,0,0,0
1997-98,0029700396,893,Jordan,3,0,0,2
1997-98,0029700396,82,Wennington,1,0,0,1
1997-98,0029700396,166,Harper,1,0,0,0
1997-98,0029700396,389,Kukoc,1,0,0,1
1997-98,0029700409,893,Jordan,3,0,0,3
1997-98,0029700409,166,Harper,1,0,0,0
1997-98,0029700431,893,Jordan,2,0,0,1
1997-98,0029700431,389,Kukoc,1,0,0,1
1997-98,0029700442,26,Longley,2,0,0,1
1997-98,0029700442,893,Jordan,1,0,0,1
1997-98,0029700442,23,Rodman,1,0,0,0
1997-98,0029700442,166,Harper,1,0,0,1
1997-98,0029700442,389,Kukoc,1,0,0,0
1997-98,0029700459,679,Caffey,1,0,0,1
1997-98,0029700459,389,Kukoc,1,0,0,1
1997-98,0029700481,26,Longley,1,0,0,1
1997-98,0029700481,893,Jordan,2,0,0,2
1997-98,0029700511,937,Pippen,2,0,0,2
1997-98,0029700511,389,Kukoc,2,0,0,2
1997-98,0029700511,893,Jordan,1,0,0,1
1997-98,0029700525,937,Pippen,1,0,0,1
1997-98,0029700525,893,Jordan,2,0,0,1
1997-98,0029700525,166,Harper,1,0,0,1
1997-98,0029700532,26,Longley,1,0,0,1
1997-98,0029700532,937,Pippen,1,0,0,1
1997-98,0029700532,893,Jordan,1,0,0,0
1997-98,0029700532,679,Caffey,1,0,0,0
1997-98,0029700569,937,Pippen,1,0,0,1
1997-98,0029700569,166,Harper,1,0,0,1
1997-98,0029700569,893,Jordan,2,0,0,2
1997-98,0029700578,893,Jordan,1,0,0,1
1997-98,0029700578,389,Kukoc,1,0,0,1
1997-98,0029700578,166,Harper,2,0,0,1
1997-98,0029700598,893,Jordan,3,0,0,3
1997-98,0029700613,937,Pippen,1,0,0,1
1997-98,0029700625,389,Kukoc,1,0,0,1
1997-98,0029700625,26,Longley,1,0,0,0
1997-98,0029700625,166,Harper,1,0,0,1
1997-98,0029700625,937,Pippen,1,0,0,0
1997-98,0029700635,26,Longley,1,0,0,1
1997-98,0029700635,166,Harper,1,0,0,1
1997-98,0029700635,937,Pippen,1,0,0,1
1997-98,0029700647,679,Caffey,1,0,0,1
