player_name,season,and1s,bbr_and1s,pbpstats_and1s,and1s_flagrant,nba_rank,off_poss,per_100
DeMar DeRozan,2022-23,79,78.0,79,1,3,5458,1.4474166361304508
DeMar DeRozan,2021-22,74,74.0,74,0,3,5581,1.3259272531804336
DeMar DeRozan,2023-24,71,71.0,71,0,7,5971,1.1890805560207671
Michael Jordan,1997-98,70,70.0,69,0,3,5705,1.2269938650306749
Jimmy Butler,2016-17,54,54.0,54,0,9,5588,0.9663564781675018
Elton Brand,1999-00,50,50.0,50,0,7,5482,0.9120758847136081
Zach LaVine,2022-23,50,51.0,50,0,17,5645,0.8857395925597874
Derrick Rose,2010-11,50,50.0,50,0,12,5715,0.8748906386701663
Elton Brand,2000-01,47,47.0,47,0,10,5438,0.8642883413019492
Eddy Curry,2004-05,46,46.0,46,0,14,3455,1.3314037626628075
Michael Jordan,1996-97,45,45.0,40,0,16,5492,0.8193736343772761
Zach LaVine,2018-19,43,43.0,43,0,25,4465,0.9630459126539753
Eddy Curry,2003-04,42,42.0,42,0,12,4117,1.0201603109059996
Carlos Boozer,2012-13,40,40.0,40,0,13,4755,0.8412197686645636
Luol Deng,2006-07,39,38.0,39,1,32,5990,0.6510851419031719
