bulls_rank,player_id,player_name,season,games,off_poss,and1s,and1s_3pt,and1s_flagrant,and1s_made_ft,per_100,nba_rank,bbr_and1s,pbpstats_and1s
1,201942,DeMar DeRozan,2022-23,74,5458,79,3,1,67,1.4474166361304508,3,78.0,79
2,201942,DeMar DeRozan,2021-22,76,5581,74,3,0,64,1.3259272531804336,3,74.0,74
3,201942,DeMar DeRozan,2023-24,79,5971,71,1,0,55,1.1890805560207671,7,71.0,71
4,893,Michael Jordan,1997-98,79,5705,70,0,0,52,1.2269938650306749,3,70.0,69
5,202710,Jimmy Butler,2016-17,76,5588,54,2,0,43,0.9663564781675018,9,54.0,54
6,1882,Elton Brand,1999-00,79,5482,50,0,0,34,0.9120758847136081,7,50.0,50
7,203897,Zach LaVine,2022-23,77,5645,50,0,0,42,0.8857395925597874,17,51.0,50
8,201565,Derrick Rose,2010-11,81,5715,50,2,0,45,0.8748906386701663,12,50.0,50
9,1882,Elton Brand,2000-01,74,5438,47,0,0,28,0.8642883413019492,10,47.0,47
10,2201,Eddy Curry,2004-05,63,3455,46,0,0,39,1.3314037626628075,14,46.0,46
11,893,Michael Jordan,1996-97,77,5492,45,2,0,39,0.8193736343772761,16,45.0,40
12,203897,Zach LaVine,2018-19,63,4465,43,0,0,35,0.9630459126539753,25,43.0,43
13,2201,Eddy Curry,2003-04,73,4117,42,0,0,29,1.0201603109059996,12,42.0,42
14,2430,Carlos Boozer,2012-13,79,4755,40,0,0,30,0.8412197686645636,13,40.0,40
15,2736,Luol Deng,2006-07,82,5990,39,0,1,27,0.6510851419031719,32,38.0,39
