season,season_type,GAME_ID,PLAYER_ID,PLAYER_NAME,GAME_DATE,MATCHUP,WL,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,MIN,h1_PTS,h1_FGM,h1_FGA,h1_FG3M,h1_FG3A,h1_FTM,h1_FTA,h1_MIN,h1_played,h2_PTS,h2_FGM,h2_FGA,h2_FG3M,h2_FG3A,h2_FTM,h2_FTA,h2_MIN,h2_played,ot_PTS,ot_FGM,ot_FGA,ot_FG3M,ot_FG3A,ot_FTM,ot_FTA,ot_MIN,ot_played,q1_PTS,q1_FGM,q1_FGA,q1_FG3M,q1_FG3A,q1_FTM,q1_FTA,q1_MIN,q1_played,q2_PTS,q2_FGM,q2_FGA,q2_FG3M,q2_FG3A,q2_FTM,q2_FTA,q2_MIN,q2_played,q3_PTS,q3_FGM,q3_FGA,q3_FG3M,q3_FG3A,q3_FTM,q3_FTA,q3_MIN,q3_played,q4_PTS,q4_FGM,q4_FGA,q4_FG3M,q4_FG3A,q4_FTM,q4_FTA,q4_MIN,q4_played
1996-97,Regular Season,0029601176,937,Scottie Pippen,1997-04-19T00:00:00,CHI vs. NYK,L,12,4,10,0,5,4,4,37.86666666666667,2.0,0.0,2.0,0.0,2.0,2.0,2.0,17.25,True,10.0,4.0,8.0,0.0,3.0,2.0,2.0,20.616666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,True,2.0,0.0,1.0,0.0,1.0,2.0,2.0,5.25,True,4.0,2.0,5.0,0.0,2.0,0.0,0.0,12.0,True,6.0,2.0,3.0,0.0,1.0,2.0,2.0,8.616666666666667,True
1996-97,Regular Season,0029601176,893,Michael Jordan,1997-04-19T00:00:00,CHI vs. NYK,L,33,14,22,1,1,4,8,39.483333333333334,20.0,9.0,14.0,1.0,1.0,1.0,2.0,19.716666666666665,True,13.0,5.0,8.0,0.0,0.0,3.0,6.0,19.766666666666666,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,10.0,5.0,9.0,0.0,0.0,0.0,0.0,12.0,True,10.0,4.0,5.0,1.0,1.0,1.0,2.0,7.716666666666667,True,6.0,2.0,4.0,0.0,0.0,2.0,4.0,8.916666666666666,True,7.0,3.0,4.0,0.0,0.0,1.0,2.0,10.85,True
1996-97,Regular Season,0029601176,679,Jason Caffey,1997-04-19T00:00:00,CHI vs. NYK,L,12,4,7,0,0,4,5,34.733333333333334,7.0,3.0,5.0,0.0,0.0,1.0,1.0,16.926666666666666,True,5.0,1.0,2.0,0.0,0.0,3.0,4.0,17.80666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7.0,3.0,5.0,0.0,0.0,1.0,1.0,11.243333333333334,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.683333333333334,True,5.0,1.0,2.0,0.0,0.0,3.0,4.0,11.956666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,True
1996-97,Regular Season,0029601176,26,Luc Longley,1997-04-19T00:00:00,CHI vs. NYK,L,10,5,10,0,0,0,0,27.035,6.0,3.0,5.0,0.0,0.0,0.0,0.0,12.268333333333333,True,4.0,2.0,5.0,0.0,0.0,0.0,0.0,14.766666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.533333333333333,True,4.0,2.0,3.0,0.0,0.0,0.0,0.0,7.735,True,2.0,1.0,3.0,0.0,0.0,0.0,0.0,8.3,True,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6.466666666666667,True
1996-97,Regular Season,0029601176,166,Ron Harper,1997-04-19T00:00:00,CHI vs. NYK,L,3,1,2,0,0,1,1,19.866666666666667,3.0,1.0,2.0,0.0,0.0,1.0,1.0,9.6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.266666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0,1.0,2.0,0.0,0.0,1.0,1.0,9.6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.266666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1996-97,Regular Season,0029601176,146,Jud Buechler,1997-04-19T00:00:00,CHI vs. NYK,L,4,2,4,0,1,0,1,13.498333333333333,2.0,1.0,2.0,0.0,1.0,0.0,1.0,7.921666666666667,True,2.0,1.0,2.0,0.0,0.0,0.0,0.0,5.576666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7566666666666667,True,2.0,1.0,2.0,0.0,1.0,0.0,1.0,7.165,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043333333333333335,True,2.0,1.0,2.0,0.0,0.0,0.0,0.0,5.533333333333333,True
1996-97,Regular Season,0029601176,183,Bison Dele,1997-04-19T00:00:00,CHI vs. NYK,L,8,3,6,0,0,2,2,16.55,2.0,1.0,2.0,0.0,0.0,0.0,0.0,7.316666666666666,True,6.0,2.0,4.0,0.0,0.0,2.0,2.0,9.233333333333333,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6.316666666666666,True,2.0,0.0,1.0,0.0,0.0,2.0,2.0,3.7,True,4.0,2.0,3.0,0.0,0.0,0.0,0.0,5.533333333333333,True
1996-97,Regular Season,0029601176,753,Randy Brown,1997-04-19T00:00:00,CHI vs. NYK,L,7,3,4,0,0,1,1,14.3,7.0,3.0,4.0,0.0,0.0,1.0,1.0,7.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7.0,3.0,4.0,0.0,0.0,1.0,1.0,7.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,True
1996-97,Regular Season,0029601176,70,Steve Kerr,1997-04-19T00:00:00,CHI vs. NYK,L,10,3,5,3,4,1,2,26.35,7.0,2.0,4.0,2.0,3.0,1.0,2.0,11.683333333333334,True,3.0,1.0,1.0,1.0,1.0,0.0,0.0,14.666666666666666,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0,1.0,2.0,1.0,1.0,0.0,0.0,2.4,True,4.0,1.0,2.0,1.0,2.0,1.0,2.0,9.283333333333333,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.816666666666666,True,3.0,1.0,1.0,1.0,1.0,0.0,0.0,9.85,True
1996-97,Regular Season,0029601176,305,Robert Parish,1997-04-19T00:00:00,CHI vs. NYK,L,2,1,3,0,0,0,0,6.466666666666667,2.0,1.0,3.0,0.0,0.0,0.0,0.0,6.466666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,1.0,3.0,0.0,0.0,0.0,0.0,6.466666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1996-97,Regular Season,0029601176,54,Dickey Simpkins,1997-04-19T00:00:00,CHI vs. NYK,L,0,0,2,0,0,0,0,3.85,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.85,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.85,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1996-97,Regular Season,0029601155,937,Scottie Pippen,1997-04-16T00:00:00,CHI @ MIA,L,28,12,22,4,7,0,0,39.45,11.0,4.0,8.0,3.0,3.0,0.0,0.0,15.45,True,17.0,8.0,14.0,1.0,4.0,0.0,0.0,24.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11.0,4.0,6.0,3.0,3.0,0.0,0.0,12.0,True,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.45,True,9.0,4.0,7.0,1.0,3.0,0.0,0.0,12.0,True,8.0,4.0,7.0,0.0,1.0,0.0,0.0,12.0,True
1996-97,Regular Season,0029601155,893,Michael Jordan,1997-04-16T00:00:00,CHI @ MIA,L,26,11,27,2,5,2,4,39.45,13.0,6.0,13.0,1.0,1.0,0.0,0.0,19.416666666666668,True,13.0,5.0,14.0,1.0,4.0,2.0,4.0,20.033333333333335,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11.0,5.0,9.0,1.0,1.0,0.0,0.0,12.0,True,2.0,1.0,4.0,0.0,0.0,0.0,0.0,7.416666666666667,True,2.0,1.0,7.0,0.0,1.0,0.0,0.0,12.0,True,11.0,4.0,7.0,1.0,3.0,2.0,4.0,8.033333333333333,True
1996-97,Regular Season,0029601155,26,Luc Longley,1997-04-16T00:00:00,CHI @ MIA,L,2,1,6,0,0,0,0,26.476666666666667,0.0,0.0,4.0,0.0,0.0,0.0,0.0,16.66,True,2.0,1.0,2.0,0.0,0.0,0.0,0.0,9.816666666666666,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.25,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,True,2.0,1.0,2.0,0.0,0.0,0.0,0.0,5.05,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.766666666666667,True
1996-97,Regular Season,0029601155,679,Jason Caffey,1997-04-16T00:00:00,CHI @ MIA,L,10,3,5,0,0,4,6,28.216666666666665,5.0,1.0,3.0,0.0,0.0,3.0,4.0,12.6,True,5.0,2.0,2.0,0.0,0.0,1.0,2.0,15.616666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0,1.0,1.0,0.0,0.0,1.0,2.0,9.15,True,2.0,0.0,2.0,0.0,0.0,2.0,2.0,3.45,True,5.0,2.0,2.0,0.0,0.0,1.0,2.0,10.366666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,True
1996-97,Regular Season,0029601155,753,Randy Brown,1997-04-16T00:00:00,CHI @ MIA,L,8,3,5,0,0,2,2,19.905,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.583333333333333,True,6.0,2.0,3.0,0.0,0.0,2.0,2.0,15.321666666666667,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.583333333333333,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.933333333333333,True,4.0,1.0,2.0,0.0,0.0,2.0,2.0,11.388333333333334,True
1996-97,Regular Season,0029601155,183,Bison Dele,1997-04-16T00:00:00,CHI @ MIA,L,8,4,6,0,0,0,1,17.49,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.59,True,8.0,4.0,4.0,0.0,0.0,0.0,1.0,12.9,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.59,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,6.95,True,6.0,3.0,3.0,0.0,0.0,0.0,1.0,5.95,True
1996-97,Regular Season,0029601155,166,Ron Harper,1997-04-16T00:00:00,CHI @ MIA,L,3,1,2,0,1,1,1,20.066666666666666,3.0,1.0,2.0,0.0,1.0,1.0,1.0,12.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.066666666666666,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0,1.0,2.0,0.0,1.0,1.0,1.0,12.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.066666666666666,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1996-97,Regular Season,0029601155,146,Jud Buechler,1997-04-16T00:00:00,CHI @ MIA,L,2,1,2,0,0,0,0,25.033333333333335,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.4,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,13.633333333333333,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.55,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6333333333333333,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,True
