season,season_type,games,player_games,pts,h1_pts,h2_pts,ot_pts
1996-97,Playoffs,19,206,1758,879.0,879.0,0
1996-97,Regular Season,82,879,8458,4303.0,4131.0,24.0
1997-98,Playoffs,21,224,1956,986.0,957.0,13.0
1997-98,Regular Season,82,884,7931,4003.0,3869.0,59.0
1998-99,Regular Season,50,546,4095,2086.0,1983.0,26.0
1999-00,Regular Season,82,852,6952,3450.0,3461.0,41.0
2000-01,Regular Season,82,822,7181,3707.0,3408.0,66.0
2001-02,Regular Season,82,851,7335,3643.0,3645.0,47.0
2002-03,Regular Season,82,867,7786,3867.0,3846.0,73.0
2003-04,Regular Season,82,817,7355,3702.0,3603.0,50.0
2004-05,Playoffs,6,65,615,305.0,310.0,0
2004-05,Regular Season,82,867,7745,3883.0,3805.0,57.0
2005-06,Playoffs,6,65,590,279.0,311.0,0
2005-06,Regular Season,82,875,8020,3914.0,4008.0,98.0
2006-07,Playoffs,10,98,924,478.0,446.0,0
2006-07,Regular Season,82,868,8100,4042.0,4013.0,45.0
2007-08,Regular Season,82,841,7981,3947.0,3984.0,50.0
2008-09,Playoffs,7,63,758,341.0,346.0,71.0
2008-09,Regular Season,82,761,8378,4087.0,4190.0,101.0
2009-10,Playoffs,5,47,485,247.0,238.0,0
2009-10,Regular Season,82,785,7993,4068.0,3850.0,75.0
2010-11,Playoffs,16,169,1480,742.0,730.0,8.0
2010-11,Regular Season,82,850,8087,4061.0,3969.0,57.0
2011-12,Playoffs,6,59,506,264.0,242.0,0
2011-12,Regular Season,66,690,6359,3253.0,3064.0,42.0
2012-13,Playoffs,12,115,1103,554.0,518.0,31.0
2012-13,Regular Season,82,809,7641,3851.0,3727.0,63.0
2013-14,Playoffs,5,42,450,232.0,210.0,8.0
2013-14,Regular Season,82,791,7680,3833.0,3766.0,81.0
2014-15,Playoffs,12,123,1152,586.0,548.0,18.0
2014-15,Regular Season,82,821,8265,4016.0,4170.0,79.0
2015-16,Regular Season,82,850,8335,4169.0,4091.0,75.0
2016-17,Playoffs,6,68,579,280.0,299.0,0
2016-17,Regular Season,82,876,8435,4258.0,4125.0,52.0
2017-18,Regular Season,82,848,8440,4215.0,4166.0,59.0
2018-19,Regular Season,82,846,8605,4223.0,4291.0,91.0
2019-20,Regular Season,65,691,6945,3481.0,3438.0,26.0
2020-21,Regular Season,72,772,7969,3950.0,3972.0,47.0
2021-22,Playoffs,5,53,476,230.0,246.0,0
2021-22,Regular Season,82,838,9152,4519.0,4610.0,23.0
2022-23,PlayIn,2,20,200,91.0,109.0,0
2022-23,Regular Season,82,846,9276,4614.0,4577.0,85.0
2023-24,PlayIn,2,20,222,110.0,112.0,0
2023-24,Regular Season,82,833,9206,4431.0,4632.0,143.0
2024-25,PlayIn,1,11,90,47.0,43.0,0
2024-25,Regular Season,82,919,9660,4708.0,4913.0,39.0
2025-26,Regular Season,82,865,9537,4633.0,4872.0,32.0
