rank,tied,player_id,player_name,season,season_type,game_date,matchup,opponent,home,result,split,split_label,pts,fgm,fga,fg3m,fg3a,ftm,fta,min,game_pts,game_id
1,False,202710,Jimmy Butler,2015-16,Regular Season,2016-01-03,CHI @ TOR,TOR,False,W,h2,2H,40.0,14.0,19.0,2.0,3.0,10.0,11.0,24.0,42,0021500507
2,False,203897,Zach LaVine,2020-21,Regular Season,2021-04-09,CHI @ ATL,ATL,False,L,h1,1H,39.0,13.0,19.0,7.0,9.0,6.0,6.0,20.316666666666666,50,0022000791
3,False,203897,Zach LaVine,2019-20,Regular Season,2019-11-23,CHI @ CHA,CHA,False,W,h2,2H,35.0,13.0,20.0,9.0,13.0,0.0,0.0,19.816666666666666,49,0021900226
4,True,202710,Jimmy Butler,2016-17,Regular Season,2017-01-02,CHI vs. CHA,CHA,True,W,h2,2H,32.0,9.0,13.0,1.0,2.0,13.0,13.0,18.35,52,0021600517
4,True,203897,Zach LaVine,2023-24,Regular Season,2023-10-28,CHI @ DET,DET,False,L,h2,2H,32.0,11.0,19.0,5.0,7.0,5.0,5.0,19.15,51,0022300088
6,True,1629632,Coby White,2024-25,Regular Season,2025-03-20,CHI @ SAC,SAC,False,W,h2,2H,31.0,9.0,12.0,2.0,3.0,11.0,12.0,18.466666666666665,35,0022401013
6,True,937,Scottie Pippen,1996-97,Regular Season,1997-02-18,CHI vs. DEN,DEN,True,W,h2,2H,31.0,11.0,13.0,2.0,4.0,7.0,7.0,20.25,47,0029600739
6,True,2037,Jamal Crawford,2002-03,Regular Season,2003-04-08,CHI vs. IND,IND,True,W,h2,2H,31.0,10.0,16.0,3.0,4.0,8.0,9.0,19.066666666666666,33,0020201119
6,True,2037,Jamal Crawford,2003-04,Regular Season,2004-04-11,CHI @ TOR,TOR,False,W,h2,2H,31.0,11.0,21.0,4.0,5.0,5.0,7.0,24.0,50,0020301156
10,True,1629632,Coby White,2023-24,Regular Season,2024-02-06,CHI vs. MIN,MIN,True,W,h2,2H,30.0,10.0,13.0,7.0,9.0,3.0,3.0,19.866666666666667,33,0022300723
10,True,203897,Zach LaVine,2022-23,PlayIn,2023-04-12,CHI @ TOR,TOR,False,W,h2,2H,30.0,8.0,14.0,2.0,5.0,12.0,13.0,22.216666666666665,39,0052200111
10,True,2732,Ben Gordon,2006-07,Regular Season,2006-11-16,CHI @ HOU,HOU,False,L,h2,2H,30.0,9.0,17.0,1.0,3.0,11.0,12.0,21.416666666666668,37,0020600117
10,True,893,Michael Jordan,1996-97,Regular Season,1997-02-24,CHI vs. POR,POR,True,W,h1,1H,30.0,11.0,20.0,2.0,4.0,6.0,7.0,21.133333333333333,37,0029600785
