season,player_id,player_name,team_id,gp,rim_fgm,rim_fga,blocks,rim_fga_per_game,rim_fg_pct,league_rim_fg_pct,pct_vs_league,rim_makes_saved
2013-14,2430,Carlos Boozer,1610612741,76,131,207,22,2.7237,63.285,61.876,1.409,-2.9166
2013-14,201858,Cartier Martin,1610612737,6,0,0,0,0.0,,61.876,,0.0
2013-14,201571,D.J. Augustin,1610612741,61,63,82,3,1.3443,76.8293,61.876,14.9532,-12.2617
2013-14,201565,Derrick Rose,1610612741,10,16,26,1,2.6,61.5385,61.876,-0.3376,0.0878
2013-14,203513,Erik Murphy,1610612741,24,5,11,4,0.4583,45.4545,61.876,-16.4215,1.8064
2013-14,202363,Jarvis Varnado,1610612755,1,1,1,0,1.0,100.0,61.876,38.124,-0.3812
2013-14,202690,Jimmer Fredette,1610612741,8,1,1,0,0.125,100.0,61.876,38.124,-0.3812
2013-14,202710,Jimmy Butler,1610612741,67,102,178,36,2.6567,57.3034,61.876,-4.5727,8.1393
2013-14,201149,Joakim Noah,1610612741,80,200,384,121,4.8,52.0833,61.876,-9.7927,37.604
2013-14,2550,Kirk Hinrich,1610612741,73,79,134,26,1.8356,58.9552,61.876,-2.9208,3.9139
2013-14,200811,Lou Amundson,1610612741,1,0,0,0,0.0,,61.876,,0.0
2013-14,2736,Luol Deng,1610612739,23,35,50,4,2.1739,70.0,61.876,8.124,-4.062
2013-14,203104,Marquis Teague,1610612751,19,12,17,4,0.8947,70.5882,61.876,8.7122,-1.4811
2013-14,2399,Mike Dunleavy,1610612741,82,102,147,46,1.7927,69.3878,61.876,7.5117,-11.0422
2013-14,2229,Mike James,1610612741,11,3,5,0,0.4545,60.0,61.876,-1.876,0.0938
2013-14,1737,Nazr Mohammed,1610612741,80,42,79,30,0.9875,53.1646,61.876,-8.7115,6.8821
2013-14,200758,Ronnie Brewer,1610612741,1,0,0,0,0.0,,61.876,,0.0
2013-14,201959,Taj Gibson,1610612741,82,144,275,112,3.3537,52.3636,61.876,-9.5124,26.1591
2013-14,203503,Tony Snell,1610612741,77,46,74,15,0.961,62.1622,61.876,0.2861,-0.2117
2013-14,203129,Tornike Shengelia,1610612741,9,0,0,0,0.0,,61.876,,0.0
2014-15,201166,Aaron Brooks,1610612741,82,52,75,15,0.9146,69.3333,61.3201,8.0132,-6.0099
2014-15,203946,Cameron Bairstow,1610612741,18,5,9,1,0.5,55.5556,61.3201,-5.7646,0.5188
2014-15,201565,Derrick Rose,1610612741,51,75,112,16,2.1961,66.9643,61.3201,5.6442,-6.3215
2014-15,203926,Doug McDermott,1610612741,36,10,12,1,0.3333,83.3333,61.3201,22.0132,-2.6416
2014-15,202734,E'Twaun Moore,1610612741,56,22,39,6,0.6964,56.4103,61.3201,-4.9099,1.9148
2014-15,202710,Jimmy Butler,1610612741,65,113,174,36,2.6769,64.9425,61.3201,3.6224,-6.303
2014-15,201149,Joakim Noah,1610612741,67,146,264,74,3.9403,55.303,61.3201,-6.0171,15.8851
2014-15,2550,Kirk Hinrich,1610612741,66,57,94,14,1.4242,60.6383,61.3201,-0.6818,0.6409
2014-15,2399,Mike Dunleavy,1610612741,63,56,94,21,1.4921,59.5745,61.3201,-1.7456,1.6409
2014-15,1737,Nazr Mohammed,1610612741,23,15,25,5,1.087,60.0,61.3201,-1.3201,0.33
2014-15,202703,Nikola Mirotic,1610612741,82,136,214,54,2.6098,63.5514,61.3201,2.2313,-4.775
2014-15,2200,Pau Gasol,1610612741,78,274,522,147,6.6923,52.4904,61.3201,-8.8297,46.091
2014-15,201959,Taj Gibson,1610612741,62,105,212,75,3.4194,49.5283,61.3201,-11.7918,24.9986
2014-15,203503,Tony Snell,1610612741,72,53,73,11,1.0139,72.6027,61.3201,11.2826,-8.2363
2015-16,201166,Aaron Brooks,1610612741,69,36,52,10,0.7536,69.2308,62.0651,7.1657,-3.7262
2015-16,1626171,Bobby Portis Jr.,1610612741,62,88,143,22,2.3065,61.5385,62.0651,-0.5266,0.7531
2015-16,203946,Cameron Bairstow,1610612765,18,3,9,3,0.5,33.3333,62.0651,-28.7317,2.5859
