rank,season,player_id,player_name,team_id,gp,rim_fgm,rim_fga,blocks,rim_fga_per_game,rim_fg_pct,league_rim_fg_pct,pct_vs_league,rim_makes_saved,minutes,possessions,rim_fga_per_100,rim_points_saved,rim_points_saved_per_100,season_volume_cut,qualified_per_100,featured
1,2016-17,201577,Robin Lopez,1610612741,81,300,547,117,6.7531,54.8446,62.8353,-7.9906,43.7088,2268.0,4549,12.0246,87.4177,1.9217,296,True,True
2,2015-16,2200,Pau Gasol,1610612741,72,247,470,146,6.5278,52.5532,62.0651,-9.5119,44.7058,2289.6,4656,10.0945,89.4117,1.9204,324,True,True
3,2014-15,2200,Pau Gasol,1610612741,78,274,522,147,6.6923,52.4904,61.3201,-8.8297,46.091,2683.2,5322,9.8083,92.182,1.7321,332,True,True
4,2018-19,201577,Robin Lopez,1610612741,73,170,310,76,4.2466,54.8387,64.1874,-9.3487,28.9809,1605.8,3353,9.2455,57.9618,1.7287,307,True,True
5,2013-14,201149,Joakim Noah,1610612741,80,200,384,121,4.8,52.0833,61.876,-9.7927,37.604,2816.0,5338,7.1937,75.2079,1.4089,330,True,True
6,2025-26,1641824,Matas Buzelis,1610612741,77,225,369,116,4.7922,60.9756,63.606,-2.6304,9.7062,2248.4,4883,7.5568,19.4124,0.3976,275,True,False
7,2021-22,202696,Nikola Vučević,1610612741,73,347,544,71,7.4521,63.7868,64.9405,-1.1537,6.2763,2416.3,5000,10.88,12.5526,0.2511,289,True,False
8,2023-24,202696,Nikola Vučević,1610612741,75,299,459,60,6.12,65.1416,64.6777,0.4639,-2.1292,2606.8,5287,8.6817,-4.2584,-0.0805,341,True,False
9,2024-25,202696,Nikola Vučević,1610612741,73,251,391,52,5.3562,64.1944,63.0084,1.1859,-4.637,2277.6,4950,7.899,-9.274,-0.1874,271,True,False
10,2022-23,202696,Nikola Vučević,1610612741,81,352,516,57,6.3704,68.2171,65.6213,2.5957,-13.3938,2747.0,5686,9.0749,-26.7877,-0.4711,342,True,False
