season,player_id,player_name,team_id,gp,rim_fgm,rim_fga,blocks,rim_fga_per_game,rim_fg_pct,league_rim_fg_pct,pct_vs_league,rim_makes_saved,minutes,possessions,rim_fga_per_100,rim_points_saved,rim_points_saved_per_100,volume_rank,featured
2013-14,2744,Al Jefferson,1610612766,72,220,350,78,4.8611,62.8571,61.876,0.9811,-3.4339,2555.0,4971,7.0408,-6.8678,-0.1382,23.0,False
2013-14,101161,Amir Johnson,1610612761,76,204,352,88,4.6316,57.9545,61.876,-3.9215,13.8036,2217.6,4277,8.2301,27.6073,0.6455,22.0,False
2013-14,203083,Andre Drummond,1610612765,81,275,476,131,5.8765,57.7731,61.876,-4.1029,19.5299,2616.3,5208,9.1398,39.0598,0.75,6.0,False
2013-14,203076,Anthony Davis,1610612740,67,175,334,189,4.9851,52.3952,61.876,-9.4808,31.6659,2358.4,4601,7.2593,63.3319,1.3765,29.0,False
2013-14,101112,Channing Frye,1610612756,82,229,370,63,4.5122,61.8919,61.876,0.0159,-0.0587,2312.4,4670,7.9229,-0.1174,-0.0025,20.0,False
2013-14,2547,Chris Bosh,1610612748,79,227,373,78,4.7215,60.8579,61.876,-1.0181,3.7976,2528.0,4901,7.6107,7.5952,0.155,19.0,False
2013-14,201599,DeAndre Jordan,1610612746,82,311,537,203,6.5488,57.9143,61.876,-3.9617,21.2743,2870.0,5776,9.2971,42.5486,0.7366,3.0,False
2013-14,202326,DeMarcus Cousins,1610612758,70,190,330,91,4.7143,57.5758,61.876,-4.3003,14.1909,2300.4,4578,7.2084,28.3818,0.62,30.0,False
2013-14,202324,Derrick Favors,1610612762,73,217,396,108,5.4247,54.798,61.876,-7.0781,28.0291,2204.6,4252,9.3133,56.0582,1.3184,13.0,False
2013-14,1717,Dirk Nowitzki,1610612742,80,229,379,45,4.7375,60.4222,61.876,-1.4539,5.5102,2632.0,5292,7.1618,11.0203,0.2082,18.0,False
2013-14,2730,Dwight Howard,1610612745,71,206,364,128,5.1268,56.5934,61.876,-5.2826,19.2288,2399.8,4807,7.5723,38.4575,0.8,21.0,False
2013-14,202683,Enes Freedom,1610612762,80,203,341,42,4.2625,59.5308,61.876,-2.3452,7.9973,2136.0,4147,8.2228,15.9945,0.3857,27.0,False
2013-14,202328,Greg Monroe,1610612765,82,230,389,47,4.7439,59.126,61.876,-2.7501,10.6978,2689.6,5395,7.2104,21.3955,0.3966,15.0,False
2013-14,203096,Jared Sullinger,1610612738,74,211,343,49,4.6351,61.516,61.876,-0.36,1.2348,2042.4,4062,8.4441,2.4696,0.0608,26.0,False
2013-14,201149,Joakim Noah,1610612741,80,200,384,121,4.8,52.0833,61.876,-9.7927,37.604,2816.0,5338,7.1937,75.2079,1.4089,16.0,True
2013-14,202685,Jonas Valanciunas,1610612761,80,230,423,71,5.2875,54.3735,61.876,-7.5025,31.7356,2284.2,4421,9.568,63.4712,1.4357,9.0,False
2013-14,2746,Josh Smith,1610612765,77,215,382,110,4.961,56.2827,61.876,-5.5933,21.3664,2733.5,5494,6.953,42.7329,0.7778,17.0,False
2013-14,201567,Kevin Love,1610612750,77,310,462,35,6.0,67.0996,61.876,5.2235,-24.1327,2795.1,5858,7.8867,-48.2655,-0.8239,8.0,False
2013-14,200746,LaMarcus Aldridge,1610612757,69,200,344,68,4.9855,58.1395,61.876,-3.7365,12.8535,2497.8,4992,6.891,25.7071,0.515,24.0,False
2013-14,101162,Marcin Gortat,1610612764,80,279,505,120,6.3125,55.2475,61.876,-6.6285,33.474,2656.8,5273,9.5771,66.9479,1.2696,5.0,False
2013-14,203101,Miles Plumlee,1610612756,80,237,422,90,5.275,56.1611,61.876,-5.7149,24.1168,1960.0,3961,10.6539,48.2337,1.2177,10.0,False
2013-14,2200,Pau Gasol,1610612747,60,246,394,92,6.5667,62.4365,61.876,0.5605,-2.2084,1884.0,3933,10.0178,-4.4169,-0.1123,14.0,False
2013-14,200794,Paul Millsap,1610612737,73,243,414,77,5.6712,58.6957,61.876,-3.1804,13.1668,2479.0,4996,8.2866,26.3335,0.5271,12.0,False
2013-14,201577,Robin Lopez,1610612757,82,271,542,139,6.6098,50.0,61.876,-11.876,64.3681,2607.6,5212,10.3991,128.7362,2.47,2.0,False
2013-14,201579,Roy Hibbert,1610612754,81,208,463,182,5.716,44.9244,61.876,-16.9516,78.486,2405.7,4642,9.9741,156.972,3.3816,7.0,False
2013-14,201586,Serge Ibaka,1610612760,81,275,554,219,6.8395,49.639,61.876,-12.237,67.7932,2664.9,5407,10.246,135.5864,2.5076,1.0,False
2013-14,201150,Spencer Hawes,1610612739,80,300,516,94,6.45,58.1395,61.876,-3.7365,19.2803,2472.0,5107,10.1038,38.5606,0.7551,4.0,False
2013-14,203093,Terrence Jones,1610612745,76,213,339,99,4.4605,62.8319,61.876,0.9558,-3.2403,2074.8,4209,8.0542,-6.4805,-0.154,28.0,False
