season,source_path,league_rim_fga,league_rim_fg_pct,full_season_aggregate_rim_fga,chicago_team_rim_fga,chicago_player_sum_rim_fga,chicago_rows,chicago_rows_labelled_other_team
2013-14,full season,57014,61.88,57014,1671,1671,20,4
2014-15,full season,57601,61.32,57601,1919,1919,14,0
2015-16,full season,58487,62.07,58487,2096,2096,16,2
2016-17,full season,58351,62.84,58351,2128,2128,18,2
2017-18,full season,60529,64.39,60529,2005,2005,21,2
2018-19,full season,62545,64.19,62545,2064,2064,22,4
2019-20,full season,58085,63.28,58085,1860,1860,17,0
2020-21,full season,56967,63.7,56967,1921,1921,22,5
2021-22,full season,63358,64.94,63358,2201,2201,22,2
2022-23,full season,66742,65.62,66742,2027,2027,18,1
2023-24,full season,67708,64.68,67708,1977,1977,18,0
2024-25,date halves,55537,63.01,65169,2022,2022,22,2
2025-26,full season,56916,63.61,56916,2131,2131,28,8
