rank,season,player_id,player_name,team_id,gp,rim_fgm,rim_fga,blocks,rim_fga_per_game,rim_fg_pct,league_rim_fg_pct,pct_vs_league,rim_makes_saved,minutes,possessions,rim_fga_per_100,rim_points_saved,rim_points_saved_per_100,nba_rank
1,2014-15,2200,Pau Gasol,1610612741,78,274,522,147,6.6923,52.4904,61.3201,-8.8297,46.091,2683.2,5322,9.8083,92.182,1.7321,5
2,2015-16,2200,Pau Gasol,1610612741,72,247,470,146,6.5278,52.5532,62.0651,-9.5119,44.7058,2289.6,4656,10.0945,89.4117,1.9204,4
3,2016-17,201577,Robin Lopez,1610612741,81,300,547,117,6.7531,54.8446,62.8353,-7.9906,43.7088,2268.0,4549,12.0246,87.4177,1.9217,5
4,2013-14,201149,Joakim Noah,1610612741,80,200,384,121,4.8,52.0833,61.876,-9.7927,37.604,2816.0,5338,7.1937,75.2079,1.4089,6
5,2018-19,201577,Robin Lopez,1610612741,73,170,310,76,4.2466,54.8387,64.1874,-9.3487,28.9809,1605.8,3353,9.2455,57.9618,1.7287,17
6,2013-14,201959,Taj Gibson,1610612741,82,144,275,112,3.3537,52.3636,61.876,-9.5124,26.1591,2353.4,4462,6.1632,52.3182,1.1725,17
7,2014-15,201959,Taj Gibson,1610612741,62,105,212,75,3.4194,49.5283,61.3201,-11.7918,24.9986,1692.6,3279,6.4654,49.9973,1.5248,16
8,2015-16,201959,Taj Gibson,1610612741,73,134,251,77,3.4384,53.3865,62.0651,-8.6786,21.7833,1934.5,3870,6.4858,43.5667,1.1258,28
9,2024-25,1641824,Matas Buzelis,1610612741,80,133,244,75,3.05,54.5082,63.0084,-8.5002,20.7406,1512.0,3328,7.3317,41.4812,1.2464,23
10,2017-18,201577,Robin Lopez,1610612741,64,165,286,53,4.4688,57.6923,64.3923,-6.7,19.1619,1689.6,3491,8.1925,38.3238,1.0978,34
11,2016-17,201959,Taj Gibson,1610612760,55,102,192,50,3.4909,53.125,62.8353,-9.7103,18.6437,1501.5,3005,6.3894,37.2874,1.2408,24
12,2014-15,201149,Joakim Noah,1610612741,67,146,264,74,3.9403,55.303,61.3201,-6.0171,15.8851,2050.2,4041,6.533,31.7702,0.7862,35
13,2025-26,1630188,Jalen Smith,1610612741,53,93,164,42,3.0943,56.7073,63.606,-6.8987,11.3139,1097.1,2371,6.9169,22.6277,0.9544,54
14,2018-19,1628976,Wendell Carter Jr.,1610612741,43,128,216,57,5.0233,59.2593,64.1874,-4.9281,10.6448,1108.8,2282,9.4654,21.2895,0.9329,56
15,2025-26,1641824,Matas Buzelis,1610612741,77,225,369,116,4.7922,60.9756,63.606,-2.6304,9.7062,2248.4,4883,7.5568,19.4124,0.3976,64
