season,season_label,player_id,player_name,games,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,free_throw_attempts,possessions,net_rating
2001,2000-01,2062,A.J. Guyton,33,628.5383333333333,198,36,64,9,5,24,192,18,1173,-11.0
2001,2000-01,2053,Dalibor Bagaric,35,259.945,47,56,10,9,16,21,65,28,516,-9.2
2001,2000-01,1434,Dragan Tarlac,43,599.0566666666666,103,122,31,7,19,38,99,33,1149,-15.5
2001,2000-01,2063,Jake Voskuhl,16,143.96166666666667,30,34,5,5,6,12,25,14,275,-21.0
2001,2000-01,2037,Jamal Crawford,61,1046.6216666666667,282,89,141,43,14,85,304,34,2028,-12.4
2001,2000-01,2064,Khalid El-Amin,50,935.335,314,81,145,48,2,54,311,72,1792,-9.3
2001,2000-01,2033,Marcus Fizer,72,1581.3533333333332,683,313,76,30,19,124,646,161,3033,-13.1
2001,2000-01,1864,Steve Goodrich,12,131.85166666666666,19,21,6,2,1,8,18,7,240,-3.3
2002,2001-02,2201,Eddy Curry,72,1150.7783333333334,483,272,25,16,53,69,377,160,2238,-10.6
2002,2001-02,2369,Norman Richardson,8,63.43,30,7,1,0,0,3,23,9,125,-16.0
2002,2001-02,2239,Trenton Hassell,78,2235.5783333333334,681,255,172,55,44,101,628,114,4281,-10.6
2002,2001-02,2199,Tyson Chandler,71,1392.8166666666666,436,343,54,28,93,99,304,222,2734,-7.1
2003,2002-03,2398,Jay Williams,75,1961.19,714,195,350,86,17,171,685,161,3952,-9.6
2003,2002-03,2437,Lonny Baxter,55,683.6466666666666,262,165,16,9,22,46,206,103,1384,-2.8
2003,2002-03,2427,Roger Mason Jr.,17,114.24,30,12,12,4,0,5,31,2,237,-2.5
2004,2003-04,2550,Kirk Hinrich,76,2709.2683333333334,915,259,517,101,21,204,823,168,5236,-4.3
2004,2003-04,2669,Linton Johnson,41,732.4466666666667,173,183,27,37,32,37,203,37,1465,-9.8
2004,2003-04,2648,Ronald Dupree,47,901.7766666666666,292,167,55,32,18,51,282,105,1798,-5.7
2005,2004-05,2804,Andres Nocioni,81,1895.4983333333332,677,386,122,37,34,135,601,222,3753,-3.8
2005,2004-05,2732,Ben Gordon,82,2013.0933333333332,1235,215,164,53,10,186,1056,270,3991,4.2
2005,2004-05,2768,Chris Duhon,82,2171.7633333333333,487,213,398,82,3,119,488,67,4229,3.5
2005,2004-05,2876,Jared Reiner,19,131.77666666666667,21,38,1,3,7,9,30,4,276,-5.8
2005,2004-05,2736,Luol Deng,61,1661.07,711,322,135,48,27,118,645,162,3277,5.2
2006,2005-06,101188,Eddie Basden,19,141.20833333333334,39,28,8,9,2,9,37,10,281,7.5
2006,2005-06,101195,Luke Schenscher,20,148.58333333333334,36,29,7,1,3,5,26,13,301,1.8
2006,2005-06,2450,Randy Holcomb,4,10.52,2,1,0,0,0,0,1,0,21,-10.2
2006,2005-06,101211,Stephen Graham,3,19.928333333333335,5,3,1,0,0,1,5,2,43,-12.2
2007,2006-07,200757,Thabo Sefolosha,71,867.9233333333333,256,153,60,33,11,60,256,45,1765,5.3
2007,2006-07,200748,Tyrus Thomas,72,966.235,374,269,40,46,76,94,282,175,1958,8.6
2008,2007-08,201189,Aaron Gray,61,612.9966666666667,262,168,41,21,16,57,204,99,1224,-0.6
2008,2007-08,201193,Demetris Nichols,11,30.28,13,4,1,0,3,2,15,0,70,-24.2
2008,2007-08,201149,Joakim Noah,74,1533.715,488,416,84,68,64,89,367,194,3029,-0.4
2008,2007-08,201242,Thomas Gardner,4,44.733333333333334,21,4,1,0,0,4,23,2,96,-8.4
2009,2008-09,201565,Derrick Rose,81,3000.048333333333,1361,317,512,66,18,202,1208,250,5907,-1.8
2010,2009-10,201949,James Johnson,65,757.1766666666666,256,128,48,21,43,62,210,70,1535,-8.1
2010,2009-10,201959,Taj Gibson,82,2203.5816666666665,735,611,70,50,104,114,629,175,4301,-0.8
2011,2010-11,201600,Omer Asik,82,989.4483333333334,229,306,32,20,56,64,141,145,1911,13.1
2012,2011-12,202710,Jimmy Butler III,42,359.0316666666667,109,56,14,11,5,14,79,56,680,12.2
2013,2012-13,203104,Marquis Teague,48,391.9216666666667,99,44,63,9,7,35,113,16,738,0.3
2014,2013-14,203513,Erik Murphy,24,62.151666666666664,6,8,2,0,4,2,13,0,131,-41.4
