season,season_label,player_id,player_name,games,bulls_game_rows,common_all_players_from_year,first_season_agrees
2001,2000-01,2062,A.J. Guyton,33,33,2000,True
2001,2000-01,2053,Dalibor Bagaric,35,35,2000,True
2001,2000-01,1434,Dragan Tarlac,43,43,2000,True
2001,2000-01,2063,Jake Voskuhl,16,16,2000,True
2001,2000-01,2037,Jamal Crawford,61,61,2000,True
2001,2000-01,2064,Khalid El-Amin,50,50,2000,True
2001,2000-01,2033,Marcus Fizer,72,72,2000,True
2001,2000-01,1864,Steve Goodrich,12,12,2000,True
2002,2001-02,2201,Eddy Curry,72,72,2001,True
2002,2001-02,2369,Norman Richardson,8,8,2001,True
2002,2001-02,2239,Trenton Hassell,78,78,2001,True
2002,2001-02,2199,Tyson Chandler,71,71,2001,True
2003,2002-03,2398,Jay Williams,75,75,2002,True
2003,2002-03,2437,Lonny Baxter,55,55,2002,True
2003,2002-03,2427,Roger Mason Jr.,17,17,2002,True
2004,2003-04,2550,Kirk Hinrich,76,76,2003,True
2004,2003-04,2669,Linton Johnson,41,41,2003,True
2004,2003-04,2648,Ronald Dupree,47,47,2003,True
2005,2004-05,2804,Andres Nocioni,81,81,2004,True
2005,2004-05,2732,Ben Gordon,82,82,2004,True
2005,2004-05,2768,Chris Duhon,82,82,2004,True
2005,2004-05,2876,Jared Reiner,19,19,2004,True
2005,2004-05,2736,Luol Deng,61,61,2004,True
2006,2005-06,101188,Eddie Basden,19,19,2005,True
2006,2005-06,101195,Luke Schenscher,20,20,2005,True
2006,2005-06,2450,Randy Holcomb,4,4,2002,False
2006,2005-06,101211,Stephen Graham,3,3,2005,True
2007,2006-07,200757,Thabo Sefolosha,71,71,2006,True
2007,2006-07,200748,Tyrus Thomas,72,72,2006,True
2008,2007-08,201189,Aaron Gray,61,61,2007,True
2008,2007-08,201193,Demetris Nichols,11,11,2007,True
2008,2007-08,201149,Joakim Noah,74,74,2007,True
2008,2007-08,201242,Thomas Gardner,4,4,2007,True
2009,2008-09,201565,Derrick Rose,81,81,2008,True
2010,2009-10,201949,James Johnson,65,65,2009,True
2010,2009-10,201959,Taj Gibson,82,82,2009,True
2011,2010-11,201600,Omer Asik,82,82,2010,True
2012,2011-12,202710,Jimmy Butler III,42,42,2011,True
2013,2012-13,203104,Marquis Teague,48,48,2012,True
2014,2013-14,203513,Erik Murphy,24,24,2013,True
2014,2013-14,203503,Tony Snell,77,77,2013,True
2015,2014-15,203946,Cameron Bairstow,18,18,2014,True
2015,2014-15,203926,Doug McDermott,36,36,2014,True
2015,2014-15,202703,Nikola Mirotic,82,82,2014,True
2016,2015-16,1626171,Bobby Portis Jr.,62,62,2015,True
2016,2015-16,1626245,Cristiano Felicio,31,31,2015,True
2017,2016-17,1627756,Denzel Valentine,57,57,2016,True
2017,2016-17,1627835,Paul Zipser,44,44,2016,True
2018,2017-18,1628469,Antonio Blakeney,19,19,2017,True
2018,2017-18,1628374,Lauri Markkanen,68,68,2017,True
2018,2017-18,1627853,Ryan Arcidiacono,24,24,2017,True
2019,2018-19,1629102,Brandon Sampson,14,14,2018,True
2019,2018-19,1628990,Chandler Hutchison,44,44,2018,True
2019,2018-19,1628959,Rawle Alkins,10,10,2018,True
2019,2018-19,1628976,Wendell Carter Jr.,44,44,2018,True
2020,2019-20,1629690,Adam Mokoka,11,11,2019,True
2020,2019-20,1629632,Coby White,65,65,2019,True
2020,2019-20,1629655,Daniel Gafford,43,43,2019,True
2020,2019-20,1629622,Max Strus,2,2,2019,True
2021,2020-21,1629653,Devon Dotson,11,11,2020,True
2021,2020-21,1630172,Patrick Williams,71,71,2020,True
2022,2021-22,1630245,Ayo Dosunmu,77,77,2021,True
2022,2021-22,1630644,Mac McClung,1,1,2021,True
2022,2021-22,1630792,Malcolm Hill,16,16,2021,True
2022,2021-22,1630250,Marko Simonovic,9,9,2021,True
2023,2022-23,1631207,Dalen Terry,38,38,2022,True
2024,2023-24,1641766,Adama Sanogo,9,9,2023,True
2024,2023-24,1641847,Andrew Funk,5,5,2023,True
2024,2023-24,1630929,Henri Drell,4,4,2023,True
2024,2023-24,1641763,Julian Phillips,40,40,2023,True
2024,2023-24,1641931,Onuralp Bitim,23,23,2023,True
2025,2024-25,1641801,Emanuel Miller,6,6,2024,True
2025,2024-25,1642443,Jahmir Young,6,6,2024,True
2025,2024-25,1641824,Matas Buzelis,80,80,2024,True
2026,2025-26,1642950,Lachlan Olbrich,37,37,2025,True
2026,2025-26,1642855,Noa Essengue,2,2,2025,True
