season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,pool,context_note,overtime_periods
2001,2000–01,2062,A.J. Guyton,0020001181,2001-04-18,CHI @ PHI,PHI,W,40.766666666666666,6,3,9,0,3,0,0,0,3,3,5,2,0,1,1,-1,5.9,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2001-04-18,CHI @ PHI,W,92,6,2000s,Regular season,,0
2001,2000–01,2033,Marcus Fizer,0020001181,2001-04-18,CHI @ PHI,PHI,W,22.346666666666668,10,5,10,0,1,0,0,0,3,3,1,1,1,0,2,5,7.500000000000001,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2001-04-18,CHI @ PHI,W,92,6,2000s,Regular season,,0
2001,2000–01,2053,Dalibor Bagaric,0020001181,2001-04-18,CHI @ PHI,PHI,W,9.946666666666667,3,1,2,0,0,1,2,0,2,2,1,1,2,0,2,-4,4.500000000000001,52.083333333333336,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2001-04-18,CHI @ PHI,W,92,6,2000s,Regular season,,0
2001,2000–01,1864,Steve Goodrich,0020001181,2001-04-18,CHI @ PHI,PHI,W,12.666666666666666,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,-4,1.5999999999999999,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2001-04-18,CHI @ PHI,W,92,6,2000s,Regular season,,0
2001,2000–01,2062,A.J. Guyton,0020001170,2001-04-17,CHI @ NJN,NJN,W,48.0,24,8,18,4,6,4,4,1,3,4,1,0,1,1,1,6,16.2,60.72874493927125,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2001-04-17,CHI @ NJN,W,100,6,2000s,Regular season,,0
2001,2000–01,2033,Marcus Fizer,0020001170,2001-04-17,CHI @ NJN,NJN,W,26.2,17,6,14,0,0,5,7,2,2,4,1,1,0,3,4,1,7.899999999999999,49.76580796252928,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2001-04-17,CHI @ NJN,W,100,6,2000s,Regular season,,0
2001,2000–01,1864,Steve Goodrich,0020001170,2001-04-17,CHI @ NJN,NJN,W,14.691666666666666,3,1,2,0,0,1,1,3,4,7,0,1,0,1,0,1,5.3,61.47540983606557,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2001-04-17,CHI @ NJN,W,100,6,2000s,Regular season,,0
2001,2000–01,2053,Dalibor Bagaric,0020001170,2001-04-17,CHI @ NJN,NJN,W,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-7,-0.8,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2001-04-17,CHI @ NJN,W,100,6,2000s,Regular season,,0
2001,2000–01,2033,Marcus Fizer,0020001159,2001-04-15,CHI vs. IND,IND,L,29.15,14,5,13,1,3,3,5,1,7,8,2,1,0,4,3,-3,6.100000000000001,46.05263157894737,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2001-04-15,CHI vs. IND,L,86,-7,2000s,Regular season,,0
2001,2000–01,2062,A.J. Guyton,0020001159,2001-04-15,CHI vs. IND,IND,L,39.833333333333336,5,2,9,1,4,0,0,1,1,2,5,2,0,1,1,-2,4.6,27.77777777777778,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2001-04-15,CHI vs. IND,L,86,-7,2000s,Regular season,,0
