season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,pool,context_note,overtime_periods,rank
2009,2008–09,201565,Derrick Rose,0040800111,2009-04-18,CHI @ BOS,BOS,W,49.541666666666664,36,12,19,0,1,12,12,1,3,4,11,1,0,5,6,8,30.4,74.13509060955519,https://www.nba.com/stats/players/boxscores-traditional?Season=2008-09&SeasonType=Playoffs&TeamID=1610612741,2009-04-18,CHI @ BOS,W,105,2,Rookies since 2000–01,Playoffs,(RD 1 GM1),1,1
2005,2004–05,2732,Ben Gordon,0020401054,2005-03-30,CHI @ CHA,CHA,W,23.116666666666667,35,11,17,6,8,7,8,1,2,3,5,2,0,3,2,10,30.1,85.28265107212476,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-03-30,CHI @ CHA,W,102,3,Rookies since 2000–01,Regular season,,0,2
2007,2006–07,200748,Tyrus Thomas,0020601084,2007-03-31,CHI vs. CLE,CLE,L,38.81666666666667,27,9,11,0,0,9,10,2,6,8,1,3,3,1,2,-3,29.7,87.66233766233766,https://www.nba.com/stats/players/boxscores-traditional?Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741,2007-03-31,CHI vs. CLE,L,108,-4,Rookies since 2000–01,Regular season,,1,3
2020,2019–20,1629632,Coby White,0021900859,2020-02-25,CHI vs. OKC,OKC,L,32.75,35,13,21,6,9,3,3,1,6,7,3,0,0,1,3,15,27.9,78.40501792114696,https://www.nba.com/stats/players/boxscores-traditional?Season=2019-20&SeasonType=Regular%20Season&TeamID=1610612741,2020-02-25,CHI vs. OKC,L,122,-2,Rookies since 2000–01,Regular season,,0,4
2003,2002–03,2398,Jay Williams,0020200086,2002-11-09,CHI vs. NJN,NJN,W,44.983333333333334,26,10,22,4,10,2,2,1,13,14,13,2,0,2,3,7,27.1,56.81818181818182,https://www.nba.com/stats/players/boxscores-traditional?Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741,2002-11-09,CHI vs. NJN,W,100,7,Rookies since 2000–01,Regular season,,0,5
2018,2017–18,1628374,Lauri Markkanen,0021700607,2018-01-10,CHI @ NYK,NYK,W,46.126666666666665,33,10,22,8,15,5,5,1,9,10,1,2,1,1,1,3,27.0,68.18181818181819,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,2018-01-10,CHI @ NYK,W,122,0,Rookies since 2000–01,Regular season,,2,6
2018,2017–18,1628374,Lauri Markkanen,0021700524,2017-12-29,CHI vs. IND,IND,W,28.37,32,11,17,5,9,5,5,1,6,7,1,0,0,1,1,-1,26.3,83.33333333333334,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,2017-12-29,CHI vs. IND,W,119,12,Rookies since 2000–01,Regular season,,0,7
2004,2003–04,2550,Kirk Hinrich,0020300759,2004-02-12,CHI vs. BOS,BOS,W,39.266666666666666,23,7,11,6,8,3,3,0,1,1,14,2,0,3,3,28,26.0,93.34415584415584,https://www.nba.com/stats/players/boxscores-traditional?Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,2004-02-12,CHI vs. BOS,W,107,20,Rookies since 2000–01,Regular season,,0,8
2005,2004–05,2768,Chris Duhon,0020401186,2005-04-16,CHI @ ATL,ATL,W,28.04,24,8,9,8,9,0,0,0,4,4,6,1,0,0,4,24,25.7,133.33333333333331,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-04-16,CHI @ ATL,W,114,9,Rookies since 2000–01,Regular season,,0,9
2015,2014–15,202703,Nikola Mirotic,0021400389,2014-12-19,CHI @ MEM,MEM,W,30.038333333333338,27,7,10,6,6,7,8,0,8,8,1,0,1,1,0,7,25.2,99.85207100591717,https://www.nba.com/stats/players/boxscores-traditional?Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,2014-12-19,CHI @ MEM,W,103,6,Rookies since 2000–01,Regular season,,0,10
2009,2008–09,201565,Derrick Rose,0020800137,2008-11-15,CHI vs. IND,IND,W,40.401666666666664,23,8,15,3,5,4,4,0,4,4,8,3,1,1,0,20,25.2,68.61575178997613,https://www.nba.com/stats/players/boxscores-traditional?Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741,2008-11-15,CHI vs. IND,W,104,13,Rookies since 2000–01,Regular season,,0,11
2005,2004–05,2732,Ben Gordon,0020400509,2005-01-12,CHI vs. PHI,PHI,W,25.783333333333335,31,10,16,4,7,7,8,0,2,2,3,0,1,1,2,26,25.0,79.40573770491804,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2005-01-12,CHI vs. PHI,W,110,32,Rookies since 2000–01,Regular season,,0,12
2020,2019–20,1629632,Coby White,0021900845,2020-02-23,CHI vs. WAS,WAS,W,33.78333333333333,33,11,18,5,9,6,7,1,5,6,2,2,1,5,2,16,24.9,78.27324478178369,https://www.nba.com/stats/players/boxscores-traditional?Season=2019-20&SeasonType=Regular%20Season&TeamID=1610612741,2020-02-23,CHI vs. WAS,W,126,9,Rookies since 2000–01,Regular season,,0,13
2025,2024–25,1641824,Matas Buzelis,0022401077,2025-03-29,CHI vs. DAL,DAL,L,37.61666666666667,28,10,17,5,7,3,4,0,9,9,6,0,1,2,1,9,24.9,74.62686567164178,https://www.nba.com/stats/players/boxscores-traditional?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741,2025-03-29,CHI vs. DAL,L,119,-1,Rookies since 2000–01,Regular season,,0,14
2019,2018–19,1628976,Wendell Carter Jr.,0021800106,2018-10-31,CHI vs. DEN,DEN,L,37.8,25,9,21,2,3,5,6,6,2,8,5,3,3,1,3,4,24.7,52.87648054145516,https://www.nba.com/stats/players/boxscores-traditional?Season=2018-19&SeasonType=Regular%20Season&TeamID=1610612741,2018-10-31,CHI vs. DEN,L,107,-1,Rookies since 2000–01,Regular season,,1,15
