season,bulls_player_rows,bulls_blocks,league_player_rows
2000-01,16,379,441
2001-02,18,361,440
2002-03,15,461,428
2003-04,21,396,442
2004-05,15,369,464
2005-06,19,345,458
2006-07,14,445,458
2007-08,19,429,451
2008-09,19,453,445
2009-10,18,478,442
2010-11,15,468,452
2011-12,14,388,478
2012-13,15,417,469
2013-14,20,424,482
2014-15,14,476,492
2015-16,16,470,476
2016-17,18,393,486
2017-18,21,289,540
2018-19,22,351,530
2019-20,17,265,529
2020-21,22,304,540
2021-22,22,336,605
2022-23,18,371,539
2023-24,18,394,572
2024-25,22,386,569
2025-26,28,410,582
