display_rank,season,player_id,player_name,games,blocks,blocks_per_game,nba_rank,league_full_season_blocks,nba_rank_endpoint
1,2006-07,1112,Ben Wallace,77,156,2.0259740259740258,9,156,9
2,2008-09,200748,Tyrus Thomas,79,151,1.9113924050632911,4,151,4
3,2014-15,2200,Pau Gasol,78,147,1.8846153846153846,7,147,7
4,2015-16,2200,Pau Gasol,72,146,2.0277777777777777,4,146,4
5,2012-13,201149,Joakim Noah,66,141,2.1363636363636362,9,141,9
6,2004-05,2199,Tyson Chandler,80,141,1.7625,12,141,12
7,2013-14,201149,Joakim Noah,80,121,1.5125,9,121,9
8,2000-01,1882,Elton Brand,74,118,1.5945945945945945,21,118,21
9,2016-17,201577,Robin Lopez,81,117,1.4444444444444444,10,117,10
10,2025-26,1641824,Matas Buzelis,77,116,1.5064935064935066,6,116,6
11,2013-14,201959,Taj Gibson,82,112,1.3658536585365855,13,112,13
12,2008-09,201149,Joakim Noah,80,110,1.375,14,110,14
13,2002-03,2199,Tyson Chandler,75,106,1.4133333333333333,22,106,22
14,2010-11,201959,Taj Gibson,80,106,1.325,17,106,17
15,2005-06,2199,Tyson Chandler,79,104,1.3164556962025316,25,104,25
