season,bulls_players,league_players,league_c_fgm,league_c_fga,league_c_fg_pct,c_fgm_difference,c_fga_difference,u_fgm_difference,u_fga_difference
2013-14,16,472,10994,31621,34.76803390152114,0,2,0,0
2014-15,14,484,11276,32210,35.00776156473145,0,1,0,0
2015-16,16,467,10903,31406,34.71629624912437,0,1,0,0
2016-17,18,479,11071,31459,35.19183699418291,1,1,0,0
2017-18,20,524,9452,27423,34.46741786091967,0,0,0,1
2018-19,21,519,8782,25309,34.699118890513255,2,2,0,0
2019-20,17,516,7878,22590,34.8738379814077,1,2,0,0
2020-21,22,532,8211,22695,36.17977528089887,0,0,0,0
2021-22,20,581,9143,26090,35.044078190877734,0,0,0,0
2022-23,18,532,8935,24596,36.32704504797528,0,0,0,0
2023-24,17,559,8601,24069,35.73476255764677,1,2,0,1
2024-25,21,560,9185,26219,35.031847133757964,0,0,2,2
2025-26,28,570,9707,26889,36.10026404849567,0,0,0,0
