rank,player_id,player_name,season,c_fgm,c_fga,u_fgm,u_fga,c_fgm_full_season,nba_rank,c_fg_pct,u_fg_pct,league_c_fg_pct,c_vs_league_pp,partial_season
1,201942,DeMar DeRozan,2021-22,311.0,636.0,224.0,487.0,311.0,1,48.899371069182386,45.9958932238193,35.044078190877734,13.855292878304653,False
2,201942,DeMar DeRozan,2022-23,256.0,534.0,173.0,410.0,256.0,1,47.940074906367045,42.19512195121951,36.32704504797528,11.613029858391762,False
3,201942,DeMar DeRozan,2023-24,203.0,462.0,182.0,438.0,203.0,2,43.93939393939394,41.55251141552512,35.73476255764677,8.20463138174717,False
4,202710,Jimmy Butler,2016-17,133.0,380.0,150.0,376.0,133.0,13,35.0,39.8936170212766,35.19183699418291,-0.191836994182907,False
5,2548,Dwyane Wade,2016-17,120.0,330.0,103.0,253.0,120.0,19,36.36363636363637,40.71146245059288,35.19183699418291,1.1717993694534599,False
6,202710,Jimmy Butler,2015-16,107.0,286.0,105.0,308.0,107.0,17,37.41258741258741,34.09090909090909,34.71629624912437,2.6962911634630444,False
7,201565,Derrick Rose,2015-16,68.0,214.0,145.0,347.0,68.0,43,31.77570093457944,41.78674351585014,34.71629624912437,-2.940595314544929,False
8,202710,Jimmy Butler,2014-15,65.0,181.0,133.0,327.0,65.0,56,35.91160220994475,40.67278287461774,35.00776156473145,0.9038406452133003,False
9,2430,Carlos Boozer,2013-14,65.0,185.0,129.0,319.0,65.0,53,35.13513513513514,40.43887147335423,34.76803390152114,0.3671012336139938,False
10,2399,Mike Dunleavy,2013-14,63.0,166.0,175.0,426.0,63.0,55,37.95180722891566,41.07981220657277,34.76803390152114,3.183773327394519,False
11,203897,Zach LaVine,2020-21,58.0,152.0,233.0,523.0,58.0,37,38.1578947368421,44.55066921606119,36.17977528089887,1.9781194559432294,False
12,201959,Taj Gibson,2013-14,57.0,152.0,87.0,209.0,57.0,62,37.5,41.6267942583732,34.76803390152114,2.731966098478857,False
13,201166,Aaron Brooks,2014-15,57.0,162.0,129.0,304.0,57.0,66,35.18518518518518,42.43421052631579,35.00776156473145,0.17742362045373028,False
14,203897,Zach LaVine,2021-22,56.0,171.0,247.0,597.0,56.0,46,32.748538011695906,41.37353433835846,35.044078190877734,-2.2955401791818275,False
15,201565,Derrick Rose,2014-15,54.0,173.0,114.0,339.0,54.0,70,31.213872832369944,33.6283185840708,35.00776156473145,-3.793888732361509,False
