player_id,player_name,games_played,total_points,ppg,max_points,teams,qualifies,ppg_formula,stats_season,minimum_bulls_games
1629632,Coby White,29,540,18.6,27,CHI,True,total_points / games_played,2025-26,20
1629012,Collin Sexton,26,454,17.5,30,CHI,True,total_points / games_played,2025-26,20
1630581,Josh Giddey,54,919,17.0,32,CHI,True,total_points / games_played,2025-26,20
202696,Nikola Vučević,48,810,16.9,35,CHI,True,total_points / games_played,2025-26,20
1641824,Matas Buzelis,77,1252,16.3,41,CHI,True,total_points / games_played,2025-26,20
1630245,Ayo Dosunmu,45,677,15.0,29,CHI,True,total_points / games_played,2025-26,20
1630200,Tre Jones,65,914,14.1,34,CHI,True,total_points / games_played,2025-26,20
1631159,Leonard Miller,27,317,11.7,26,CHI,True,total_points / games_played,2025-26,20
1628989,Kevin Huerter,44,479,10.9,23,CHI,True,total_points / games_played,2025-26,20
1630188,Jalen Smith,53,541,10.2,18,CHI,True,total_points / games_played,2025-26,20
1627824,Guerschon Yabusele,26,261,10.0,20,CHI,True,total_points / games_played,2025-26,20
1642265,Rob Dillingham,30,288,9.6,26,CHI,True,total_points / games_played,2025-26,20
1630208,Nick Richards,20,187,9.4,16,CHI,True,total_points / games_played,2025-26,20
1630171,Isaac Okoro,63,584,9.3,24,CHI,True,total_points / games_played,2025-26,20
1630172,Patrick Williams,72,505,7.0,20,CHI,True,total_points / games_played,2025-26,20
1628975,Jevon Carter,23,124,5.4,15,CHI,True,total_points / games_played,2025-26,20
1631207,Dalen Terry,34,118,3.5,11,CHI,True,total_points / games_played,2025-26,20
1641763,Julian Phillips,35,99,2.8,10,CHI,True,total_points / games_played,2025-26,20
1642950,Lachlan Olbrich,37,89,2.4,10,CHI,True,total_points / games_played,2025-26,20
1629014,Anfernee Simons,6,91,15.2,23,CHI,False,total_points / games_played,2025-26,20
1631093,Jaden Ivey,4,46,11.5,13,CHI,False,total_points / games_played,2025-26,20
1628380,Zach Collins,10,97,9.7,16,CHI,False,total_points / games_played,2025-26,20
1631338,Mouhamadou Gueye,2,16,8.0,11,CHI,False,total_points / games_played,2025-26,20
1630644,Mac McClung,8,48,6.0,13,CHI,False,total_points / games_played,2025-26,20
1642530,Yuki Kawamura,18,62,3.4,14,CHI,False,total_points / games_played,2025-26,20
1641801,Emanuel Miller,5,15,3.0,6,CHI,False,total_points / games_played,2025-26,20
1642280,Trentyn Flowers,2,4,2.0,4,CHI,False,total_points / games_played,2025-26,20
1642855,Noa Essengue,2,0,0.0,0,CHI,False,total_points / games_played,2025-26,20
