season,season_label,player_id,player_name,games
1997,1996-97,679,Jason Caffey,75
1999,1998-99,1522,Keith Booth,39
1999,1998-99,1601,Rusty LaRue,43
2000,1999-00,1512,Chris Anstey,73
2000,1999-00,1736,Corey Benjamin,48
2000,1999-00,1600,Kornel David,26
2001,2000-01,1882,Elton Brand,74
2001,2000-01,1897,Metta World Peace,76
2001,2000-01,1913,Michael Ruffin,45
2002,2001-02,2062,A.J. Guyton,45
2002,2001-02,2053,Dalibor Bagaric,50
2002,2001-02,2037,Jamal Crawford,23
2002,2001-02,2033,Marcus Fizer,76
2003,2002-03,2201,Eddy Curry,81
2003,2002-03,2239,Trenton Hassell,82
2003,2002-03,2199,Tyson Chandler,75
2004,2003-04,2423,Chris Jefferies,19
2004,2003-04,2457,Jannero Pargo,13
2004,2003-04,2437,Lonny Baxter,14
2004,2003-04,2321,Paul Shirley,7
2004,2003-04,2427,Roger Mason Jr.,3
2005,2004-05,2550,Kirk Hinrich,77
2006,2005-06,2804,Andres Nocioni,82
2006,2005-06,2732,Ben Gordon,80
2006,2005-06,2768,Chris Duhon,74
2006,2005-06,2839,James Thomas,7
2006,2005-06,2736,Luol Deng,78
2008,2007-08,200759,Cedric Simmons,7
2008,2007-08,200769,Shannon Brown,6
2008,2007-08,200757,Thabo Sefolosha,69
2008,2007-08,200748,Tyrus Thomas,74
2009,2008-09,201189,Aaron Gray,56
2009,2008-09,201193,Demetris Nichols,2
2009,2008-09,201149,Joakim Noah,80
2010,2009-10,201181,Chris Richard,18
2010,2009-10,201565,Derrick Rose,78
2010,2009-10,201570,Joe Alexander,8
2011,2010-11,201949,James Johnson,13
2011,2010-11,201959,Taj Gibson,80
2012,2011-12,201600,Omer Asik,66
2013,2012-13,202710,Jimmy Butler III,82
2013,2012-13,202952,Malcolm Thomas,7
2014,2013-14,202363,Jarvis Varnado,1
2014,2013-14,203104,Marquis Teague,19
2014,2013-14,203129,Tornike Shengelia,9
2015,2014-15,203503,Tony Snell,72
2016,2015-16,203946,Cameron Bairstow,18
2016,2015-16,203926,Doug McDermott,81
2016,2015-16,202703,Nikola Mirotic,66
2017,2016-17,1626171,Bobby Portis Jr.,64
2017,2016-17,1626166,Cameron Payne,11
2017,2016-17,1626245,Cristiano Felicio,66
2017,2016-17,1626170,Jerian Grant,63
2017,2016-17,1626154,RJ Hunter,3
2018,2017-18,1628021,David Nwaba,70
2018,2017-18,1627756,Denzel Valentine,77
2018,2017-18,1627770,Kay Felder,14
2018,2017-18,1627739,Kris Dunn,52
2018,2017-18,1627835,Paul Zipser,54
2019,2018-19,1628469,Antonio Blakeney,57
2019,2018-19,1628374,Lauri Markkanen,52
2019,2018-19,1627853,Ryan Arcidiacono,81
2019,2018-19,1627885,Shaquille Harrison,73
2019,2018-19,1627215,Walt Lemon Jr.,6
2020,2019-20,1628990,Chandler Hutchison,28
2020,2019-20,1628976,Wendell Carter Jr.,43
2021,2020-21,1629690,Adam Mokoka,14
2021,2020-21,1629632,Coby White,69
2021,2020-21,1629655,Daniel Gafford,31
2021,2020-21,1629750,Javonte Green,16
2022,2021-22,1629653,Devon Dotson,11
2022,2021-22,1630172,Patrick Williams,17
2023,2022-23,1630245,Ayo Dosunmu,80
2023,2022-23,1630637,Carlik Jones,7
2023,2022-23,1630792,Malcolm Hill,5
2023,2022-23,1630250,Marko Simonovic,7
2023,2022-23,1630678,Terry Taylor,5
2024,2023-24,1631207,Dalen Terry,59
2025,2024-25,1641766,Adama Sanogo,4
2025,2024-25,1630604,E.J. Liddell,12
2025,2024-25,1641763,Julian Phillips,79
2026,2025-26,1641801,Emanuel Miller,5
2026,2025-26,1641824,Matas Buzelis,77
2026,2025-26,1631338,Mouhamadou Gueye,2
2026,2025-26,1642265,Rob Dillingham,30
2026,2025-26,1642280,Trentyn Flowers,2
2026,2025-26,1642530,Yuki Kawamura,18
