season_end_year,game_id,player_points,team_points,unattributed_points,pool
1984,0028300012,104,104,0,Regular season
1984,0028300025,91,91,0,Regular season
1984,0028300039,107,107,0,Regular season
1984,0028300041,90,90,0,Regular season
1984,0028300064,100,100,0,Regular season
1984,0028300081,124,124,0,Regular season
1984,0028300092,101,101,0,Regular season
1984,0028300099,112,112,0,Regular season
1984,0028300118,110,110,0,Regular season
1984,0028300124,110,110,0,Regular season
1984,0028300147,128,128,0,Regular season
1984,0028300152,94,94,0,Regular season
1984,0028300170,100,100,0,Regular season
1984,0028300176,110,110,0,Regular season
1984,0028300198,94,94,0,Regular season
1984,0028300205,100,100,0,Regular season
1984,0028300217,105,116,11,Regular season
1984,0028300237,112,112,0,Regular season
1984,0028300245,95,95,0,Regular season
1984,0028300260,96,96,0,Regular season
1984,0028300268,113,113,0,Regular season
1984,0028300285,102,102,0,Regular season
1984,0028300302,116,116,0,Regular season
1984,0028300310,114,114,0,Regular season
1984,0028300324,102,102,0,Regular season
1984,0028300335,100,100,0,Regular season
1984,0028300342,96,96,0,Regular season
1984,0028300358,102,102,0,Regular season
1984,0028300370,89,89,0,Regular season
1984,0028300374,88,88,0,Regular season
1984,0028300385,87,87,0,Regular season
1984,0028300402,105,105,0,Regular season
1984,0028300408,105,105,0,Regular season
1984,0028300419,104,104,0,Regular season
1984,0028300426,111,111,0,Regular season
1984,0028300442,103,103,0,Regular season
1984,0028300453,92,92,0,Regular season
1984,0028300463,111,111,0,Regular season
1984,0028300475,93,93,0,Regular season
1984,0028300491,125,125,0,Regular season
1984,0028300499,83,83,0,Regular season
1984,0028300511,103,103,0,Regular season
1984,0028300521,76,83,7,Regular season
1984,0028300530,105,105,0,Regular season
1984,0028300542,104,104,0,Regular season
1984,0028300556,114,114,0,Regular season
1984,0028300559,100,100,0,Regular season
1984,0028300572,101,101,0,Regular season
1984,0028300584,112,112,0,Regular season
1984,0028300600,109,109,0,Regular season
1984,0028300617,103,103,0,Regular season
1984,0028300626,95,95,0,Regular season
1984,0028300628,121,121,0,Regular season
1984,0028300642,96,96,0,Regular season
1984,0028300651,87,87,0,Regular season
1984,0028300662,108,108,0,Regular season
1984,0028300673,83,83,0,Regular season
1984,0028300683,100,100,0,Regular season
1984,0028300689,102,102,0,Regular season
1984,0028300702,108,108,0,Regular season
1984,0028300717,110,110,0,Regular season
1984,0028300725,110,110,0,Regular season
1984,0028300747,112,112,0,Regular season
1984,0028300754,90,90,0,Regular season
1984,0028300764,156,156,0,Regular season
1984,0028300778,104,104,0,Regular season
1984,0028300782,108,108,0,Regular season
1984,0028300799,112,112,0,Regular season
1984,0028300816,99,99,0,Regular season
1984,0028300827,83,83,0,Regular season
1984,0028300831,101,101,0,Regular season
1984,0028300843,86,86,0,Regular season
1984,0028300858,104,104,0,Regular season
1984,0028300863,113,113,0,Regular season
1984,0028300871,96,96,0,Regular season
1984,0028300880,99,99,0,Regular season
1984,0028300888,111,111,0,Regular season
1984,0028300898,110,110,0,Regular season
1984,0028300903,134,134,0,Regular season
1984,0028300919,112,112,0,Regular season
1984,0028300927,85,85,0,Regular season
1984,0028300939,115,115,0,Regular season
1985,0028400005,109,109,0,Regular season
1985,0028400013,106,106,0,Regular season
1985,0028400019,116,116,0,Regular season
1985,0028400025,109,109,0,Regular season
1985,0028400035,113,113,0,Regular season
1985,0028400065,122,122,0,Regular season
1985,0028400072,121,121,0,Regular season
1985,0028400083,118,118,0,Regular season
1985,0028400097,120,120,0,Regular season
1985,0028400108,105,105,0,Regular season
1985,0028400121,100,100,0,Regular season
1985,0028400130,120,120,0,Regular season
1985,0028400140,98,98,0,Regular season
1985,0028400149,113,113,0,Regular season
1985,0028400163,131,131,0,Regular season
1985,0028400171,103,103,0,Regular season
1985,0028400187,95,95,0,Regular season
