season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,pool,context_note,overtime_periods
1984,1983–84,77019,Rod Higgins,0028300939,1984-04-15,CHI @ PHL,PHL,L,24.0,4,2,6.0,0.0,0.0,0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,2.0,,-0.09999999999999964,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-15,CHI @ PHL,L,115,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300939,1984-04-15,CHI @ PHL,PHL,L,22.0,14,6,11.0,0.0,0.0,2,3.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,,8.299999999999999,56.81818181818181,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-15,CHI @ PHL,L,115,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300927,1984-04-13,CHI vs. MIL,MIL,L,18.0,5,2,7.0,0.0,1.0,1,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,,4.0,33.60215053763441,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-13,CHI vs. MIL,L,85,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300927,1984-04-13,CHI vs. MIL,MIL,L,25.0,14,6,12.0,0.0,0.0,2,4.0,1.0,4.0,5.0,4.0,1.0,0.0,2.0,4.0,,9.299999999999999,50.872093023255815,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-13,CHI vs. MIL,L,85,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300919,1984-04-11,CHI vs. NJN,NJN,L,36.0,19,8,23.0,0.0,1.0,3,3.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,,7.800000000000001,39.0625,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-11,CHI vs. NJN,L,112,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300919,1984-04-11,CHI vs. NJN,NJN,L,17.0,9,3,6.0,0.0,0.0,3,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,,6.3,61.47540983606557,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-11,CHI vs. NJN,L,112,,1980s,Regular season,,0
1984,1983–84,76497,Quintin Dailey,0028300903,1984-04-09,CHI @ WAS,WAS,L,53.0,32,11,25.0,0.0,1.0,10,13.0,1.0,1.0,2.0,5.0,4.0,0.0,2.0,2.0,,23.4,52.083333333333336,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-09,CHI @ WAS,L,134,,1980s,Regular season,,2
1984,1983–84,77019,Rod Higgins,0028300903,1984-04-09,CHI @ WAS,WAS,L,46.0,11,5,11.0,0.0,2.0,1,1.0,4.0,5.0,9.0,3.0,1.0,0.0,2.0,1.0,,10.3,48.07692307692308,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-09,CHI @ WAS,L,134,,1980s,Regular season,,2
1984,1983–84,76497,Quintin Dailey,0028300898,1984-04-08,CHI @ BOS,BOS,L,39.0,31,11,20.0,0.0,0.0,9,10.0,1.0,3.0,4.0,2.0,2.0,0.0,4.0,1.0,,21.599999999999998,63.52459016393443,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-08,CHI @ BOS,L,110,,1980s,Regular season,,0
1984,1983–84,77019,Rod Higgins,0028300898,1984-04-08,CHI @ BOS,BOS,L,26.0,5,2,5.0,0.0,1.0,1,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,,6.499999999999999,45.955882352941174,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-08,CHI @ BOS,L,110,,1980s,Regular season,,0
