season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,pool,context_note,overtime_periods,rank
1986,1985–86,893,Michael Jordan,0048509102,1986-04-20,CHI @ BOS,BOS,L,53.0,63,22,41.0,0.0,0.0,19,21.0,1.0,4.0,5.0,6.0,3.0,2.0,4.0,4.0,,47.2,62.69904458598726,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Playoffs&TeamID=1610612741,1986-04-20,CHI @ BOS,L,131,,Sophomores since 1983–84,Playoffs,(RD 1 GM2),2,1
1984,1983–84,76497,Quintin Dailey,0028300863,1984-04-02,CHI @ NYK,NYK,L,40.0,44,17,26.0,1.0,1.0,9,9.0,5.0,3.0,8.0,5.0,0.0,0.0,3.0,4.0,,35.9,73.43124165554073,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-04-02,CHI @ NYK,L,113,,Sophomores since 1983–84,Regular season,,0,2
2010,2009–10,201565,Derrick Rose,0020901213,2010-04-13,CHI vs. BOS,BOS,W,45.583333333333336,39,15,22.0,0.0,0.0,9,10.0,2.0,3.0,5.0,7.0,0.0,3.0,2.0,2.0,12.0,35.7,73.86363636363636,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741,2010-04-13,CHI vs. BOS,W,101,8.0,Sophomores since 1983–84,Regular season,,0,3
2006,2005–06,2732,Ben Gordon,0020500693,2006-02-04,CHI @ PHX,PHX,L,39.07666666666667,39,14,21.0,9.0,13.0,2,4.0,1.0,7.0,8.0,5.0,3.0,0.0,3.0,2.0,-18.0,34.6,85.67662565905097,https://www.nba.com/stats/players/boxscores-traditional?Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741,2006-02-04,CHI @ PHX,L,101,-17.0,Sophomores since 1983–84,Regular season,,0,4
2026,2025–26,1641824,Matas Buzelis,0022500943,2026-03-10,CHI @ GSW,GSW,W,45.2,41,16,28.0,5.0,15.0,4,5.0,1.0,5.0,6.0,2.0,2.0,2.0,1.0,1.0,8.0,33.0,67.88079470198676,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2026-03-10,CHI @ GSW,W,130,6.0,Sophomores since 1983–84,Regular season,,1,5
2016,2015–16,202703,Nikola Mirotic,0021501222,2016-04-13,CHI vs. PHI,PHI,W,39.0,32,10,17.0,7.0,11.0,5,6.0,2.0,5.0,7.0,4.0,5.0,3.0,2.0,4.0,9.0,32.9,81.46639511201629,https://www.nba.com/stats/players/boxscores-traditional?Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741,2016-04-13,CHI vs. PHI,W,115,10.0,Sophomores since 1983–84,Regular season,,0,6
2019,2018–19,1628374,Lauri Markkanen,0021800889,2019-02-23,CHI vs. BOS,BOS,W,36.99166666666667,35,12,20.0,3.0,7.0,8,9.0,3.0,12.0,15.0,2.0,1.0,0.0,1.0,1.0,6.0,32.1,73.03839732888147,https://www.nba.com/stats/players/boxscores-traditional?Season=2018-19&SeasonType=Regular%20Season&TeamID=1610612741,2019-02-23,CHI vs. BOS,W,126,10.0,Sophomores since 1983–84,Regular season,,0,7
2018,2017–18,1627756,Denzel Valentine,0021701039,2018-03-17,CHI vs. CLE,CLE,L,38.56666666666667,34,13,20.0,8.0,11.0,0,0.0,1.0,6.0,7.0,6.0,0.0,1.0,0.0,3.0,14.0,31.4,85.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,2018-03-17,CHI vs. CLE,L,109,-5.0,Sophomores since 1983–84,Regular season,,0,8
2021,2020–21,1629632,Coby White,0022000117,2021-01-06,CHI @ SAC,SAC,L,39.63333333333333,36,15,23.0,4.0,9.0,2,2.0,0.0,3.0,3.0,7.0,0.0,0.0,0.0,1.0,-5.0,31.3,75.37688442211056,https://www.nba.com/stats/players/boxscores-traditional?Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741,2021-01-06,CHI @ SAC,L,124,-4.0,Sophomores since 1983–84,Regular season,,0,9
1995,1994–95,389,Toni Kukoc,0029400656,1995-02-17,CHI vs. DET,DET,W,33.0,33,13,15.0,2.0,3.0,5,8.0,2.0,9.0,11.0,2.0,3.0,0.0,3.0,2.0,,31.2,89.09287257019439,https://www.nba.com/stats/players/boxscores-traditional?Season=1994-95&SeasonType=Regular%20Season&TeamID=1610612741,1995-02-17,CHI vs. DET,W,117,,Sophomores since 1983–84,Regular season,,0,10
2001,2000–01,1882,Elton Brand,0020000462,2001-01-04,CHI vs. WAS,WAS,W,42.11666666666667,30,12,17.0,0.0,0.0,6,8.0,2.0,7.0,9.0,8.0,1.0,4.0,3.0,2.0,5.0,31.2,73.09941520467837,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2001-01-04,CHI vs. WAS,W,98,2.0,Sophomores since 1983–84,Regular season,,0,11
1995,1994–95,389,Toni Kukoc,0029400398,1995-01-06,CHI vs. SEA,SEA,L,39.0,32,11,19.0,2.0,6.0,8,8.0,4.0,2.0,6.0,6.0,1.0,0.0,1.0,0.0,,30.7,71.04795737122558,https://www.nba.com/stats/players/boxscores-traditional?Season=1994-95&SeasonType=Regular%20Season&TeamID=1610612741,1995-01-06,CHI vs. SEA,L,101,,Sophomores since 1983–84,Regular season,,0,12
2018,2017–18,1627739,Kris Dunn,0021700572,2018-01-05,CHI @ DAL,DAL,W,32.3,32,12,17.0,4.0,5.0,4,5.0,1.0,1.0,2.0,9.0,4.0,0.0,4.0,3.0,-2.0,30.6,83.33333333333334,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741,2018-01-05,CHI @ DAL,W,127,3.0,Sophomores since 1983–84,Regular season,,0,13
2019,2018–19,1628374,Lauri Markkanen,0021801069,2019-03-20,CHI vs. WAS,WAS,W,37.916666666666664,32,12,21.0,5.0,8.0,3,3.0,4.0,9.0,13.0,5.0,0.0,1.0,1.0,2.0,12.0,30.0,71.68458781362007,https://www.nba.com/stats/players/boxscores-traditional?Season=2018-19&SeasonType=Regular%20Season&TeamID=1610612741,2019-03-20,CHI vs. WAS,W,126,6.0,Sophomores since 1983–84,Regular season,,1,14
2001,2000–01,1882,Elton Brand,0020000439,2000-12-31,CHI vs. NJN,NJN,W,40.43333333333333,31,9,16.0,0.0,0.0,13,17.0,4.0,12.0,16.0,4.0,0.0,2.0,1.0,4.0,18.0,29.8,66.01362862010221,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,2000-12-31,CHI vs. NJN,W,86,9.0,Sophomores since 1983–84,Regular season,,0,15
