season,PLAYER_ID,player,nba_assist_pts,bbr_assist_pts,difference,rank,bbr_own_rank
1996-97,893,Michael Jordan,791,793,2,2,2
1996-97,937,Scottie Pippen,1022,1024,2,15,15
1997-98,893,Michael Jordan,607,607,0,4,4
2000-01,1882,Elton Brand,543,543,0,42,42
2002-03,147,Jalen Rose,857,857,0,13,13
2003-04,2037,Jamal Crawford,891,891,0,17,17
2004-05,2550,Kirk Hinrich,1103,1103,0,20,20
2005-06,2550,Kirk Hinrich,1150,1150,0,22,22
2006-07,2550,Kirk Hinrich,1088,1088,0,15,15
2006-07,2732,Ben Gordon,647,647,0,16,16
2008-09,201565,Derrick Rose,1160,1160,0,14,14
2008-09,2732,Ben Gordon,611,611,0,21,21
2009-10,201565,Derrick Rose,1043,1043,0,9,9
2010-11,201565,Derrick Rose,1409,1409,0,1,1
2010-11,2736,Luol Deng,517,517,0,41,41
2012-13,101126,Nate Robinson,777,777,0,42,42
2013-14,201149,Joakim Noah,954,954,0,32,32
2014-15,2200,Pau Gasol,505,505,0,27,27
2015-16,202710,Jimmy Butler III,745,742,-3,26,26
2015-16,2200,Pau Gasol,669,669,0,38,38
2016-17,202710,Jimmy Butler III,959,961,2,11,11
2018-19,203897,Zach LaVine,653,653,0,35,35
2019-20,203897,Zach LaVine,609,609,0,21,21
2020-21,203897,Zach LaVine,677,677,0,17,17
2021-22,201942,DeMar DeRozan,948,948,0,4,4
2021-22,203897,Zach LaVine,702,702,0,26,26
2022-23,201942,DeMar DeRozan,923,923,0,15,15
2022-23,203897,Zach LaVine,769,769,0,17,17
2023-24,201942,DeMar DeRozan,1044,1044,0,14,14
2023-24,1629632,Coby White,983,983,0,26,26
2024-25,1629632,Coby White,827,827,0,27,27
2024-25,1630581,Josh Giddey,1223,1223,0,32,32
2025-26,1630581,Josh Giddey,1209,1209,0,36,36
