EntityId,Name,Points,AssistPoints,created,rank
201142,Kevin Durant,2593.0,1004.0,3597.0,1
201939,Stephen Curry,1873.0,1486.0,3359.0,2
202322,John Wall,1583.0,1689.0,3272.0,3
2544,LeBron James,2089.0,1156.0,3245.0,4
201935,James Harden,1851.0,1043.0,2894.0,5
203081,Damian Lillard,1695.0,1071.0,2766.0,6
201567,Kevin Love,2010.0,739.0,2749.0,7
200768,Kyle Lowry,1417.0,1319.0,2736.0,8
2546,Carmelo Anthony,2112.0,592.0,2704.0,9
101108,Chris Paul,1185.0,1495.0,2680.0,10
101145,Monta Ellis,1560.0,1105.0,2665.0,11
201933,Blake Griffin,1930.0,713.0,2643.0,12
201609,Goran Dragic,1542.0,1090.0,2632.0,13
201942,DeMar DeRozan,1791.0,786.0,2577.0,14
201943,Brandon Jennings,1241.0,1322.0,2563.0,15
201952,Jeff Teague,1304.0,1225.0,2529.0,16
202738,Isaiah Thomas,1465.0,1012.0,2477.0,17
202681,Kyrie Irving,1478.0,965.0,2443.0,18
201937,Ricky Rubio,781.0,1590.0,2371.0,19
202331,Paul George,1737.0,630.0,2367.0,20
201951,Ty Lawson,1090.0,1256.0,2346.0,21
202689,Kemba Walker,1289.0,998.0,2287.0,22
1717,Dirk Nowitzki,1735.0,490.0,2225.0,23
201144,Mike Conley,1256.0,960.0,2216.0,24
203487,Michael Carter-Williams,1167.0,1017.0,2184.0,25
202330,Gordon Hayward,1248.0,932.0,2180.0,26
202688,Brandon Knight,1291.0,802.0,2093.0,27
202326,DeMarcus Cousins,1614.0,476.0,2090.0,28
200746,LaMarcus Aldridge,1603.0,446.0,2049.0,29
2225,Tony Parker,1134.0,897.0,2031.0,30
201587,Nicolas Batum,1070.0,946.0,2016.0,31
201149,Joakim Noah,1007.0,954.0,1961.0,32
2744,Al Jefferson,1594.0,360.0,1954.0,33
200752,Rudy Gay,1457.0,469.0,1926.0,34
202718,Chandler Parsons,1226.0,695.0,1921.0,35
201167,Arron Afflalo,1330.0,571.0,1901.0,36
202691,Klay Thompson,1488.0,408.0,1896.0,37
202362,Lance Stephenson,1080.0,809.0,1889.0,38
2749,Jameer Nelson,820.0,1065.0,1885.0,39
200794,Paul Millsap,1328.0,549.0,1877.0,40
201936,Tyreke Evans,1042.0,835.0,1877.0,40
101114,Deron Williams,915.0,930.0,1845.0,42
2746,Josh Smith,1264.0,574.0,1838.0,43
203506,Victor Oladipo,1106.0,728.0,1834.0,44
201152,Thaddeus Young,1417.0,407.0,1824.0,45
2216,Zach Randolph,1372.0,448.0,1820.0,46
202704,Reggie Jackson,1047.0,755.0,1802.0,47
203078,Bradley Beal,1249.0,544.0,1793.0,48
202083,Wesley Matthews,1343.0,445.0,1788.0,49
203504,Trey Burke,895.0,892.0,1787.0,50
201196,Ramon Sessions,1021.0,766.0,1787.0,50
2037,Jamal Crawford,1282.0,496.0,1778.0,52
101181,Jose Calderon,925.0,851.0,1776.0,53
2207,Joe Johnson,1245.0,515.0,1760.0,54
202323,Evan Turner,1131.0,596.0,1727.0,55
201566,Russell Westbrook,1002.0,719.0,1721.0,56
200751,Randy Foye,1068.0,648.0,1716.0,57
201145,Jeff Green,1382.0,318.0,1700.0,58
202328,Greg Monroe,1249.0,388.0,1637.0,59
2561,David West,1118.0,518.0,1636.0,60
203076,Anthony Davis,1394.0,238.0,1632.0,61
201571,D.J. Augustin,930.0,699.0,1629.0,62
201954,Darren Collison,911.0,697.0,1608.0,63
101135,David Lee,1257.0,351.0,1608.0,63
2730,Dwight Howard,1297.0,310.0,1607.0,65
1495,Tim Duncan,1119.0,485.0,1604.0,66
2548,Dwyane Wade,1028.0,574.0,1602.0,67
203079,Dion Waiters,1113.0,486.0,1599.0,68
2747,JR Smith,1071.0,527.0,1598.0,69
101123,Gerald Green,1295.0,289.0,1584.0,70
2755,Kevin Martin,1298.0,283.0,1581.0,71
202391,Jeremy Lin,890.0,690.0,1580.0,72
201150,Spencer Hawes,1053.0,522.0,1575.0,73
202692,Alec Burks,1089.0,481.0,1570.0,74
2772,Trevor Ariza,1107.0,432.0,1539.0,75
