PLAYER_ID,PLAYER_NAME,PTS,AST,known_ast,known_assist_points,remaining_ast,minimum_created,maximum_created
920,A.C. Green,597,69,7,16,62,737,799
243,Aaron McKie,433,161,79,180,82,777,851
1425,Aaron Williams,203,15,1,2,14,233,247
768,Acie Earl,188,20,15,35,5,233,238
228,Adam Keefe,235,32,7,17,25,302,326
154,Adrian Caldwell,101,12,1,2,11,125,135
673,Alan Henderson,199,23,5,11,18,246,264
1059,Aleksandar Djordjevic,25,5,3,7,2,36,38
275,Allan Houston,1197,179,35,77,144,1562,1681
947,Allen Iverson,1787,567,186,390,381,2939,3094
297,Alonzo Mourning,1310,104,99,251,5,1571,1576
175,Alton Lister,87,13,5,11,8,114,122
1043,Amal McCaskill,28,7,1,2,6,42,48
692,Andrew DeClercq,375,32,9,20,23,441,464
457,Andrew Lang,274,25,7,16,18,326,344
358,Anfernee Hardaway,1210,332,45,106,287,1890,2120
924,Anthony Goldwire,387,219,60,131,159,836,976
193,Anthony Mason,1186,414,92,219,322,2049,2342
292,Anthony Miller,0,0,0,0,0,0,0
324,Anthony Peeler,1041,256,48,103,208,1560,1694
156,Antoine Carr,603,74,29,64,45,757,795
952,Antoine Walker,1437,262,97,223,165,1990,2128
213,Antonio Davis,860,65,22,49,43,995,1038
176,Antonio Harvey,15,1,0,0,1,17,18
226,Antonio Lang,171,33,22,52,11,245,256
686,Antonio McDyess,1352,106,32,80,74,1580,1654
288,Armen Gilliam,691,53,11,23,42,798,836
717,Arvydas Sabonis,928,146,87,195,59,1241,1298
732,Ashraf Amaya,40,3,0,0,3,46,49
422,Avery Johnson,800,513,85,185,428,1841,2082
769,B.J. Armstrong,389,126,30,70,96,651,737
989,Ben Davis,29,0,0,0,0,29,29
1112,Ben Wallace,38,2,0,0,2,42,44
104,Benoit Benjamin,13,1,1,3,0,16,16
82,Bill Wennington,280,41,41,90,0,370,370
182,Billy Owens,724,187,43,95,144,1107,1232
902,Bimbo Coles,311,149,29,67,120,618,724
183,Bison Dele,63,12,12,26,0,89,89
898,Blue Edwards,478,114,19,43,95,711,795
448,Bo Outlaw,625,157,24,56,133,947,1074
682,Bob Sura,755,390,211,474,179,1587,1709
310,Bobby Hurley,143,146,24,52,122,439,524
184,Bobby Phills,866,233,134,293,99,1357,1428
38,Brad Lohaus,10,1,1,2,0,12,12
699,Brent Barry,442,154,17,41,137,757,885
85,Brent Price,126,65,10,20,55,256,308
1064,Brent Scott,19,3,1,2,2,25,27
1136,Brett Szabo,153,17,7,19,10,192,201
967,Brian Evans,20,7,2,4,5,34,39
258,Brian Grant,252,28,3,6,25,308,331
216,Brian Shaw,552,319,69,154,250,1206,1420
240,Brooks Thompson,445,180,58,128,122,817,915
1477,Bruce Bowen,0,0,0,0,0,0,0
735,Bryant Reeves,1213,160,32,76,128,1545,1667
179,Bryant Stith,774,133,49,107,84,1049,1124
935,Bryon Russell,873,123,47,101,76,1126,1190
433,Buck Williams,465,53,10,22,43,573,615
2,Byron Scott,526,99,93,204,6,742,748
384,Calbert Cheaney,837,114,43,93,71,1072,1139
61,Carl Herrera,597,50,10,22,40,699,734
1063,Carl Thomas,21,8,4,9,4,38,42
435,Carlos Rogers,551,37,28,63,9,632,641
76,Cedric Ceballos,729,64,33,73,31,864,894
787,Charles Barkley,1016,248,35,81,213,1523,1718
279,Charles Jones,4,3,0,0,3,10,13
891,Charles Oakley,864,221,39,83,182,1311,1482
293,Charles Smith,88,14,3,6,11,116,127
369,Charlie Ward,409,326,64,144,262,1077,1283
685,Cherokee Parks,252,34,7,14,27,320,347
713,Chris Carr,337,48,4,8,44,433,472
164,Chris Childs,605,398,85,181,313,1412,1618
201,Chris Dudley,317,41,25,57,16,406,422
423,Chris Gatling,891,28,7,16,21,949,970
1137,Chris Jent,6,1,0,0,1,8,9
168,Chris Mills,1072,198,114,254,84,1494,1566
356,Chris Morris,314,43,11,23,32,401,428
904,Chris Mullin,1143,322,57,125,265,1798,2013
997,Chris Robinson,188,65,9,21,56,321,372
185,Chris Webber,1445,331,136,281,195,2116,2228
43,Chris Whitney,430,182,62,140,120,810,906
363,Christian Laettner,1486,223,69,164,154,1958,2106
359,Chucky Brown,204,28,10,23,18,263,280
221,Clar. Weatherspoon,1003,140,49,116,91,1301,1383
361,Clifford Robinson,1224,261,102,220,159,1762,1892
32,Clifford Rozier,189,31,29,67,2,260,262
17,Clyde Drexler,1114,354,53,121,301,1837,2069
916,Corie Blount,241,35,33,74,2,319,321
722,Corliss Williamson,915,124,22,47,102,1166,1265
724,Cory Alexander,577,254,44,91,210,1088,1199
378,Craig Ehlo,214,68,28,60,40,354,393
733,Cuonzo Martin,0,1,1,3,0,3,3
905,Dale Davis,832,59,14,32,45,954,999
107,Dale Ellis,1361,165,61,133,104,1702,1798
757,Damon Stoudamire,1634,709,676,1523,33,3223,3250
105,Dan Majerle,390,116,102,228,14,646,659
7,Dan Schayes,133,14,3,6,11,161,171
344,Dana Barros,300,81,30,71,51,473,503
198,Danny Ferry,870,151,100,218,51,1190,1236
330,Danny Manning,1040,173,43,96,130,1396,1520
353,Darrell Armstrong,411,175,31,72,144,771,891
239,Darrick Martin,893,339,37,80,302,1577,1808
241,Darrin Hancock,42,12,0,0,12,66,78
1032,Darvin Ham,83,14,9,21,5,114,119
764,David Robinson,106,8,1,3,7,123,130
710,David Vaughn,81,7,2,5,5,96,101
133,David Wesley,1240,537,221,494,316,2366,2540
766,David Wingate,236,80,39,87,41,405,445
116,David Wood,57,13,9,18,4,83,87
1051,Dean Garrett,542,38,5,11,33,619,650
244,Dee Brown,160,67,22,46,45,296,327
209,Dell Curry,1008,118,36,79,82,1251,1333
725,Dell Demps,2,0,0,0,0,2,2
23,Dennis Rodman,311,170,170,367,0,678,678
192,Dennis Scott,823,139,30,72,109,1113,1212
965,Derek Fisher,309,119,102,221,17,564,581
157,Derek Harper,753,321,35,77,286,1402,1607
400,Derek Strong,699,73,14,31,59,848,906
308,Derrick Alston,0,0,0,0,0,0,0
934,Derrick Coleman,1032,193,53,118,140,1430,1538
365,Derrick McKey,400,135,10,20,125,670,778
96,Detlef Schrempf,1022,266,126,287,140,1589,1709
1070,Devin Gray,18,2,1,2,1,22,23
1121,Dexter Boney,19,0,0,0,0,19,19
54,Dickey Simpkins,91,31,31,68,0,159,159
87,Dikembe Mutombo,1066,110,27,62,83,1294,1377
129,Dino Radja,349,48,21,44,27,447,472
1122,Dominique Wilkins,1145,119,20,44,99,1387,1469
931,Don MacLean,402,37,10,23,27,479,502
690,Don Reid,132,14,11,24,3,162,165
140,Donald Royal,218,25,6,13,19,269,288
1126,Donald Whiteside,59,36,27,64,9,141,150
671,Donnie Boyce,55,13,4,8,9,81,90
681,Donny Marshall,175,24,14,30,10,225,235
112,Dontonio Wingfield,211,45,26,58,19,307,326
923,Donyell Marshall,444,53,13,28,40,552,591
57,Doug Christie,1176,315,287,656,28,1888,1912
77,Doug Overton,217,101,41,95,60,432,484
28,Doug West,531,113,32,67,81,760,830
190,Duane Causwell,118,20,4,10,16,160,176
273,Duane Ferrell,394,66,19,38,47,526,572
368,Dwayne Schintzius,34,4,0,0,4,42,46
940,Earl Cureton,7,4,4,11,0,18,18
709,Ed O'Bannon,235,39,8,18,31,315,346
291,Ed Pinckney,66,6,5,10,1,78,79
698,Eddie Johnson,424,52,7,14,45,528,573
224,Eddie Jones,1374,270,256,549,14,1951,1965
922,Elden Campbell,1148,126,122,281,4,1437,1441
695,Eldridge Recasner,405,94,24,55,70,600,666
386,Elliot Perry,562,247,61,133,186,1067,1198
1120,Elmer Bennett,22,11,0,0,11,44,55
771,Elmore Spencer,0,0,0,0,0,0,0
1023,Emanual Davis,65,26,9,20,17,119,136
941,Ennis Whatley,4,3,2,5,1,11,12
287,Eric Leckner,34,5,0,0,5,44,49
211,Eric Mobley,72,14,4,10,10,102,112
376,Eric Montross,341,61,18,44,43,471,514
785,Eric Murdock,45,24,11,27,13,98,108
15,Eric Piatkowski,388,52,7,15,45,493,537
727,Eric Snow,199,158,77,178,81,539,609
677,Eric Williams,1078,129,47,108,82,1350,1425
956,Erick Dampier,370,43,8,21,35,461,495
1065,Erick Strickland,297,68,5,10,63,433,479
911,Ervin Johnson,582,71,31,74,40,736,776
1026,Evric Gray,13,2,0,0,2,17,19
280,Felton Spencer,372,22,5,13,17,419,436
783,Frank Brickowski,81,15,9,19,6,112,118
701,Frankie King,20,5,1,2,4,30,34
697,Fred Hoiberg,224,41,16,34,25,308,333
122,Fred Roberts,22,0,0,0,0,22,22
202,Gary Grant,110,45,42,96,3,212,215
56,Gary Payton,1785,583,340,767,243,3038,3221
718,Gary Trent,882,87,40,90,47,1066,1113
1093,Gaylon Nickerson,15,1,0,0,1,17,18
248,George Lynch,342,76,12,27,64,497,561
45,George McCloud,655,109,32,69,77,878,949
678,George Zidek,143,14,5,11,9,172,181
786,Gerald Wilkins,848,173,43,97,130,1205,1329
49,Gheorghe Muresan,777,29,15,33,14,838,851
779,Glen Rice,2115,160,35,76,125,2441,2560
299,Glenn Robinson,1689,248,61,129,187,2192,2321
255,Grant Hill,1710,583,406,992,177,3056,3220
3,Grant Long,326,39,25,61,14,415,429
246,Greg Anderson,322,34,7,14,27,390,414
21,Greg Anthony,616,407,91,192,316,1440,1609
1068,Greg Dreiling,80,11,1,2,10,102,112
323,Greg Foster,278,31,15,33,16,343,359
37,Greg Graham,93,11,5,13,6,118,124
65,Greg Minor,220,34,12,27,22,291,312
731,Greg Ostertag,559,27,13,32,14,619,633
165,Hakeem Olajuwon,1810,236,38,92,198,2298,2492
265,Harvey Grant,316,68,28,64,40,460,499
906,Haywoode Workman,22,11,3,7,8,45,51
1080,Henry James,356,21,2,4,19,398,417
1006,Herb Williams,39,5,0,0,5,49,54
765,Hersey Hawkins,1139,250,104,231,146,1662,1793
270,Horace Grant,845,163,39,93,124,1186,1308
1024,Horacio Llamas,34,4,1,2,3,42,45
73,Hot Rod Williams,541,100,25,54,75,745,820
458,Howard Eisley,368,198,60,127,138,771,874
93,Hubert Davis,181,34,33,77,1,260,261
1134,Ike Austin,792,101,97,234,4,1034,1038
375,Isaiah Rider,1223,198,82,179,116,1634,1734
1096,Ivano Newbill,100,24,5,13,19,151,170
917,Jack Haley,40,5,2,5,3,51,54
147,Jalen Rose,482,155,34,74,121,798,893
469,Jamal Mashburn,822,203,125,299,78,1277,1342
381,James Robinson,572,126,12,28,114,828,903
1109,James Scott,1,3,3,6,0,7,7
994,Jamie Feick,151,26,4,8,22,203,224
320,Jamie Watson,78,33,6,14,27,146,168
1114,Jaren Jackson,374,65,22,49,43,509,549
679,Jason Caffey,549,89,89,200,0,749,749
467,Jason Kidd,599,496,100,228,396,1619,1859
987,Jason Sasser,19,2,0,0,2,23,24
420,Jayson Williams,550,51,17,40,34,658,692
81,Jeff Grayer,91,25,4,8,21,141,162
204,Jeff Hornacek,1191,361,124,258,237,1923,2064
976,Jeff McInnis,65,18,7,17,11,104,112
979,Jermaine O'Neal,185,8,4,8,4,201,205
706,Jerome Allen,226,152,24,55,128,537,664
760,Jerome Kersey,476,89,86,195,3,677,680
966,Jerome Williams,49,7,4,9,3,64,67
711,Jerry Stackhouse,1679,253,84,183,169,2200,2319
754,Jim Jackson,1226,316,68,148,248,1870,2050
29,Jim McIlvaine,314,23,11,25,12,363,375
1131,Jimmy Carruth,5,0,0,0,0,5,5
728,Jimmy King,6,2,1,3,1,11,12
1429,Jimmy Oliver,11,1,1,2,0,13,13
1432,Joe Courtney,25,0,0,0,0,25,25
247,Joe Dumars,1159,318,160,352,158,1827,1955
170,Joe Kleine,168,35,8,19,27,241,268
693,Joe Smith,1493,125,20,41,105,1744,1847
1086,Joe Stephens,3,0,0,0,0,3,3
341,Joe Wolf,95,20,7,16,13,137,150
180,John Crotty,232,102,94,224,8,472,480
1381,John Long,129,21,15,31,6,172,178
317,John Starks,1061,217,50,108,167,1503,1623
