season,target_id,target_name,target_created,opponent_id,opponent_name,minimum_created,maximum_created,remaining_ast,relation
1996-97,893,Michael Jordan,3222,920,A.C. Green,737,799,62,not_above
1996-97,893,Michael Jordan,3222,243,Aaron McKie,777,851,82,not_above
1996-97,893,Michael Jordan,3222,1425,Aaron Williams,233,247,14,not_above
1996-97,893,Michael Jordan,3222,768,Acie Earl,233,238,5,not_above
1996-97,893,Michael Jordan,3222,228,Adam Keefe,302,326,25,not_above
1996-97,893,Michael Jordan,3222,154,Adrian Caldwell,125,135,11,not_above
1996-97,893,Michael Jordan,3222,673,Alan Henderson,246,264,18,not_above
1996-97,893,Michael Jordan,3222,1059,Aleksandar Djordjevic,36,38,2,not_above
1996-97,893,Michael Jordan,3222,275,Allan Houston,1562,1681,144,not_above
1996-97,893,Michael Jordan,3222,947,Allen Iverson,2939,3094,381,not_above
1996-97,893,Michael Jordan,3222,297,Alonzo Mourning,1571,1576,5,not_above
1996-97,893,Michael Jordan,3222,175,Alton Lister,114,122,8,not_above
1996-97,893,Michael Jordan,3222,1043,Amal McCaskill,42,48,6,not_above
1996-97,893,Michael Jordan,3222,692,Andrew DeClercq,441,464,23,not_above
1996-97,893,Michael Jordan,3222,457,Andrew Lang,326,344,18,not_above
1996-97,893,Michael Jordan,3222,358,Anfernee Hardaway,1890,2120,287,not_above
1996-97,893,Michael Jordan,3222,924,Anthony Goldwire,836,976,159,not_above
1996-97,893,Michael Jordan,3222,193,Anthony Mason,2049,2342,322,not_above
1996-97,893,Michael Jordan,3222,292,Anthony Miller,0,0,0,not_above
1996-97,893,Michael Jordan,3222,324,Anthony Peeler,1560,1694,208,not_above
1996-97,893,Michael Jordan,3222,156,Antoine Carr,757,795,45,not_above
1996-97,893,Michael Jordan,3222,952,Antoine Walker,1990,2128,165,not_above
1996-97,893,Michael Jordan,3222,213,Antonio Davis,995,1038,43,not_above
1996-97,893,Michael Jordan,3222,176,Antonio Harvey,17,18,1,not_above
1996-97,893,Michael Jordan,3222,226,Antonio Lang,245,256,11,not_above
1996-97,893,Michael Jordan,3222,686,Antonio McDyess,1580,1654,74,not_above
1996-97,893,Michael Jordan,3222,288,Armen Gilliam,798,836,42,not_above
1996-97,893,Michael Jordan,3222,717,Arvydas Sabonis,1241,1298,59,not_above
