PLAYER_ID,PLAYER_NAME,season,GP,PTS,AST,pbp_ast,assist_pts,created,start,nba_rank,team_points,team_pct,created_per_game
201565,Derrick Rose,2010-11,81,2026,623,623,1409,3435,2010,1.0,8087.0,42.47557808828985,42.407407407407405
202710,Jimmy Butler III,2016-17,76,1816,417,417,959,2775,2016,11.0,8435.0,32.898636633076464,36.51315789473684
203897,Zach LaVine,2018-19,63,1492,283,283,653,2145,2018,35.0,8605.0,24.92736780941313,34.04761904761905
202710,Jimmy Butler III,2015-16,67,1399,321,321,745,2144,2015,26.0,8335.0,25.722855428914215,32.0
203897,Zach LaVine,2019-20,60,1530,254,254,609,2139,2019,21.0,6945.0,30.799136069114468,35.65
201149,Joakim Noah,2013-14,80,1007,431,431,954,1961,2013,32.0,7680.0,25.533854166666664,24.5125
2200,Pau Gasol,2014-15,78,1446,210,210,505,1951,2014,27.0,8265.0,23.605565638233514,25.012820512820515
2736,Luol Deng,2010-11,82,1430,230,230,517,1947,2010,41.0,8087.0,24.07567701248918,23.74390243902439
2200,Pau Gasol,2015-16,72,1187,294,294,669,1856,2015,38.0,8335.0,22.267546490701857,25.77777777777778
101126,Nate Robinson,2012-13,82,1074,358,358,777,1851,2012,42.0,7641.0,24.224577934825284,22.573170731707318
