PLAYER_ID,PLAYER_NAME,season,GP,PTS,AST,pbp_ast,assist_pts,created,start,nba_rank,team_points,team_pct,created_per_game
147,Jalen Rose,2002-03,82,1816,395,395,857,2673,2002,13.0,7786.0,34.330850244027744,32.59756097560975
201565,Derrick Rose,2009-10,78,1619,469,469,1043,2662,2009,9.0,7993.0,33.30414112348305,34.12820512820513
201565,Derrick Rose,2008-09,81,1361,512,512,1160,2521,2008,14.0,8378.0,30.090713774170446,31.123456790123456
2550,Kirk Hinrich,2005-06,81,1284,514,514,1150,2434,2005,22.0,8020.0,30.34912718204489,30.049382716049383
2550,Kirk Hinrich,2006-07,80,1327,500,500,1088,2415,2006,15.0,8100.0,29.814814814814817,30.1875
2732,Ben Gordon,2006-07,82,1753,296,296,647,2400,2006,16.0,8100.0,29.629629629629626,29.26829268292683
2732,Ben Gordon,2008-09,82,1699,279,279,611,2310,2008,21.0,8378.0,27.572212938648843,28.170731707317074
2550,Kirk Hinrich,2004-05,77,1206,494,494,1103,2309,2004,20.0,7745.0,29.812782440284053,29.98701298701299
2037,Jamal Crawford,2003-04,80,1383,405,405,891,2274,2003,17.0,7355.0,30.917743031951055,28.425
1882,Elton Brand,2000-01,74,1490,240,240,543,2033,2000,42.0,7181.0,28.310820220025068,27.472972972972972
201565,Derrick Rose,2010-11,81,2026,623,623,1409,3435,2010,1.0,8087.0,42.47557808828985,42.407407407407405
202710,Jimmy Butler III,2016-17,76,1816,417,417,959,2775,2016,11.0,8435.0,32.898636633076464,36.51315789473684
203897,Zach LaVine,2018-19,63,1492,283,283,653,2145,2018,35.0,8605.0,24.92736780941313,34.04761904761905
202710,Jimmy Butler III,2015-16,67,1399,321,321,745,2144,2015,26.0,8335.0,25.722855428914215,32.0
203897,Zach LaVine,2019-20,60,1530,254,254,609,2139,2019,21.0,6945.0,30.799136069114468,35.65
201149,Joakim Noah,2013-14,80,1007,431,431,954,1961,2013,32.0,7680.0,25.533854166666664,24.5125
2200,Pau Gasol,2014-15,78,1446,210,210,505,1951,2014,27.0,8265.0,23.605565638233514,25.012820512820515
2736,Luol Deng,2010-11,82,1430,230,230,517,1947,2010,41.0,8087.0,24.07567701248918,23.74390243902439
2200,Pau Gasol,2015-16,72,1187,294,294,669,1856,2015,38.0,8335.0,22.267546490701857,25.77777777777778
101126,Nate Robinson,2012-13,82,1074,358,358,777,1851,2012,42.0,7641.0,24.224577934825284,22.573170731707318
201942,DeMar DeRozan,2021-22,76,2118,374,374,948,3066,2021,4.0,9152.0,33.50087412587413,40.3421052631579
201942,DeMar DeRozan,2023-24,79,1897,421,421,1044,2941,2023,14.0,9206.0,31.94655659352596,37.22784810126582
201942,DeMar DeRozan,2022-23,74,1816,377,377,923,2739,2022,15.0,9276.0,29.527813712807244,37.013513513513516
203897,Zach LaVine,2022-23,77,1913,327,327,769,2682,2022,17.0,9276.0,28.913324708926265,34.83116883116883
1629632,Coby White,2023-24,79,1509,405,405,983,2492,2023,26.0,9206.0,27.069302628720397,31.544303797468356
203897,Zach LaVine,2021-22,67,1635,303,303,702,2337,2021,26.0,9152.0,25.5354020979021,34.88059701492537
1629632,Coby White,2024-25,74,1509,330,330,827,2336,2024,27.0,9660.0,24.182194616977227,31.56756756756757
203897,Zach LaVine,2020-21,58,1591,282,282,677,2268,2020,17.0,7969.0,28.460283598945917,39.10344827586207
1630581,Josh Giddey,2024-25,70,1022,503,503,1223,2245,2024,32.0,9660.0,23.24016563146998,32.07142857142857
1630581,Josh Giddey,2025-26,54,919,494,494,1209,2128,2025,36.0,9537.0,22.313096361539266,39.407407407407405
893,Michael Jordan,1996-97,82,2431,352,352,791,3222,1996,2.0,8458.0,38.094112083234805,39.292682926829265
893,Michael Jordan,1997-98,82,2357,283,283,607,2964,1997,4.0,7931.0,37.37233640146261,36.146341463414636
937,Scottie Pippen,1996-97,82,1656,467,467,1022,2678,1996,15.0,8458.0,31.662331520454007,32.65853658536585
