loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-180,53,True,2PT,Mid-Range,18,0022000015,20201223,Left Side(L)
-2,14,False,2PT,Restricted Area,1,0022000015,20201223,Center(C)
0,0,True,2PT,Restricted Area,0,0022000015,20201223,Center(C)
217,122,False,3PT,Above the Break 3,24,0022000015,20201223,Right Side Center(RC)
-9,221,False,2PT,Mid-Range,22,0022000015,20201223,Center(C)
-3,-5,True,2PT,Restricted Area,0,0022000015,20201223,Center(C)
-54,-1,True,2PT,In The Paint (Non-RA),5,0022000015,20201223,Center(C)
-102,188,True,2PT,Mid-Range,21,0022000015,20201223,Left Side Center(LC)
-222,89,True,3PT,Above the Break 3,23,0022000015,20201223,Left Side Center(LC)
17,253,False,3PT,Above the Break 3,25,0022000015,20201223,Center(C)
24,55,True,2PT,In The Paint (Non-RA),6,0022000015,20201223,Center(C)
-51,241,False,3PT,Above the Break 3,24,0022000015,20201223,Center(C)
3,4,False,2PT,Restricted Area,0,0022000015,20201223,Center(C)
-152,267,False,3PT,Above the Break 3,30,0022000015,20201223,Left Side Center(LC)
227,-16,False,3PT,Right Corner 3,22,0022000015,20201223,Right Side(R)
-19,5,True,2PT,Restricted Area,1,0022000015,20201223,Center(C)
-88,243,False,3PT,Above the Break 3,25,0022000015,20201223,Left Side Center(LC)
-17,0,True,2PT,Restricted Area,1,0022000015,20201223,Center(C)
-119,215,False,3PT,Above the Break 3,24,0022000015,20201223,Left Side Center(LC)
7,22,False,2PT,Restricted Area,2,0022000026,20201226,Center(C)
72,243,False,3PT,Above the Break 3,25,0022000026,20201226,Center(C)
-13,4,True,2PT,Restricted Area,1,0022000026,20201226,Center(C)
115,235,False,3PT,Above the Break 3,26,0022000026,20201226,Right Side Center(RC)
3,3,True,2PT,Restricted Area,0,0022000026,20201226,Center(C)
-163,193,True,3PT,Above the Break 3,25,0022000026,20201226,Left Side Center(LC)
-22,18,False,2PT,Restricted Area,2,0022000026,20201226,Center(C)
-27,38,False,2PT,In The Paint (Non-RA),4,0022000026,20201226,Center(C)
-18,26,False,2PT,Restricted Area,3,0022000026,20201226,Center(C)
-132,231,True,3PT,Above the Break 3,26,0022000026,20201226,Left Side Center(LC)
-177,236,False,3PT,Above the Break 3,29,0022000026,20201226,Left Side Center(LC)
0,6,True,2PT,Restricted Area,0,0022000026,20201226,Center(C)
-228,22,True,3PT,Left Corner 3,22,0022000026,20201226,Left Side(L)
-3,16,True,2PT,Restricted Area,1,0022000038,20201227,Center(C)
215,120,False,3PT,Above the Break 3,24,0022000038,20201227,Right Side Center(RC)
76,246,False,3PT,Above the Break 3,25,0022000038,20201227,Center(C)
-133,215,False,3PT,Above the Break 3,25,0022000038,20201227,Left Side Center(LC)
110,234,True,3PT,Above the Break 3,25,0022000038,20201227,Right Side Center(RC)
-220,13,True,3PT,Left Corner 3,22,0022000038,20201227,Left Side(L)
-169,185,False,3PT,Above the Break 3,25,0022000038,20201227,Left Side Center(LC)
-4,5,True,2PT,Restricted Area,0,0022000038,20201227,Center(C)
-226,39,False,3PT,Left Corner 3,22,0022000038,20201227,Left Side(L)
5,4,True,2PT,Restricted Area,0,0022000038,20201227,Center(C)
-165,218,True,3PT,Above the Break 3,27,0022000038,20201227,Left Side Center(LC)
-34,27,False,2PT,In The Paint (Non-RA),4,0022000038,20201227,Center(C)
-25,143,True,2PT,Mid-Range,14,0022000038,20201227,Center(C)
0,34,False,2PT,Restricted Area,3,0022000038,20201227,Center(C)
-138,222,True,3PT,Above the Break 3,26,0022000038,20201227,Left Side Center(LC)
-9,2,True,2PT,Restricted Area,0,0022000038,20201227,Center(C)
85,238,False,3PT,Above the Break 3,25,0022000038,20201227,Right Side Center(RC)
48,201,True,2PT,Mid-Range,20,0022000038,20201227,Center(C)
203,151,False,3PT,Above the Break 3,25,0022000038,20201227,Right Side Center(RC)
225,73,False,3PT,Right Corner 3,23,0022000038,20201227,Right Side(R)
54,18,False,2PT,In The Paint (Non-RA),5,0022000038,20201227,Center(C)
14,15,False,2PT,Restricted Area,2,0022000038,20201227,Center(C)
82,39,True,2PT,Mid-Range,9,0022000038,20201227,Right Side(R)
133,228,True,3PT,Above the Break 3,26,0022000050,20201229,Right Side Center(RC)
134,149,False,2PT,Mid-Range,20,0022000050,20201229,Right Side Center(RC)
-88,247,True,3PT,Above the Break 3,26,0022000050,20201229,Left Side Center(LC)
-160,59,False,2PT,Mid-Range,17,0022000050,20201229,Left Side(L)
52,260,False,3PT,Above the Break 3,26,0022000050,20201229,Center(C)
0,74,False,2PT,In The Paint (Non-RA),7,0022000050,20201229,Center(C)
46,-9,False,2PT,In The Paint (Non-RA),4,0022000050,20201229,Center(C)
152,218,True,3PT,Above the Break 3,26,0022000050,20201229,Right Side Center(RC)
33,171,False,2PT,Mid-Range,17,0022000050,20201229,Center(C)
-196,187,False,3PT,Above the Break 3,27,0022000050,20201229,Left Side Center(LC)
-49,20,True,2PT,In The Paint (Non-RA),5,0022000050,20201229,Center(C)
65,121,True,2PT,In The Paint (Non-RA),13,0022000050,20201229,Center(C)
-42,14,True,2PT,In The Paint (Non-RA),4,0022000050,20201229,Center(C)
-241,74,False,3PT,Left Corner 3,25,0022000050,20201229,Left Side(L)
-111,258,False,3PT,Above the Break 3,28,0022000050,20201229,Left Side Center(LC)
92,152,True,2PT,Mid-Range,17,0022000063,20201231,Right Side Center(RC)
