window,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
2017-18,Restricted Area,131,66,0.5038,0.6308,-12.7032,36.9014,31.5885,0,524,1,108,1.0076,1.2617,2,True
2017-18,In The Paint (Non-RA),31,10,0.3226,0.3971,-7.4526,8.7324,15.7024,0,524,1,108,0.6452,0.7942,2,True
2017-18,Left Baseline,9,2,0.2222,0.4079,-18.5680,2.5352,2.4028,0,524,1,108,0.4444,0.8195,2,False
2017-18,Left Mid-Range,20,6,0.3000,0.3971,-9.7079,5.6338,4.5596,0,524,1,108,0.6000,0.7946,2,True
2017-18,Center Mid-Range,23,5,0.2174,0.4128,-19.5425,6.4789,5.2851,0,524,1,108,0.4348,0.8256,2,True
2017-18,Right Mid-Range,14,5,0.3571,0.3965,-3.9317,3.9437,4.5894,0,524,1,108,0.7143,0.7931,2,False
2017-18,Right Baseline,5,0,0.0000,0.4033,-40.3326,1.4085,2.2158,0,524,1,108,0.0000,0.8084,2,False
2017-18,Left Corner 3,8,1,0.1250,0.3835,-25.8523,2.2535,3.8586,0,524,1,108,0.3750,1.1506,3,False
2017-18,Left Wing 3,30,7,0.2333,0.3581,-12.4784,8.4507,8.5193,0,524,1,108,0.7000,1.0744,3,True
2017-18,Top of Key 3,53,22,0.4151,0.3553,5.9800,14.9296,9.5642,0,524,1,108,1.2453,1.0658,3,True
2017-18,Right Wing 3,25,10,0.4000,0.3550,4.4987,7.0423,7.9525,0,524,1,108,1.2000,1.0650,3,True
2017-18,Right Corner 3,6,2,0.3333,0.4042,-7.0833,1.6901,3.5143,0,524,1,108,1.0000,1.2125,3,False
2018-19,Restricted Area,494,305,0.6174,0.6292,-1.1832,43.5242,33.0027,2,466,0,144,1.2348,1.2585,2,True
2018-19,In The Paint (Non-RA),116,32,0.2759,0.4036,-12.7771,10.2203,16.0035,2,466,0,144,0.5517,0.8073,2,True
2018-19,Left Baseline,36,12,0.3333,0.3929,-5.9557,3.1718,1.9357,2,466,0,144,0.6667,0.7935,2,True
2018-19,Left Mid-Range,44,17,0.3864,0.3991,-1.2770,3.8767,3.5756,2,466,0,144,0.7727,0.7997,2,True
2018-19,Center Mid-Range,76,29,0.3816,0.4060,-2.4414,6.6960,4.1056,2,466,0,144,0.7632,0.8120,2,True
2018-19,Right Mid-Range,29,11,0.3793,0.4060,-2.6696,2.5551,3.6868,2,466,0,144,0.7586,0.8124,2,True
2018-19,Right Baseline,19,4,0.2105,0.4071,-19.6582,1.6740,1.8591,2,466,0,144,0.4211,0.8150,2,False
2018-19,Left Corner 3,27,14,0.5185,0.3862,13.2324,2.3789,4.1520,2,466,0,144,1.5556,1.1586,3,True
2018-19,Left Wing 3,71,22,0.3099,0.3550,-4.5183,6.2555,9.1726,2,466,0,144,0.9296,1.0651,3,True
2018-19,Top of Key 3,130,43,0.3308,0.3411,-1.0288,11.4537,9.5768,2,466,0,144,0.9923,1.0231,3,True
2018-19,Right Wing 3,77,35,0.4545,0.3525,10.2053,6.7841,8.7206,2,466,0,144,1.3636,1.0574,3,True
2018-19,Right Corner 3,14,6,0.4286,0.3777,5.0849,1.2335,3.9967,2,466,0,144,1.2857,1.1332,3,False
2019-20,Restricted Area,484,289,0.5971,0.6354,-3.8249,40.3670,32.1626,2,405,1,103,1.1942,1.2707,2,True
2019-20,In The Paint (Non-RA),79,14,0.1772,0.3993,-22.2080,6.5888,16.1475,2,405,1,103,0.3544,0.7986,2,True
2019-20,Left Baseline,22,7,0.3182,0.4009,-8.2743,1.8349,1.7250,2,405,1,103,0.6364,0.8086,2,True
2019-20,Left Mid-Range,34,10,0.2941,0.4036,-10.9510,2.8357,3.1358,2,405,1,103,0.5882,0.8083,2,True
2019-20,Center Mid-Range,54,19,0.3519,0.4145,-6.2690,4.5038,3.5021,2,405,1,103,0.7037,0.8291,2,True
2019-20,Right Mid-Range,24,13,0.5417,0.3985,14.3200,2.0017,3.2592,2,405,1,103,1.0833,0.7971,2,True
2019-20,Right Baseline,17,3,0.1765,0.4024,-22.5965,1.4178,1.7027,2,405,1,103,0.3529,0.8055,2,False
2019-20,Left Corner 3,53,27,0.5094,0.3973,11.2179,4.4204,4.4547,2,405,1,103,1.5283,1.1918,3,True
2019-20,Left Wing 3,129,46,0.3566,0.3592,-0.2620,10.7590,9.9226,2,405,1,103,1.0698,1.0776,3,True
2019-20,Top of Key 3,160,62,0.3875,0.3458,4.1679,13.3445,10.3867,2,405,1,103,1.1625,1.0373,3,True
2019-20,Right Wing 3,109,35,0.3211,0.3492,-2.8096,9.0909,9.2039,2,405,1,103,0.9633,1.0476,3,True
2019-20,Right Corner 3,32,14,0.4375,0.3802,5.7304,2.6689,4.1820,2,405,1,103,1.3125,1.1406,3,True
2020-21,Restricted Area,388,254,0.6546,0.6410,1.3657,34.5503,30.0760,1,309,0,95,1.3093,1.2820,2,True
2020-21,In The Paint (Non-RA),89,38,0.4270,0.4271,-0.0102,7.9252,17.9199,1,309,0,95,0.8539,0.8541,2,True
2020-21,Left Baseline,31,14,0.4516,0.4144,3.7174,2.7605,1.7043,1,309,0,95,0.9032,0.8359,2,True
2020-21,Left Mid-Range,46,20,0.4348,0.4020,3.2739,4.0962,2.9212,1,309,0,95,0.8696,0.8046,2,True
2020-21,Center Mid-Range,56,26,0.4643,0.4218,4.2517,4.9866,3.4637,1,309,0,95,0.9286,0.8435,2,True
2020-21,Right Mid-Range,32,15,0.4688,0.4215,4.7206,2.8495,3.0867,1,309,0,95,0.9375,0.8436,2,True
2020-21,Right Baseline,4,2,0.5000,0.4095,9.0541,0.3562,1.6829,1,309,0,95,1.0000,0.8195,2,False
2020-21,Left Corner 3,45,26,0.5778,0.3973,18.0525,4.0071,4.8030,1,309,0,95,1.7333,1.1918,3,True
2020-21,Left Wing 3,154,60,0.3896,0.3674,2.2168,13.7133,10.1674,1,309,0,95,1.1688,1.1023,3,True
2020-21,Top of Key 3,160,60,0.3750,0.3505,2.4509,14.2476,10.1213,1,309,0,95,1.1250,1.0512,3,True
2020-21,Right Wing 3,90,45,0.5000,0.3627,13.7319,8.0142,9.4621,1,309,0,95,1.5000,1.0880,3,True
2020-21,Right Corner 3,27,9,0.3333,0.3885,-5.5201,2.4043,4.4297,1,309,0,95,1.0000,1.1656,3,True
2021-22,Restricted Area,349,240,0.6877,0.6532,3.4528,29.4266,29.0635,0,440,0,210,1.3754,1.3063,2,True
2021-22,In The Paint (Non-RA),115,39,0.3391,0.4283,-8.9174,9.6965,18.3036,0,440,0,210,0.6783,0.8566,2,True
2021-22,Left Baseline,39,14,0.3590,0.3917,-3.2688,3.2884,1.7377,0,440,0,210,0.7179,0.7934,2,True
2021-22,Left Mid-Range,66,25,0.3788,0.4030,-2.4176,5.5649,2.9886,0,440,0,210,0.7576,0.8067,2,True
2021-22,Center Mid-Range,75,33,0.4400,0.4239,1.6150,6.3238,3.2812,0,440,0,210,0.8800,0.8477,2,True
2021-22,Right Mid-Range,44,19,0.4318,0.4040,2.7779,3.7099,3.0389,0,440,0,210,0.8636,0.8087,2,True
2021-22,Right Baseline,23,10,0.4348,0.3987,3.6055,1.9393,1.7405,0,440,0,210,0.8696,0.8030,2,True
2021-22,Left Corner 3,37,17,0.4595,0.3842,7.5263,3.1197,5.2496,0,440,0,210,1.3784,1.1526,3,True
2021-22,Left Wing 3,147,55,0.3741,0.3417,3.2492,12.3946,10.3843,0,440,0,210,1.1224,1.0250,3,True
2021-22,Top of Key 3,168,55,0.3274,0.3432,-1.5792,14.1653,9.8947,0,440,0,210,0.9821,1.0293,3,True
2021-22,Right Wing 3,87,37,0.4253,0.3537,7.1546,7.3356,9.4582,0,440,0,210,1.2759,1.0611,3,True
2021-22,Right Corner 3,36,21,0.5833,0.3820,20.1310,3.0354,4.6562,0,440,0,210,1.7500,1.1461,3,True
2022-23,Restricted Area,444,298,0.6712,0.6663,0.4874,31.9885,29.9158,0,406,0,144,1.3423,1.3326,2,True
2022-23,In The Paint (Non-RA),125,55,0.4400,0.4436,-0.3604,9.0058,19.5383,0,406,0,144,0.8800,0.8872,2,True
2022-23,Left Baseline,46,18,0.3913,0.4122,-2.0907,3.3141,1.5758,0,406,0,144,0.7826,0.8311,2,True
2022-23,Left Mid-Range,74,27,0.3649,0.4160,-5.1093,5.3314,2.7060,0,406,0,144,0.7297,0.8329,2,True
