season,all_30_plus_fga,all_30_plus_fgm,inside_halfcourt_fga,inside_halfcourt_fgm,beyond_halfcourt_fgm,beyond_halfcourt_fga
1997-98,25,0,20,0,0,5
1998-99,19,0,17,0,0,2
1999-00,21,0,15,0,0,6
2000-01,29,2,24,2,0,5
2001-02,26,1,19,1,0,7
2002-03,35,5,28,5,0,7
2003-04,50,2,40,1,1,10
2004-05,30,1,25,1,0,5
2005-06,31,3,19,3,0,12
2006-07,35,1,24,1,0,11
2007-08,25,2,14,2,0,11
2008-09,29,0,16,0,0,13
2009-10,19,0,10,0,0,9
2010-11,47,1,30,1,0,17
2011-12,28,1,15,1,0,13
2012-13,27,2,16,2,0,11
2013-14,36,3,16,0,3,20
2014-15,37,2,19,0,2,18
2015-16,39,4,23,3,1,16
2016-17,21,2,12,2,0,9
2017-18,34,3,19,3,0,15
2018-19,34,3,20,3,0,14
2019-20,42,5,30,5,0,12
2020-21,39,7,26,6,1,13
2021-22,47,5,29,4,1,18
2022-23,30,7,26,7,0,4
2023-24,50,11,39,11,0,11
2024-25,81,22,66,20,2,15
2025-26,38,8,37,7,1,1
