band,PLAYER_NAME,season,FGM,FGA,PPS
0–2 ft,Luol Deng,2006-07,295,439,1.3439635535307517
2–4 ft,Derrick Rose,2010-11,142,280,1.0142857142857142
4–6 ft,Nikola Vučević,2023-24,65,102,1.2745098039215685
6–8 ft,Elton Brand,1999-00,94,185,1.0162162162162163
8–10 ft,Elton Brand,1999-00,57,123,0.926829268292683
10–12 ft,Michael Jordan,1997-98,59,128,0.921875
12–14 ft,DeMar DeRozan,2021-22,82,152,1.0789473684210527
14–16 ft,Michael Jordan,1997-98,105,244,0.860655737704918
16–18 ft,Michael Jordan,1997-98,115,262,0.8778625954198473
18–20 ft,Derrick Rose,2009-10,94,210,0.8952380952380953
20–22 ft,Ben Gordon,2006-07,81,149,1.0939597315436242
22–24 ft,Ben Gordon,2005-06,64,135,1.2592592592592593
24–26 ft,Jamal Crawford,2003-04,115,318,1.0849056603773586
26–28 ft,Coby White,2024-25,71,200,1.065
28–30 ft,Coby White,2023-24,21,53,1.1886792452830188
30 ft–half court,Coby White,2024-25,12,30,1.2
