band_start_ft,PLAYER_ID,PLAYER_NAME,season,FGA,FGM,three_made,two_made,points_from_field_goals,PPS,band
0,2736,Luol Deng,2006-07,439,295,0,295,590,1.3439635535307517,0–2 ft
2,201565,Derrick Rose,2010-11,280,142,0,142,284,1.0142857142857142,2–4 ft
4,202696,Nikola Vučević,2023-24,102,65,0,65,130,1.2745098039215685,4–6 ft
6,1882,Elton Brand,1999-00,185,94,0,94,188,1.0162162162162163,6–8 ft
8,1882,Elton Brand,1999-00,123,57,0,57,114,0.926829268292683,8–10 ft
10,893,Michael Jordan,1997-98,128,59,0,59,118,0.921875,10–12 ft
12,201942,DeMar DeRozan,2021-22,152,82,0,82,164,1.0789473684210527,12–14 ft
14,893,Michael Jordan,1997-98,244,105,0,105,210,0.860655737704918,14–16 ft
16,893,Michael Jordan,1997-98,262,115,0,115,230,0.8778625954198473,16–18 ft
18,201565,Derrick Rose,2009-10,210,94,0,94,188,0.8952380952380953,18–20 ft
20,2732,Ben Gordon,2006-07,149,81,1,80,163,1.0939597315436242,20–22 ft
22,2732,Ben Gordon,2005-06,135,64,42,22,170,1.2592592592592593,22–24 ft
24,2037,Jamal Crawford,2003-04,318,115,115,0,345,1.0849056603773586,24–26 ft
26,1629632,Coby White,2024-25,200,71,71,0,213,1.065,26–28 ft
28,1629632,Coby White,2023-24,53,21,21,0,63,1.1886792452830188,28–30 ft
28,203897,Zach LaVine,2022-23,54,21,21,0,63,1.1666666666666667,28–30 ft
