season,missing_location,missing_location_made,beyond_30,beyond_30_made
1997-98,0,0,25,0
1998-99,0,0,19,0
1999-00,0,0,21,0
2000-01,0,0,29,2
2001-02,3,2,26,1
2002-03,0,0,35,5
2003-04,0,0,50,2
2004-05,0,0,30,1
2005-06,0,0,31,3
2006-07,0,0,35,1
2007-08,0,0,25,2
2008-09,2,0,29,0
2009-10,1,0,19,0
2010-11,0,0,47,1
2011-12,1,0,28,1
2012-13,0,0,27,2
2013-14,0,0,36,3
2014-15,0,0,37,2
2015-16,0,0,39,4
2016-17,3,0,21,2
2017-18,0,0,34,3
2018-19,0,0,34,3
2019-20,0,0,42,5
2020-21,0,0,39,7
2021-22,0,0,47,5
2022-23,0,0,30,7
2023-24,0,0,50,11
2024-25,0,0,81,22
2025-26,0,0,38,8
