season,file,retrieved_at_utc,sha256
1997-98,shotchartdetail/1997-98.csv.gz,2026-09-23T23:57:16.698772+00:00,4bade4600627b4cb1b64d85581646fe98007ed111718df9d4cd30a05e18c7cc3
1998-99,shotchartdetail/1998-99.csv.gz,2026-09-23T23:57:18.495783+00:00,95506f1a8f2edc461841549023aae637febfdd8a6a77bef617c94fb60e40303b
1999-00,shotchartdetail/1999-00.csv.gz,2026-09-23T23:57:20.561203+00:00,96a6ae286d89260462795b2d8d0582d1d34c8445eea67b1e52454f01e0f41d40
2000-01,shotchartdetail/2000-01.csv.gz,2026-09-23T23:57:23.050883+00:00,f2717aff9a463adcd808c557dac8295e42af86247c234ff0c69424a8ad130f95
2001-02,shotchartdetail/2001-02.csv.gz,2026-09-23T23:57:24.015837+00:00,b4ed397d8b0288cffc1aa0742366b77271a4c7e50089556b10bfc050d45a16b9
2002-03,shotchartdetail/2002-03.csv.gz,2026-09-23T23:57:24.772446+00:00,b3fab881f49b0c08610fcc24e537bbaf50b94992a267407facd8c47f587ebb3f
2003-04,shotchartdetail/2003-04.csv.gz,2026-09-23T23:57:25.516278+00:00,738aaa0ba97478ec9ebee42c16ef1e02511b84683c743b9b891fd09e3eeb36b7
2004-05,shotchartdetail/2004-05.csv.gz,2026-09-23T23:57:27.625527+00:00,5f66b755dda086685a0a7c036405ea8eef3afbdcd5bfd996d0093cdeb21b5393
2005-06,shotchartdetail/2005-06.csv.gz,2026-09-23T23:57:28.367521+00:00,646cb56f747ec7557004c8cb403d0e12669cf394cf6abbca8760c03be495b709
2006-07,shotchartdetail/2006-07.csv.gz,2026-09-23T23:57:29.110243+00:00,08d786d06c1b0108e31b5fe33762780500cf5b63be34f564d6025b2155ce0711
2007-08,shotchartdetail/2007-08.csv.gz,2026-09-23T23:57:29.884817+00:00,cd38eb63f9f8d6ea5ad57bbc27a4a652ffb267336ac02917e82d1c76215f252b
2008-09,shotchartdetail/2008-09.csv.gz,2026-09-23T23:57:30.629186+00:00,82b6a4831c4b9991094ad4760570f4d3151049496e2366f5ff1b57acb9becc36
2009-10,shotchartdetail/2009-10.csv.gz,2026-09-23T23:57:31.421937+00:00,bf5f3bf3129ee3a5e85f30c92aab9aeb365c4f6d825c973ebb6ba4a931d646b1
2010-11,shotchartdetail/2010-11.csv.gz,2026-09-23T23:57:33.902273+00:00,4fdb0c73cecf73d4568b4edf69da9121d3a5d6647bfa5120e56c6204c08ba366
2011-12,shotchartdetail/2011-12.csv.gz,2026-09-23T23:57:36.099480+00:00,1ce036d75eff9b9a8431e44e8016bfbd02099e222b56d785c8a4b8bcb6390ea9
2012-13,shotchartdetail/2012-13.csv.gz,2026-09-23T23:57:37.298321+00:00,53c6c60a1d38073d9955a18bfd6d1ceb8814df9faac1353b81f1ce2701a6e92b
2013-14,shotchartdetail/2013-14.csv.gz,2026-09-23T23:57:38.039614+00:00,d41d374a212b3b26fa25fa24669ca93f0570371ac930be813387585de4f6a6cb
2014-15,shotchartdetail/2014-15.csv.gz,2026-09-23T23:57:38.794634+00:00,3dd42603563082cba863c27d5ddfa46867715832b68297a2376183c499cc156d
2015-16,shotchartdetail/2015-16.csv.gz,2026-09-23T23:57:40.805597+00:00,99a7b5bd27b1578724d789141301cf9d903f0369f3623c87599218a40afce49d
2016-17,shotchartdetail/2016-17.csv.gz,2026-09-23T23:57:41.623822+00:00,d4648d52198b5e4830a879a4a284f1a5eb0639b80bf8722222bcb29ef4d63b82
2017-18,shotchartdetail/2017-18.csv.gz,2026-09-23T23:57:43.444445+00:00,588a1ab45632d5310215344e7624a9499755f6ef19250ede6595b01e145650ba
2018-19,shotchartdetail/2018-19.csv.gz,2026-09-23T23:57:44.228521+00:00,a4b4863dd9f069ecb60bffba1415f1604dec1f4d9618a339ca45ed9f3a6dacdb
2019-20,shotchartdetail/2019-20.csv.gz,2026-09-23T23:57:44.967247+00:00,44602bd4f0dc309e81dcfc75620f66460fa96d579969b0dd8041886ef8904efa
2020-21,shotchartdetail/2020-21.csv.gz,2026-09-23T23:57:45.750659+00:00,8fef1133559adc6a9b39928f11eb958da614027b1d134a493fbd7143fd07dde4
2021-22,shotchartdetail/2021-22.csv.gz,2026-09-23T23:57:46.554253+00:00,9ca4c5f83e91c3918ae69e08592f7354a6979c18e68f8d077b17f6ca8b766ccf
2022-23,shotchartdetail/2022-23.csv.gz,2026-09-23T23:57:47.310885+00:00,492e320fa1f079e207273d43d3d5d1bdd2660631ef6b3de947b4d76b0f906a0e
2023-24,shotchartdetail/2023-24.csv.gz,2026-09-23T23:57:48.063518+00:00,1f27b5fbb31c6a718af2c6450d2e8e5c6749becddaceaad159aaee5536879f4a
2024-25,shotchartdetail/2024-25.csv.gz,2026-09-23T23:57:49.372507+00:00,66b181b005b87451dbdb3bbd9e1817bda584eea46bdafe4b0bf23318b2811406
2025-26,shotchartdetail/2025-26.csv.gz,2026-09-23T23:57:50.284455+00:00,34e4b0354601015ef4967a57e3cc33c374f2ffd294712106b389b93314dd9ac8
