season,FGA_shots,FGM_shots,FG3A_shots,FG3M_shots,FGA_official,FGM_official,FG3A_official,FG3M_official,retrieved_at_utc
1997-98,6801,3064,962,311,6801,3064,962,311,2026-09-24T00:21:50.756345+00:00
1998-99,3836,1539,611,177,3836,1539,611,177,2026-09-24T00:21:51.401308+00:00
1999-00,6180,2565,1033,340,6180,2565,1033,340,2026-09-24T00:21:51.975712+00:00
2000-01,6411,2721,950,329,6411,2721,950,329,2026-09-24T00:21:52.589154+00:00
2001-02,6491,2811,868,300,6491,2811,868,300,2026-09-24T00:21:53.153502+00:00
2002-03,6714,2991,997,349,6714,2991,997,349,2026-09-24T00:21:53.708495+00:00
2003-04,6753,2798,1256,429,6753,2798,1256,429,2026-09-24T00:21:54.275419+00:00
2004-05,6592,2849,1433,511,6592,2849,1433,511,2026-09-24T00:21:54.838123+00:00
2005-06,6737,3004,1477,560,6737,3004,1477,560,2026-09-24T00:21:55.426783+00:00
2006-07,6663,3046,1237,480,6663,3046,1237,480,2026-09-24T00:21:55.992519+00:00
2007-08,6861,2987,1305,474,6861,2987,1305,474,2026-09-24T00:21:56.559913+00:00
2008-09,6846,3126,1293,493,6846,3126,1293,493,2026-09-24T00:21:57.106418+00:00
2009-10,6825,3081,1066,352,6825,3081,1066,352,2026-09-24T00:21:57.655225+00:00
2010-11,6587,3042,1415,511,6587,3042,1415,511,2026-09-24T00:21:58.223240+00:00
2011-12,5462,2467,1117,419,5462,2467,1117,419,2026-09-24T00:21:58.781429+00:00
2012-13,6698,2926,1265,446,6698,2926,1265,446,2026-09-24T00:21:59.360786+00:00
2013-14,6577,2843,1459,508,6577,2843,1459,508,2026-09-24T00:21:59.906030+00:00
2014-15,6797,3001,1825,645,6797,3001,1825,645,2026-09-24T00:22:00.470096+00:00
2015-16,7170,3165,1753,651,7170,3165,1753,651,2026-09-24T00:22:01.130192+00:00
2016-17,7141,3169,1831,623,7141,3169,1831,623,2026-09-24T00:22:01.755851+00:00
2017-18,7285,3170,2549,906,7285,3170,2549,906,2026-09-24T00:22:02.373724+00:00
2018-19,7205,3266,2123,745,7205,3266,2123,745,2026-09-24T00:22:02.991763+00:00
2019-20,5762,2573,2282,793,5762,2573,2282,793,2026-09-24T00:22:03.546983+00:00
2020-21,6380,3035,2446,904,6380,3035,2446,904,2026-09-24T00:22:04.114375+00:00
2021-22,7127,3422,2364,872,7127,3422,2364,872,2026-09-24T00:22:04.666113+00:00
2022-23,7116,3488,2367,854,7116,3488,2367,854,2026-09-24T00:22:05.238419+00:00
2023-24,7339,3448,2630,941,7339,3448,2630,941,2026-09-24T00:22:05.802640+00:00
2024-25,7545,3543,3447,1266,7545,3543,3447,1266,2026-09-24T00:22:06.368531+00:00
2025-26,7417,3476,3287,1169,7417,3476,3287,1169,2026-09-24T00:22:06.982959+00:00
