season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,first_nba_season_end,first_bulls_season_end,debut_rule,is_debut,rookie_season,status,rank
2002,2001–02,147,Jalen Rose,0020100764,2002-02-20,CHI vs. NYK,NYK,W,44.25,36,13,24.0,0.0,3.0,10,11.0,0.0,2.0,2.0,6.0,0.0,2.0,3.0,3.0,2.0,26.000000000000007,62.41331484049931,https://www.nba.com/stats/players/boxscores-traditional?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,2002-02-20,CHI vs. NYK,W,113,4.0,2000s,1995,2002,entered NBA 1983-84 or later,True,False,debut,1
2019,2018–19,203960,JaKarr Sampson,0021801155,2019-04-01,CHI @ NYK,NYK,L,29.666666666666668,22,8,10.0,1.0,2.0,5,6.0,0.0,7.0,7.0,0.0,1.0,1.0,1.0,2.0,-8.0,19.8,87.0253164556962,https://www.nba.com/stats/players/boxscores-traditional?Season=2018-19&SeasonType=Regular%20Season&TeamID=1610612741,2019-04-01,CHI @ NYK,L,105,-8.0,2010s,2015,2019,entered NBA 1983-84 or later,True,False,debut,2
2015,2014–15,2200,Pau Gasol,0021400010,2014-10-29,CHI @ NYK,NYK,W,29.166666666666668,21,7,11.0,0.0,0.0,7,8.0,4.0,7.0,11.0,0.0,0.0,0.0,1.0,1.0,15.0,19.200000000000003,72.31404958677686,https://www.nba.com/stats/players/boxscores-traditional?Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741,2014-10-29,CHI @ NYK,W,104,24.0,2010s,2002,2015,entered NBA 1983-84 or later,True,False,debut,3
1984,1983–84,78523,Mitchell Wiggins,0028300012,1983-10-29,CHI vs. NJN,NJN,W,36.0,26,9,20.0,0.0,0.0,8,9.0,2.0,7.0,9.0,2.0,2.0,0.0,2.0,3.0,,18.900000000000002,54.25709515859766,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1983-10-29,CHI vs. NJN,W,104,,1980s,1984,1984,entered NBA 1983-84 or later,True,True,debut,4
2019,2018–19,1627215,Walt Lemon Jr.,0021801142,2019-03-30,CHI vs. TOR,TOR,L,31.033333333333335,19,8,15.0,0.0,1.0,3,5.0,0.0,4.0,4.0,6.0,4.0,1.0,1.0,3.0,-4.0,18.799999999999997,55.23255813953488,https://www.nba.com/stats/players/boxscores-traditional?Season=2018-19&SeasonType=Regular%20Season&TeamID=1610612741,2019-03-30,CHI vs. TOR,L,101,-23.0,2010s,2018,2019,entered NBA 1983-84 or later,True,False,debut,5
2004,2003–04,966,Jerome Williams,0020300237,2003-12-01,CHI vs. MIL,MIL,W,27.933333333333337,13,4,5.0,0.0,0.0,5,5.0,4.0,6.0,10.0,2.0,4.0,0.0,1.0,4.0,27.0,18.499999999999996,90.27777777777779,https://www.nba.com/stats/players/boxscores-traditional?Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,2003-12-01,CHI vs. MIL,W,97,10.0,2000s,1997,2004,entered NBA 1983-84 or later,True,False,debut,6
2004,2003–04,2648,Ronald Dupree,0020300495,2004-01-07,CHI @ MIA,MIA,L,26.483333333333334,18,7,11.0,0.0,0.0,4,4.0,5.0,4.0,9.0,3.0,0.0,0.0,1.0,3.0,1.0,17.7,70.53291536050156,https://www.nba.com/stats/players/boxscores-traditional?Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741,2004-01-07,CHI @ MIA,L,95,-7.0,2000s,2004,2004,entered NBA 1983-84 or later,True,True,debut,7
2021,2020–21,202696,Nikola Vučević,0022000697,2021-03-27,CHI @ SAS,SAS,L,31.766666666666666,21,9,16.0,2.0,4.0,1,1.0,2.0,7.0,9.0,3.0,0.0,0.0,0.0,4.0,-24.0,17.4,63.86861313868613,https://www.nba.com/stats/players/boxscores-traditional?Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741,2021-03-27,CHI @ SAS,L,104,-16.0,2020s,2012,2021,entered NBA 1983-84 or later,True,False,debut,8
2026,2025–26,1627824,Guerschon Yabusele,0022500736,2026-02-05,CHI @ TOR,TOR,L,33.233333333333334,15,6,11.0,3.0,6.0,0,0.0,4.0,7.0,11.0,3.0,2.0,0.0,1.0,2.0,-4.0,16.900000000000002,68.18181818181817,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2026-02-05,CHI @ TOR,L,107,-16.0,2020s,2018,2026,entered NBA 1983-84 or later,True,False,debut,9
2026,2025–26,1629014,Anfernee Simons,0022500736,2026-02-05,CHI @ TOR,TOR,L,31.966666666666665,22,8,15.0,6.0,13.0,0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,3.0,1.0,-10.0,14.7,73.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2026-02-05,CHI @ TOR,L,107,-16.0,2020s,2019,2026,entered NBA 1983-84 or later,True,False,debut,10
