season,league_3pa,league_3pm,source_path,source_file_modified_utc
2003-04,1599,376,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2003-04.csv,2026-09-03T19:27:04.922196+00:00
2004-05,1847,439,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2004-05.csv,2026-09-03T19:27:28.476621+00:00
2005-06,1983,544,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2005-06.csv,2026-09-03T19:27:51.100280+00:00
2006-07,2343,597,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2006-07.csv,2026-09-03T19:28:13.435310+00:00
2007-08,2665,727,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2007-08.csv,2026-09-03T19:28:36.344491+00:00
2008-09,3122,901,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2008-09.csv,2026-08-26T02:05:34+00:00
2009-10,2437,638,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2009-10.csv,2026-08-26T02:06:53+00:00
2010-11,2163,534,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2010-11.csv,2026-08-26T02:07:17+00:00
2011-12,2044,517,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2011-12.csv,2026-08-26T02:07:40+00:00
2012-13,3223,894,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2012-13.csv,2026-08-26T20:26:44+00:00
2013-14,3215,922,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2013-14.csv,2026-08-26T02:08:03+00:00
2014-15,3362,954,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2014-15.csv,2026-08-26T02:08:26+00:00
2015-16,3709,1095,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2015-16.csv,2026-08-26T02:08:50+00:00
2016-17,5005,1533,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2016-17.csv,2026-08-26T20:27:16+00:00
2017-18,8252,2648,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2017-18.csv,2026-09-22T23:17:02.331071+00:00
2018-19,10061,3330,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2018-19.csv,2026-09-22T23:17:02.345732+00:00
2019-20,10553,3534,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2019-20.csv,2026-09-22T23:17:02.360920+00:00
2020-21,11892,4025,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2020-21.csv,2026-08-25T16:47:32+00:00
2021-22,13556,4453,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2021-22.csv,2026-08-25T16:47:32+00:00
2022-23,13388,4417,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2022-23.csv,2026-08-25T16:47:32+00:00
2023-24,14307,4869,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2023-24.csv,2026-08-25T16:47:32+00:00
2024-25,16687,5617,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2024-25.csv,2026-08-25T16:47:32+00:00
2025-26,15780,5195,/Users/meltangonan/projects/bulls-analytics/cache/shot_charts/league_2025-26.csv,2026-08-25T16:47:32+00:00
