PLAYER_ID,GP,all_3pa,PLAYER_NAME,deep_3pa,deep_3pm,season,season_type,league_rate,expected_makes
82,61,2,Bill Wennington,0,0,1996-97,Regular Season,,
183,9,0,Bison Dele,0,0,1996-97,Regular Season,,
23,55,19,Dennis Rodman,0,0,1996-97,Regular Season,,
54,48,4,Dickey Simpkins,0,0,1996-97,Regular Season,,
679,75,1,Jason Caffey,1,0,1996-97,Regular Season,,
146,76,54,Jud Buechler,2,0,1996-97,Regular Season,,
26,59,2,Luc Longley,1,0,1996-97,Regular Season,,
1099,2,2,Matt Steigenga,0,0,1996-97,Regular Season,,
893,82,297,Michael Jordan,8,0,1996-97,Regular Season,,
753,72,22,Randy Brown,2,0,1996-97,Regular Season,,
305,43,0,Robert Parish,0,0,1996-97,Regular Season,,
166,76,188,Ron Harper,2,1,1996-97,Regular Season,,
937,82,424,Scottie Pippen,8,1,1996-97,Regular Season,,
70,82,237,Steve Kerr,3,2,1996-97,Regular Season,,
389,57,151,Toni Kukoc,1,0,1996-97,Regular Season,,
82,48,0,Bill Wennington,0,0,1997-98,Regular Season,,
710,3,0,David Vaughn,0,0,1997-98,Regular Season,,
23,80,23,Dennis Rodman,1,1,1997-98,Regular Season,,
54,21,1,Dickey Simpkins,0,0,1997-98,Regular Season,,
679,51,1,Jason Caffey,0,0,1997-98,Regular Season,,
170,46,0,Joe Kleine,0,0,1997-98,Regular Season,,
146,74,65,Jud Buechler,4,1,1997-98,Regular Season,,
1522,6,1,Keith Booth,0,0,1997-98,Regular Season,,
26,58,0,Luc Longley,0,0,1997-98,Regular Season,,
893,82,126,Michael Jordan,6,0,1997-98,Regular Season,,
753,71,5,Randy Brown,1,0,1997-98,Regular Season,,
166,82,84,Ron Harper,6,4,1997-98,Regular Season,,
1601,14,16,Rusty LaRue,1,1,1997-98,Regular Season,,
197,80,144,Scott Burrell,5,1,1997-98,Regular Season,,
937,44,192,Scottie Pippen,10,0,1997-98,Regular Season,,
70,50,130,Steve Kerr,9,0,1997-98,Regular Season,,
389,74,174,Toni Kukoc,11,2,1997-98,Regular Season,,
457,21,0,Andrew Lang,0,0,1998-99,Regular Season,,
82,38,1,Bill Wennington,1,1,1998-99,Regular Season,,
699,37,172,Brent Barry,10,2,1998-99,Regular Season,,
1869,29,61,Charles R. Jones,5,4,1998-99,Regular Season,,
1736,31,14,Corey Benjamin,2,0,1998-99,Regular Season,,
1757,42,30,Cory Carr,4,1,1998-99,Regular Season,,
54,50,1,Dickey Simpkins,0,0,1998-99,Regular Season,,
1522,39,10,Keith Booth,1,0,1998-99,Regular Season,,
