season,shot_rows,official_3pa,official_3pm,shot_log_3pa,shot_log_3pm,missing_distance_3pa,missing_distance_3pm,eligible_3pa,eligible_3pm,excluded_40_plus_3pm
1996-97,6923,1403,523,1403,523,0,0,28,4,1
1997-98,6801,962,311,962,311,0,0,54,10,0
1998-99,3836,611,177,611,177,0,0,36,9,0
1999-00,6180,1033,340,1033,340,0,0,54,11,0
2000-01,6411,950,329,950,329,0,0,63,16,0
2001-02,6491,868,300,868,300,2,2,55,11,1
2002-03,6714,997,349,997,349,0,0,53,14,0
2003-04,6753,1256,429,1256,429,0,0,72,16,2
2004-05,6592,1433,511,1433,511,0,0,96,16,1
2005-06,6737,1477,560,1477,560,0,0,102,35,1
2006-07,6663,1237,480,1237,480,0,0,57,15,0
2007-08,6861,1305,474,1305,474,0,0,59,15,0
2008-09,6846,1293,493,1293,493,2,0,56,16,0
2009-10,6825,1066,352,1066,352,1,0,28,1,0
2010-11,6587,1415,511,1415,511,0,0,38,11,1
2011-12,5462,1117,419,1117,419,1,0,49,13,0
2012-13,6698,1265,446,1265,446,0,0,77,17,1
2013-14,6577,1459,508,1459,508,0,0,69,19,3
2014-15,6797,1825,645,1825,645,0,0,83,24,2
2015-16,7170,1753,651,1753,651,0,0,94,27,1
2016-17,7141,1831,623,1831,623,3,0,112,36,0
2017-18,7285,2549,906,2549,906,0,0,205,68,0
2018-19,7205,2123,745,2123,745,0,0,212,59,0
2019-20,5762,2282,793,2282,793,0,0,282,84,0
2020-21,6380,2446,904,2446,904,0,0,324,110,1
2021-22,7127,2364,872,2364,872,0,0,301,105,1
2022-23,7116,2367,854,2367,854,0,0,358,116,0
2023-24,7339,2630,941,2630,941,0,0,353,114,0
2024-25,7545,3447,1266,3447,1266,0,0,601,223,2
2025-26,7417,3287,1169,3287,1169,0,0,422,129,1
