game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url
28300939,1984-04-15,CHI @ PHL,L,115,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300927,1984-04-13,CHI vs. MIL,L,85,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300919,1984-04-11,CHI vs. NJN,L,112,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300903,1984-04-09,CHI @ WAS,L,134,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300898,1984-04-08,CHI @ BOS,L,110,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300888,1984-04-06,CHI vs. ATL,W,111,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300880,1984-04-05,CHI @ CLE,L,99,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300871,1984-04-03,CHI vs. NYK,L,96,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300863,1984-04-02,CHI @ NYK,L,113,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300858,1984-03-31,CHI vs. PHL,L,104,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300843,1984-03-30,CHI @ MIL,L,86,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300831,1984-03-28,CHI @ DET,L,101,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300827,1984-03-27,CHI vs. DET,L,83,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300816,1984-03-25,CHI vs. IND,L,99,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300799,1984-03-23,CHI @ IND,L,112,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300782,1984-03-20,CHI vs. CLE,W,108,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300778,1984-03-18,CHI @ DEN,L,104,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300764,1984-03-16,CHI @ POR,W,156,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300754,1984-03-15,CHI @ SEA,L,90,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300747,1984-03-13,CHI @ GOS,W,112,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300725,1984-03-10,CHI @ SDC,L,110,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300717,1984-03-08,CHI @ KCK,L,110,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300702,1984-03-06,CHI vs. DET,L,108,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300689,1984-03-03,CHI vs. ATL,W,102,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300683,1984-03-02,CHI @ BOS,L,100,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300673,1984-02-29,CHI @ MIL,L,83,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300662,1984-02-28,CHI vs. LAL,L,108,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300651,1984-02-25,CHI @ ATL,L,87,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300642,1984-02-24,CHI vs. WAS,L,96,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300628,1984-02-22,CHI @ IND,W,121,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300626,1984-02-21,CHI vs. UTH,L,95,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300617,1984-02-19,CHI vs. MIL,L,103,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300600,1984-02-17,CHI vs. SAN,L,109,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300584,1984-02-14,CHI vs. SDC,W,112,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300572,1984-02-11,CHI vs. GOS,W,101,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300559,1984-02-10,CHI @ PHL,W,100,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300556,1984-02-08,CHI @ NJN,W,114,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300542,1984-02-07,CHI vs. PHL,W,104,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300530,1984-02-04,CHI vs. NJN,L,105,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300521,1984-02-03,CHI @ CLE,L,83,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300511,1984-02-01,CHI @ ATL,L,103,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300499,1984-01-31,CHI vs. BOS,L,83,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300491,1984-01-26,CHI vs. DEN,L,125,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300475,1984-01-24,CHI vs. ATL,L,93,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300463,1984-01-21,CHI @ CLE,W,111,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28300453,1984-01-19,CHI @ NYK,L,92,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
