season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade
1984,1983–84,78615,Orlando Woolridge,28300012,1983-10-29,CHI vs. NJN,NJN,W,33.0,12,4,8.0,0.0,0.0,4,8.0,3.0,5.0,8.0,1.0,0.0,1.0,2.0,5.0,,7.399999999999999,52.083333333333336,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1983-10-29,CHI vs. NJN,W,104,,1980s
1984,1983–84,76497,Quintin Dailey,28300012,1983-10-29,CHI vs. NJN,NJN,W,36.0,27,9,15.0,0.0,0.0,9,11.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,4.0,,16.1,68.04435483870968,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1983-10-29,CHI vs. NJN,W,104,,1980s
1984,1983–84,941,Ennis Whatley,28300012,1983-10-29,CHI vs. NJN,NJN,W,24.0,6,3,6.0,0.0,0.0,0,0.0,0.0,3.0,3.0,8.0,2.0,0.0,4.0,0.0,,7.5,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1983-10-29,CHI vs. NJN,W,104,,1980s
1984,1983–84,78310,Reggie Theus,28300012,1983-10-29,CHI vs. NJN,NJN,W,16.0,5,2,4.0,0.0,0.0,1,4.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,,4.8999999999999995,43.40277777777778,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1983-10-29,CHI vs. NJN,W,104,,1980s
1984,1983–84,76453,Dave Corzine,28300012,1983-10-29,CHI vs. NJN,NJN,W,28.0,14,3,10.0,0.0,0.0,8,8.0,2.0,4.0,6.0,4.0,1.0,0.0,2.0,5.0,,10.599999999999998,51.77514792899408,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1983-10-29,CHI vs. NJN,W,104,,1980s
1984,1983–84,76876,Sidney Green,28300012,1983-10-29,CHI vs. NJN,NJN,W,13.0,0,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,-2.1999999999999997,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1983-10-29,CHI vs. NJN,W,104,,1980s
1984,1983–84,76881,David Greenwood,28300012,1983-10-29,CHI vs. NJN,NJN,W,38.0,6,2,8.0,0.0,0.0,2,2.0,0.0,7.0,7.0,0.0,0.0,0.0,3.0,5.0,,-1.6999999999999997,33.78378378378378,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1983-10-29,CHI vs. NJN,W,104,,1980s
1984,1983–84,77757,Jawann Oldham,28300012,1983-10-29,CHI vs. NJN,NJN,W,16.0,8,3,4.0,0.0,0.0,2,2.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,6.0,,3.799999999999999,81.9672131147541,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1983-10-29,CHI vs. NJN,W,104,,1980s
1984,1983–84,78523,Mitchell Wiggins,28300012,1983-10-29,CHI vs. NJN,NJN,W,36.0,26,9,20.0,0.0,0.0,8,9.0,2.0,7.0,9.0,2.0,2.0,0.0,2.0,3.0,,18.900000000000002,54.25709515859766,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1983-10-29,CHI vs. NJN,W,104,,1980s
1985,1984–85,941,Ennis Whatley,28400005,1984-10-26,CHI vs. WAS,WAS,W,37.0,11,5,8.0,0.0,0.0,1,1.0,1.0,3.0,4.0,10.0,2.0,0.0,4.0,2.0,,13.2,65.16587677725119,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1984-10-26,CHI vs. WAS,W,109,,1980s
