game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url
28300012,1983-10-29,CHI vs. NJN,W,104,,1984,https://www.nba.com/stats/teams/boxscores?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741
28400005,1984-10-26,CHI vs. WAS,W,109,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
28500007,1985-10-25,CHI vs. CLE,W,116,,1986,https://www.nba.com/stats/teams/boxscores?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741
28600014,1986-11-01,CHI @ NYK,W,108,,1987,https://www.nba.com/stats/teams/boxscores?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
28700016,1987-11-07,CHI vs. PHL,W,104,,1988,https://www.nba.com/stats/teams/boxscores?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741
28800009,1988-11-04,CHI vs. DET,L,94,,1989,https://www.nba.com/stats/teams/boxscores?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741
28900009,1989-11-03,CHI vs. CLE,W,124,,1990,https://www.nba.com/stats/teams/boxscores?Season=1989-90&SeasonType=Regular%20Season&TeamID=1610612741
29000009,1990-11-02,CHI vs. PHL,L,116,,1991,https://www.nba.com/stats/teams/boxscores?Season=1990-91&SeasonType=Regular%20Season&TeamID=1610612741
29100004,1991-11-01,CHI vs. PHL,W,110,,1992,https://www.nba.com/stats/teams/boxscores?Season=1991-92&SeasonType=Regular%20Season&TeamID=1610612741
29200002,1992-11-06,CHI @ CLE,W,101,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
29300001,1993-11-05,CHI @ CHH,W,124,,1994,https://www.nba.com/stats/teams/boxscores?Season=1993-94&SeasonType=Regular%20Season&TeamID=1610612741
29400009,1994-11-04,CHI vs. CHH,W,89,,1995,https://www.nba.com/stats/teams/boxscores?Season=1994-95&SeasonType=Regular%20Season&TeamID=1610612741
29500001,1995-11-03,CHI vs. CHH,W,105,,1996,https://www.nba.com/stats/teams/boxscores?Season=1995-96&SeasonType=Regular%20Season&TeamID=1610612741
29600001,1996-11-01,CHI @ BOS,W,107,9.0,1997,https://www.nba.com/stats/teams/boxscores?Season=1996-97&SeasonType=Regular%20Season&TeamID=1610612741
29700001,1997-10-31,CHI @ BOS,L,85,-7.0,1998,https://www.nba.com/stats/teams/boxscores?Season=1997-98&SeasonType=Regular%20Season&TeamID=1610612741
29800009,1999-02-05,CHI @ UTA,L,96,-8.0,1999,https://www.nba.com/stats/teams/boxscores?Season=1998-99&SeasonType=Regular%20Season&TeamID=1610612741
29900017,1999-11-03,CHI vs. NYK,L,74,-10.0,2000,https://www.nba.com/stats/teams/boxscores?Season=1999-00&SeasonType=Regular%20Season&TeamID=1610612741
20000006,2000-10-31,CHI vs. SAC,L,81,-19.0,2001,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741
20100016,2001-10-31,CHI vs. IND,L,73,-27.0,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
20200004,2002-10-30,CHI @ BOS,W,99,3.0,2003,https://www.nba.com/stats/teams/boxscores?Season=2002-03&SeasonType=Regular%20Season&TeamID=1610612741
20300010,2003-10-29,CHI vs. WAS,L,74,-25.0,2004,https://www.nba.com/stats/teams/boxscores?Season=2003-04&SeasonType=Regular%20Season&TeamID=1610612741
20400025,2004-11-05,CHI vs. NJN,L,106,-5.0,2005,https://www.nba.com/stats/teams/boxscores?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741
20500012,2005-11-02,CHI vs. CHA,W,109,4.0,2006,https://www.nba.com/stats/teams/boxscores?Season=2005-06&SeasonType=Regular%20Season&TeamID=1610612741
20600001,2006-10-31,CHI @ MIA,W,108,42.0,2007,https://www.nba.com/stats/teams/boxscores?Season=2006-07&SeasonType=Regular%20Season&TeamID=1610612741
20700007,2007-10-31,CHI @ NJN,L,103,-9.0,2008,https://www.nba.com/stats/teams/boxscores?Season=2007-08&SeasonType=Regular%20Season&TeamID=1610612741
20800002,2008-10-28,CHI vs. MIL,W,108,13.0,2009,https://www.nba.com/stats/teams/boxscores?Season=2008-09&SeasonType=Regular%20Season&TeamID=1610612741
20900017,2009-10-29,CHI vs. SAS,W,92,7.0,2010,https://www.nba.com/stats/teams/boxscores?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
21000011,2010-10-27,CHI @ OKC,L,95,-11.0,2011,https://www.nba.com/stats/teams/boxscores?Season=2010-11&SeasonType=Regular%20Season&TeamID=1610612741
21100003,2011-12-25,CHI @ LAL,W,88,1.0,2012,https://www.nba.com/stats/teams/boxscores?Season=2011-12&SeasonType=Regular%20Season&TeamID=1610612741
21200007,2012-10-31,CHI vs. SAC,W,93,6.0,2013,https://www.nba.com/stats/teams/boxscores?Season=2012-13&SeasonType=Regular%20Season&TeamID=1610612741
21300002,2013-10-29,CHI @ MIA,L,95,-12.0,2014,https://www.nba.com/stats/teams/boxscores?Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741
21400010,2014-10-29,CHI @ NYK,W,104,24.0,2015,https://www.nba.com/stats/teams/boxscores?Season=2014-15&SeasonType=Regular%20Season&TeamID=1610612741
21500002,2015-10-27,CHI vs. CLE,W,97,2.0,2016,https://www.nba.com/stats/teams/boxscores?Season=2015-16&SeasonType=Regular%20Season&TeamID=1610612741
21600015,2016-10-27,CHI vs. BOS,W,105,6.0,2017,https://www.nba.com/stats/teams/boxscores?Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741
21700014,2017-10-19,CHI @ TOR,L,100,-17.0,2018,https://www.nba.com/stats/teams/boxscores?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741
21800014,2018-10-18,CHI @ PHI,L,108,-19.0,2019,https://www.nba.com/stats/teams/boxscores?Season=2018-19&SeasonType=Regular%20Season&TeamID=1610612741
21900003,2019-10-23,CHI @ CHA,L,125,-1.0,2020,https://www.nba.com/stats/teams/boxscores?Season=2019-20&SeasonType=Regular%20Season&TeamID=1610612741
22000015,2020-12-23,CHI vs. ATL,L,104,-20.0,2021,https://www.nba.com/stats/teams/boxscores?Season=2020-21&SeasonType=Regular%20Season&TeamID=1610612741
22100004,2021-10-20,CHI @ DET,W,94,6.0,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
22200007,2022-10-19,CHI @ MIA,W,116,8.0,2023,https://www.nba.com/stats/teams/boxscores?Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741
22300070,2023-10-25,CHI vs. OKC,L,104,-20.0,2024,https://www.nba.com/stats/teams/boxscores?Season=2023-24&SeasonType=Regular%20Season&TeamID=1610612741
22400069,2024-10-23,CHI @ NOP,L,111,-12.0,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
22500084,2025-10-22,CHI vs. DET,W,115,4.0,2026,https://www.nba.com/stats/teams/boxscores?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741
