season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,rank
1990,1989–90,893,Michael Jordan,28900009,1989-11-03,CHI vs. CLE,CLE,W,47.0,54,19,31.0,1.0,2.0,15,17.0,3.0,11.0,14.0,6.0,3.0,1.0,0.0,3.0,,51.2,70.16632016632016,https://www.nba.com/stats/players/boxscores-traditional?Season=1989-90&SeasonType=Regular%20Season&TeamID=1610612741,1989-11-03,CHI vs. CLE,W,124,,1980s,1
1987,1986–87,893,Michael Jordan,28600014,1986-11-01,CHI @ NYK,NYK,W,41.0,50,15,31.0,0.0,0.0,20,22.0,2.0,4.0,6.0,3.0,4.0,3.0,6.0,2.0,,37.50000000000001,61.455260570304816,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741,1986-11-01,CHI @ NYK,W,108,,1980s,2
2023,2022–23,201942,DeMar DeRozan,22200007,2022-10-19,CHI @ MIA,MIA,W,36.13333333333333,37,14,22.0,2.0,3.0,7,11.0,1.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,13.0,34.6,68.92697466467959,https://www.nba.com/stats/players/boxscores-traditional?Season=2022-23&SeasonType=Regular%20Season&TeamID=1610612741,2022-10-19,CHI @ MIA,W,116,8.0,2020s,3
1988,1987–88,893,Michael Jordan,28700016,1987-11-07,CHI vs. PHL,PHL,W,38.0,36,15,25.0,0.0,0.0,6,10.0,2.0,3.0,5.0,3.0,6.0,4.0,2.0,3.0,,32.89999999999999,61.224489795918366,https://www.nba.com/stats/players/boxscores-traditional?Season=1987-88&SeasonType=Regular%20Season&TeamID=1610612741,1987-11-07,CHI vs. PHL,W,104,,1980s,4
1996,1995–96,893,Michael Jordan,29500001,1995-11-03,CHI vs. CHH,CHH,W,39.0,42,16,29.0,3.0,7.0,7,9.0,1.0,5.0,6.0,7.0,0.0,0.0,1.0,4.0,,31.799999999999997,63.713592233009706,https://www.nba.com/stats/players/boxscores-traditional?Season=1995-96&SeasonType=Regular%20Season&TeamID=1610612741,1995-11-03,CHI vs. CHH,W,105,,1990s,5
1991,1990–91,893,Michael Jordan,29000009,1990-11-02,CHI vs. PHL,PHL,L,34.0,34,14,24.0,1.0,3.0,5,5.0,3.0,2.0,5.0,7.0,7.0,0.0,5.0,4.0,,30.800000000000004,64.8854961832061,https://www.nba.com/stats/players/boxscores-traditional?Season=1990-91&SeasonType=Regular%20Season&TeamID=1610612741,1990-11-02,CHI vs. PHL,L,116,,1990s,6
2022,2021–22,203897,Zach LaVine,22100004,2021-10-20,CHI @ DET,DET,W,35.333333333333336,34,11,17.0,1.0,5.0,11,11.0,0.0,7.0,7.0,4.0,1.0,1.0,2.0,2.0,8.0,30.300000000000004,77.83882783882784,https://www.nba.com/stats/players/boxscores-traditional?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741,2021-10-20,CHI @ DET,W,94,6.0,2020s,7
2020,2019–20,1628374,Lauri Markkanen,21900003,2019-10-23,CHI @ CHA,CHA,L,34.36666666666667,35,13,25.0,1.0,7.0,8,10.0,5.0,12.0,17.0,2.0,1.0,0.0,1.0,1.0,-8.0,30.0,59.523809523809526,https://www.nba.com/stats/players/boxscores-traditional?Season=2019-20&SeasonType=Regular%20Season&TeamID=1610612741,2019-10-23,CHI @ CHA,L,125,-1.0,2010s,8
2013,2012–13,201149,Joakim Noah,21200007,2012-10-31,CHI vs. SAC,SAC,W,40.016666666666666,23,6,12.0,0.0,0.0,11,12.0,5.0,5.0,10.0,3.0,5.0,3.0,2.0,2.0,6.0,28.000000000000004,66.55092592592592,https://www.nba.com/stats/players/boxscores-traditional?Season=2012-13&SeasonType=Regular%20Season&TeamID=1610612741,2012-10-31,CHI vs. SAC,W,93,6.0,2010s,9
1986,1985–86,78615,Orlando Woolridge,28500007,1985-10-25,CHI vs. CLE,CLE,W,44.0,35,11,21.0,0.0,1.0,13,15.0,5.0,7.0,12.0,3.0,1.0,2.0,5.0,3.0,,27.799999999999997,63.40579710144927,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s,10
2014,2013–14,2430,Carlos Boozer,21300002,2013-10-29,CHI @ MIA,MIA,L,32.39833333333333,31,13,18.0,0.0,0.0,5,5.0,3.0,4.0,7.0,2.0,1.0,1.0,2.0,4.0,-2.0,26.4,76.73267326732673,https://www.nba.com/stats/players/boxscores-traditional?Season=2013-14&SeasonType=Regular%20Season&TeamID=1610612741,2013-10-29,CHI @ MIA,L,95,-12.0,2010s,11
1989,1988–89,893,Michael Jordan,28800009,1988-11-04,CHI vs. DET,DET,L,43.0,28,10,19.0,0.0,2.0,8,12.0,1.0,4.0,5.0,7.0,5.0,2.0,2.0,5.0,,26.299999999999997,57.66062602965404,https://www.nba.com/stats/players/boxscores-traditional?Season=1988-89&SeasonType=Regular%20Season&TeamID=1610612741,1988-11-04,CHI vs. DET,L,94,,1980s,12
2026,2025–26,202696,Nikola Vučević,22500084,2025-10-22,CHI vs. DET,DET,W,32.583333333333336,28,11,18.0,4.0,6.0,2,2.0,4.0,10.0,14.0,2.0,1.0,0.0,1.0,2.0,8.0,26.199999999999996,74.15254237288136,https://www.nba.com/stats/players/boxscores-traditional?Season=2025-26&SeasonType=Regular%20Season&TeamID=1610612741,2025-10-22,CHI vs. DET,W,115,4.0,2020s,13
1985,1984–85,78615,Orlando Woolridge,28400005,1984-10-26,CHI vs. WAS,WAS,W,39.0,28,13,19.0,0.0,0.0,2,5.0,2.0,7.0,9.0,3.0,0.0,1.0,0.0,1.0,,24.600000000000005,66.03773584905662,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1984-10-26,CHI vs. WAS,W,109,,1980s,14
2002,2001–02,1802,Brad Miller,20100016,2001-10-31,CHI vs. IND,IND,L,36.33833333333333,24,7,10.0,0.0,0.0,10,14.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,2.0,-9.0,23.499999999999996,74.25742574257426,https://www.nba.com/stats/players/boxscores-traditional?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741,2001-10-31,CHI vs. IND,L,73,-27.0,2000s,15
